couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
IN,0,1,Final,Andy Sterneman,Taylor Graham,10,1,1,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,201,Kathy Nate,Waltz,1
IN,0,6,Final,Andy Sterneman,Taylor Graham,11,1,6,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,201,Mario Skonieczny,Waltz,1
IN,0,1,Final,Andy Sterneman,Taylor Graham,12,1,1,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,201,Barb Coon,Waltz,1
IN,0,1,Final,Andy Sterneman,Taylor Graham,13,1,1,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,201,Mary Jester,Waltz,1
IN,0,1,Final,Andy Sterneman,Taylor Graham,15,1,1,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,201,Rachel Neiswender,Waltz,1
WI,0,2,Final,Mark Salzman,Kelsey Marti,10,2,2,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,185,Kathy Nate,Waltz,2
WI,0,1,Final,Mark Salzman,Kelsey Marti,11,2,1,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,185,Mario Skonieczny,Waltz,2
WI,0,2,Final,Mark Salzman,Kelsey Marti,12,2,2,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,185,Barb Coon,Waltz,2
WI,0,2,Final,Mark Salzman,Kelsey Marti,13,2,2,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,185,Mary Jester,Waltz,2
WI,0,2,Final,Mark Salzman,Kelsey Marti,15,2,2,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,185,Rachel Neiswender,Waltz,2
IN,0,3,Final,Lior Ben-Yehoshua,Jennifer Franks,10,3,3,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,177,Kathy Nate,Waltz,3
IN,0,4,Final,Lior Ben-Yehoshua,Jennifer Franks,11,3,4,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,177,Mario Skonieczny,Waltz,3
IN,0,3,Final,Lior Ben-Yehoshua,Jennifer Franks,12,3,3,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,177,Barb Coon,Waltz,3
IN,0,4,Final,Lior Ben-Yehoshua,Jennifer Franks,13,3,4,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,177,Mary Jester,Waltz,3
IN,0,5,Final,Lior Ben-Yehoshua,Jennifer Franks,15,3,5,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,177,Rachel Neiswender,Waltz,3
oh,0,4,Final,William Friedlander,Katherina Devitofranceschi,10,4.5,4,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,213,Kathy Nate,Waltz,4
oh,0,2,Final,William Friedlander,Katherina Devitofranceschi,11,4.5,2,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,213,Mario Skonieczny,Waltz,4
oh,0,6,Final,William Friedlander,Katherina Devitofranceschi,12,4.5,6,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,213,Barb Coon,Waltz,4
oh,0,5,Final,William Friedlander,Katherina Devitofranceschi,13,4.5,5,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,213,Mary Jester,Waltz,4
oh,0,4,Final,William Friedlander,Katherina Devitofranceschi,15,4.5,4,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,213,Rachel Neiswender,Waltz,4
Michigan,0,5,Final,Matt Boguslawski,Alison Tseng,10,4.5,5,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,212,Kathy Nate,Waltz,5
Michigan,0,3,Final,Matt Boguslawski,Alison Tseng,11,4.5,3,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,212,Mario Skonieczny,Waltz,5
Michigan,0,4,Final,Matt Boguslawski,Alison Tseng,12,4.5,4,  Bronze Smooth  (WT),Sample,0,IDG13,40012831,212,Barb Coon,Waltz,5
