couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Tin Tu,Lynn Tu,10,1,1, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,203,Stephen Cullip,Waltz,1
CA,0,1,Final,Tin Tu,Lynn Tu,11,1,1, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,203,Tom Hicks,Waltz,1
CA,0,1,Final,Tin Tu,Lynn Tu,15,1,1, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,203,Steve Vasco,Waltz,1
CA,0,2,Final,Tin Tu,Lynn Tu,16,1,2, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,203,Glenn Weiss,Waltz,1
CA,0,1,Final,Tin Tu,Lynn Tu,17,1,1, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,203,Gosia Zygadlo,Waltz,1
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,10,2,2, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,109,Stephen Cullip,Waltz,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,11,2,2, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,109,Tom Hicks,Waltz,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,15,2,2, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,109,Steve Vasco,Waltz,2
CA,0,1,Final,Sam Photopoulos,Cathy Photopoulous,16,2,1, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,109,Glenn Weiss,Waltz,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,17,2,2, Adult Bronze Smooth  (WF),Sample,0,SWB09,40422830,109,Gosia Zygadlo,Waltz,2
CA,0,1,Final,Tin Tu,Lynn Tu,10,1,1, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,203,Stephen Cullip,Foxtrot,1
CA,0,1,Final,Tin Tu,Lynn Tu,11,1,1, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,203,Tom Hicks,Foxtrot,1
CA,0,1,Final,Tin Tu,Lynn Tu,15,1,1, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,203,Steve Vasco,Foxtrot,1
CA,0,2,Final,Tin Tu,Lynn Tu,16,1,2, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,203,Glenn Weiss,Foxtrot,1
CA,0,1,Final,Tin Tu,Lynn Tu,17,1,1, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,203,Gosia Zygadlo,Foxtrot,1
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,10,2,2, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,109,Stephen Cullip,Foxtrot,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,11,2,2, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,109,Tom Hicks,Foxtrot,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,15,2,2, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,109,Steve Vasco,Foxtrot,2
CA,0,1,Final,Sam Photopoulos,Cathy Photopoulous,16,2,1, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,109,Glenn Weiss,Foxtrot,2
CA,0,2,Final,Sam Photopoulos,Cathy Photopoulous,17,2,2, Adult Bronze Smooth  (WF),Sample,1,SWB09,40422830,109,Gosia Zygadlo,Foxtrot,2
CA,0,1,Final,Anthony Sanchez-Torres,Marina Sanchez-Torres,10,1,1, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,167,Stephen Cullip,Waltz,1
CA,0,1,Final,Anthony Sanchez-Torres,Marina Sanchez-Torres,11,1,1, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,167,Tom Hicks,Waltz,1
CA,0,1,Final,Anthony Sanchez-Torres,Marina Sanchez-Torres,15,1,1, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,167,Steve Vasco,Waltz,1
CA,0,1,Final,Anthony Sanchez-Torres,Marina Sanchez-Torres,16,1,1, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,167,Glenn Weiss,Waltz,1
CA,0,1,Final,Anthony Sanchez-Torres,Marina Sanchez-Torres,17,1,1, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,167,Gosia Zygadlo,Waltz,1
CA,0,2,Final,Robert Simons,Nancy Melton,10,2,2, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,196,Stephen Cullip,Waltz,2
CA,0,2,Final,Robert Simons,Nancy Melton,11,2,2, Adult Bronze Standard  (WQ),Sample,0,SWB09,40422810,196,Tom Hicks,Waltz,2
