couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AB,0,1,Final,Joshua Lau,Arina Yablokova,11,1,1, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,53,Marie Bolduc,Waltz,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,12,1,1, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,53,Benoit Drolet,Waltz,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,14,1,1, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,53,Patricia Goh,Waltz,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,17,1,1, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,53,Dominic Lacroix,Waltz,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,18,1,1, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,53,Diana Lefebvre,Waltz,1
AB,0,2,Final,Maximilian Stryjski,Mackenzie Chan,11,2,2, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,71,Marie Bolduc,Waltz,2
AB,0,2,Final,Maximilian Stryjski,Mackenzie Chan,12,2,2, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,71,Benoit Drolet,Waltz,2
AB,0,2,Final,Maximilian Stryjski,Mackenzie Chan,14,2,2, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,71,Patricia Goh,Waltz,2
AB,0,2,Final,Maximilian Stryjski,Mackenzie Chan,17,2,2, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,71,Dominic Lacroix,Waltz,2
AB,0,2,Final,Maximilian Stryjski,Mackenzie Chan,18,2,2, Amateur Junior Silver Standard  (WFQ),Sample,0,awc13,402D3010,71,Diana Lefebvre,Waltz,2
AB,0,2,Final,Joshua Lau,Arina Yablokova,11,1,2, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,53,Marie Bolduc,Foxtrot,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,12,1,1, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,53,Benoit Drolet,Foxtrot,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,14,1,1, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,53,Patricia Goh,Foxtrot,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,17,1,1, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,53,Dominic Lacroix,Foxtrot,1
AB,0,1,Final,Joshua Lau,Arina Yablokova,18,1,1, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,53,Diana Lefebvre,Foxtrot,1
AB,0,1,Final,Maximilian Stryjski,Mackenzie Chan,11,2,1, Amateur Junior Silver Standard  (WFQ),Sample,1,awc13,402D3010,71,Marie Bolduc,Foxtrot,2
