couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,12,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41432A28,79,Eugene Katsevman,Intl. Cha Cha,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,14,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41432A28,79,Diana McDonald,Intl. Cha Cha,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,19,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41432A28,79,Anita Smite,Intl. Cha Cha,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,20,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41432A28,79,Bill Sparks,Intl. Cha Cha,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,21,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41432A28,79,Aigars Stolcers,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,12,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41433228,66,Eugene Katsevman,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,14,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41433228,66,Diana McDonald,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,19,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41433228,66,Anita Smite,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,20,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41433228,66,Bill Sparks,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,21,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Cha Cha  (C),Sample,0,bdc14,41433228,66,Aigars Stolcers,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Daria Goryaynova,10,1,1, Amateur Singles Senior I Gold Intl. Cha Cha  (C),Sample,0,bdc14,41433B28,66,Rita Algarra,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Daria Goryaynova,13,1,1, Amateur Singles Senior I Gold Intl. Cha Cha  (C),Sample,0,bdc14,41433B28,66,Elena Kryuchkova,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Daria Goryaynova,16,1,1, Amateur Singles Senior I Gold Intl. Cha Cha  (C),Sample,0,bdc14,41433B28,66,John Nyemchek,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Daria Goryaynova,17,1,1, Amateur Singles Senior I Gold Intl. Cha Cha  (C),Sample,0,bdc14,41433B28,66,Spencer Nyemchek,Intl. Cha Cha,1
MA,0,1,Final,Aleh Kulyba,Daria Goryaynova,18,1,1, Amateur Singles Senior I Gold Intl. Cha Cha  (C),Sample,0,bdc14,41433B28,66,Gail Rundlett,Intl. Cha Cha,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,12,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41432A29,79,Eugene Katsevman,Intl. Samba,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,14,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41432A29,79,Diana McDonald,Intl. Samba,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,19,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41432A29,79,Anita Smite,Intl. Samba,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,20,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41432A29,79,Bill Sparks,Intl. Samba,1
MA,0,1,Final,Christopher Alfonso,Holly Hatleberg,21,1,1, Amateur Singles Senior I Bronze I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41432A29,79,Aigars Stolcers,Intl. Samba,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,12,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41433229,66,Eugene Katsevman,Intl. Samba,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,14,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41433229,66,Diana McDonald,Intl. Samba,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,19,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41433229,66,Anita Smite,Intl. Samba,1
MA,0,1,Final,Aleh Kulyba,Annalise Chaves,20,1,1, Amateur Singles Senior I Silver I (Intermediate) Intl. Samba  (S),Sample,0,bdc14,41433229,66,Bill Sparks,Intl. Samba,1
