couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,10,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C42038,106,Melissa Dexter,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,15,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C42038,106,Giacomo Steccaglia,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,16,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C42038,106,Igor Suvorov,Am. Waltz,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,10,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,ccd13,88C52A38,101,Melissa Dexter,Am. Waltz,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,15,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,ccd13,88C52A38,101,Giacomo Steccaglia,Am. Waltz,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,16,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,ccd13,88C52A38,101,Igor Suvorov,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,10,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Tango  (T),Sample,0,ccd13,88C42039,106,Melissa Dexter,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,15,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Tango  (T),Sample,0,ccd13,88C42039,106,Giacomo Steccaglia,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,16,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Tango  (T),Sample,0,ccd13,88C42039,106,Igor Suvorov,Am. Tango,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,10,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,ccd13,88C52A39,101,Melissa Dexter,Am. Tango,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,15,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,ccd13,88C52A39,101,Giacomo Steccaglia,Am. Tango,1
CA,0,1,Final,Nathan Fields,Melanie  Jonas,16,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,ccd13,88C52A39,101,Igor Suvorov,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,10,1,1, Pro/Am Ladies Adult B1 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C4203B,106,Melissa Dexter,Am. V. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,15,1,1, Pro/Am Ladies Adult B1 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C4203B,106,Giacomo Steccaglia,Am. V. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,16,1,1, Pro/Am Ladies Adult B1 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C4203B,106,Igor Suvorov,Am. V. Waltz,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,10,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C4203A,106,Melissa Dexter,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,15,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C4203A,106,Giacomo Steccaglia,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Gerri Schmutz,16,1,1, Pro/Am Ladies Adult B1 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C4203A,106,Igor Suvorov,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,10,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C52038,106,Melissa Dexter,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,15,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C52038,106,Giacomo Steccaglia,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,16,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Waltz  (W),Sample,0,ccd13,88C52038,106,Igor Suvorov,Am. Waltz,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,10,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Waltz  (W),Sample,0,ccd13,88C43A38,102,Melissa Dexter,Am. Waltz,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,15,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Waltz  (W),Sample,0,ccd13,88C43A38,102,Giacomo Steccaglia,Am. Waltz,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,16,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Waltz  (W),Sample,0,ccd13,88C43A38,102,Igor Suvorov,Am. Waltz,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,10,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Tango  (T),Sample,0,ccd13,88C52039,106,Melissa Dexter,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,15,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Tango  (T),Sample,0,ccd13,88C52039,106,Giacomo Steccaglia,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,16,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Tango  (T),Sample,0,ccd13,88C52039,106,Igor Suvorov,Am. Tango,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,10,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Tango  (T),Sample,0,ccd13,88C43A39,102,Melissa Dexter,Am. Tango,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,15,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Tango  (T),Sample,0,ccd13,88C43A39,102,Giacomo Steccaglia,Am. Tango,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,16,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Tango  (T),Sample,0,ccd13,88C43A39,102,Igor Suvorov,Am. Tango,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,10,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C5203A,106,Melissa Dexter,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,15,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C5203A,106,Giacomo Steccaglia,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,16,1,1, Pro/Am Ladies Adult B2 Newcomer Am. Foxtrot  (F),Sample,0,ccd13,88C5203A,106,Igor Suvorov,Am. Foxtrot,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,10,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Foxtrot  (F),Sample,0,ccd13,88C43A3A,102,Melissa Dexter,Am. Foxtrot,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,15,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Foxtrot  (F),Sample,0,ccd13,88C43A3A,102,Giacomo Steccaglia,Am. Foxtrot,1
CA,0,1,Final,Max Sinitsa,Marina Sanchez-Torres,16,1,1, Pro/Am Ladies Adult B1 Int. Gold Am. Foxtrot  (F),Sample,0,ccd13,88C43A3A,102,Igor Suvorov,Am. Foxtrot,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,10,1,1, Pro/Am Ladies Adult B2 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C5203B,106,Melissa Dexter,Am. V. Waltz,1
CA,0,2,Final,Chuck Braswell,Rosemary Rossell,15,1,2, Pro/Am Ladies Adult B2 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C5203B,106,Giacomo Steccaglia,Am. V. Waltz,1
CA,0,1,Final,Chuck Braswell,Rosemary Rossell,16,1,1, Pro/Am Ladies Adult B2 Newcomer Am. V. Waltz  (V),Sample,0,ccd13,88C5203B,106,Igor Suvorov,Am. V. Waltz,1
