couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Ont,0,1,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,0,cch13,EE2C8761,101,Michel Guimond,Samba,1
QC,0,2,Final,William Turcotte-Miao,Alise Dombronsky,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,0,cch13,EE2C8761,102,Michel Guimond,Samba,2
Ont,0,3,Final,Michael Goldshtein,Ludmila Totar,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,0,cch13,EE2C8761,100,Michel Guimond,Samba,3
Ont,0,2,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,1,cch13,EE2C8761,101,Michel Guimond,Cha Cha,1
QC,0,1,Final,William Turcotte-Miao,Alise Dombronsky,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,1,cch13,EE2C8761,102,Michel Guimond,Cha Cha,2
Ont,0,3,Final,Michael Goldshtein,Ludmila Totar,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,1,cch13,EE2C8761,100,Michel Guimond,Cha Cha,3
Ont,0,3,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,2,cch13,EE2C8761,101,Michel Guimond,Rumba,1
QC,0,2,Final,William Turcotte-Miao,Alise Dombronsky,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,2,cch13,EE2C8761,102,Michel Guimond,Rumba,2
Ont,0,1,Final,Michael Goldshtein,Ludmila Totar,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,2,cch13,EE2C8761,100,Michel Guimond,Rumba,3
Ont,0,2,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,3,cch13,EE2C8761,101,Michel Guimond,Paso Doble,1
QC,0,1,Final,William Turcotte-Miao,Alise Dombronsky,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,3,cch13,EE2C8761,102,Michel Guimond,Paso Doble,2
Ont,0,3,Final,Michael Goldshtein,Ludmila Totar,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,3,cch13,EE2C8761,100,Michel Guimond,Paso Doble,3
Ont,0,3,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,4,cch13,EE2C8761,101,Michel Guimond,Jive,1
QC,0,1,Final,William Turcotte-Miao,Alise Dombronsky,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,4,cch13,EE2C8761,102,Michel Guimond,Jive,2
Ont,0,2,Final,Michael Goldshtein,Ludmila Totar,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,4,cch13,EE2C8761,100,Michel Guimond,Jive,3
Ont,0,1,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,5,cch13,EE2C8761,101,Michel Guimond,Waltz,1
QC,0,2,Final,William Turcotte-Miao,Alise Dombronsky,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,5,cch13,EE2C8761,102,Michel Guimond,Waltz,2
Ont,0,3,Final,Michael Goldshtein,Ludmila Totar,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,5,cch13,EE2C8761,100,Michel Guimond,Waltz,3
Ont,0,1,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,6,cch13,EE2C8761,101,Michel Guimond,Tango,1
QC,0,3,Final,William Turcotte-Miao,Alise Dombronsky,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,6,cch13,EE2C8761,102,Michel Guimond,Tango,2
Ont,0,2,Final,Michael Goldshtein,Ludmila Totar,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,6,cch13,EE2C8761,100,Michel Guimond,Tango,3
Ont,0,1,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,7,cch13,EE2C8761,101,Michel Guimond,Viennese Waltz,1
QC,0,3,Final,William Turcotte-Miao,Alise Dombronsky,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,7,cch13,EE2C8761,102,Michel Guimond,Viennese Waltz,2
Ont,0,2,Final,Michael Goldshtein,Ludmila Totar,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,7,cch13,EE2C8761,100,Michel Guimond,Viennese Waltz,3
Ont,0,1,Final,Artemy  Kokhanov,Abigail  Xinkas,10,,1, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,8,cch13,EE2C8761,101,Michel Guimond,Foxtrot,1
QC,0,3,Final,William Turcotte-Miao,Alise Dombronsky,10,,3, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,8,cch13,EE2C8761,102,Michel Guimond,Foxtrot,2
Ont,0,2,Final,Michael Goldshtein,Ludmila Totar,10,,2, -- Combine -- Junior Championship Intl. Multi-Dance  (SCRPJWTVFQ),Sample,8,cch13,EE2C8761,100,Michel Guimond,Foxtrot,3
