couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
PA,0,1,Final,Andrew Simonson,Emma Stevenson,12,1,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Bill Davies,Am. Waltz,1
PA,0,1,Final,Andrew Simonson,Emma Stevenson,13,1,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Azamat Evgamukov,Am. Waltz,1
PA,0,1,Final,Andrew Simonson,Emma Stevenson,14,1,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Pamela Kazimir,Am. Waltz,1
PA,0,3,Final,Andrew Simonson,Emma Stevenson,15,1,3,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Stanley McCalla,Am. Waltz,1
PA,0,4,Final,Andrew Simonson,Emma Stevenson,16,1,4,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Igor Mikushov,Am. Waltz,1
,0,4,Final,Giovanni Rivera,Andrea Shen,12,2,4,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Bill Davies,Am. Waltz,2
,0,3,Final,Giovanni Rivera,Andrea Shen,13,2,3,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Azamat Evgamukov,Am. Waltz,2
,0,2,Final,Giovanni Rivera,Andrea Shen,14,2,2,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Pamela Kazimir,Am. Waltz,2
,0,1,Final,Giovanni Rivera,Andrea Shen,15,2,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Stanley McCalla,Am. Waltz,2
,0,1,Final,Giovanni Rivera,Andrea Shen,16,2,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Igor Mikushov,Am. Waltz,2
PA,0,3,Final,Christian Pastor,Amanda Valenti,12,3,3,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Bill Davies,Am. Waltz,3
PA,0,7,Final,Christian Pastor,Amanda Valenti,13,3,7,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Azamat Evgamukov,Am. Waltz,3
PA,0,3,Final,Christian Pastor,Amanda Valenti,14,3,3,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Pamela Kazimir,Am. Waltz,3
PA,0,4,Final,Christian Pastor,Amanda Valenti,15,3,4,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Stanley McCalla,Am. Waltz,3
PA,0,2,Final,Christian Pastor,Amanda Valenti,16,3,2,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Igor Mikushov,Am. Waltz,3
NY,0,6,Final,Asher Novick,Ariana Munger,12,4,6,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Bill Davies,Am. Waltz,4
NY,0,2,Final,Asher Novick,Ariana Munger,13,4,2,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Azamat Evgamukov,Am. Waltz,4
NY,0,4,Final,Asher Novick,Ariana Munger,14,4,4,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Pamela Kazimir,Am. Waltz,4
NY,0,5,Final,Asher Novick,Ariana Munger,15,4,5,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Stanley McCalla,Am. Waltz,4
NY,0,5,Final,Asher Novick,Ariana Munger,16,4,5,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Igor Mikushov,Am. Waltz,4
,0,5,Final,Zach Machado,Janette Conde,12,5,5,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Bill Davies,Am. Waltz,5
,0,4,Final,Zach Machado,Janette Conde,13,5,4,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Azamat Evgamukov,Am. Waltz,5
,0,5,Final,Zach Machado,Janette Conde,14,5,5,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Pamela Kazimir,Am. Waltz,5
,0,2,Final,Zach Machado,Janette Conde,15,5,2,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Stanley McCalla,Am. Waltz,5
,0,7,Final,Zach Machado,Janette Conde,16,5,7,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Igor Mikushov,Am. Waltz,5
NY,0,2,Final,Nicole Piche,Susan Bivone,12,6,2,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Bill Davies,Am. Waltz,6
NY,0,5,Final,Nicole Piche,Susan Bivone,13,6,5,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Azamat Evgamukov,Am. Waltz,6
NY,0,7,Final,Nicole Piche,Susan Bivone,14,6,7,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Pamela Kazimir,Am. Waltz,6
NY,0,7,Final,Nicole Piche,Susan Bivone,15,6,7,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Stanley McCalla,Am. Waltz,6
NY,0,3,Final,Nicole Piche,Susan Bivone,16,6,3,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Igor Mikushov,Am. Waltz,6
NEW YORK,0,7,Final,Mike Jennings,Irina Frampolsky,12,7,7,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Bill Davies,Am. Waltz,7
NEW YORK,0,6,Final,Mike Jennings,Irina Frampolsky,13,7,6,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Azamat Evgamukov,Am. Waltz,7
NEW YORK,0,6,Final,Mike Jennings,Irina Frampolsky,14,7,6,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Pamela Kazimir,Am. Waltz,7
NEW YORK,0,6,Final,Mike Jennings,Irina Frampolsky,15,7,6,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Stanley McCalla,Am. Waltz,7
NEW YORK,0,6,Final,Mike Jennings,Irina Frampolsky,16,7,6,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Igor Mikushov,Am. Waltz,7
NEW YORK,1,X,Semi-Final,Mike Jennings,Irina Frampolsky,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Anastasia Abrashin,Am. Waltz,7
NEW YORK,1,X,Semi-Final,Mike Jennings,Irina Frampolsky,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Bill Davies,Am. Waltz,7
NEW YORK,1,X,Semi-Final,Mike Jennings,Irina Frampolsky,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Pamela Kazimir,Am. Waltz,7
NEW YORK,1,,Semi-Final,Mike Jennings,Irina Frampolsky,15,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Stanley McCalla,Am. Waltz,7
NEW YORK,1,X,Semi-Final,Mike Jennings,Irina Frampolsky,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Igor Mikushov,Am. Waltz,7
,1,X,Semi-Final,Zach Machado,Janette Conde,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Anastasia Abrashin,Am. Waltz,5
,1,X,Semi-Final,Zach Machado,Janette Conde,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Bill Davies,Am. Waltz,5
,1,X,Semi-Final,Zach Machado,Janette Conde,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Pamela Kazimir,Am. Waltz,5
,1,X,Semi-Final,Zach Machado,Janette Conde,15,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Stanley McCalla,Am. Waltz,5
,1,,Semi-Final,Zach Machado,Janette Conde,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Igor Mikushov,Am. Waltz,5
NY,1,X,Semi-Final,Asher Novick,Ariana Munger,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Anastasia Abrashin,Am. Waltz,4
NY,1,X,Semi-Final,Asher Novick,Ariana Munger,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Bill Davies,Am. Waltz,4
NY,1,X,Semi-Final,Asher Novick,Ariana Munger,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Pamela Kazimir,Am. Waltz,4
NY,1,X,Semi-Final,Asher Novick,Ariana Munger,15,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Stanley McCalla,Am. Waltz,4
NY,1,,Semi-Final,Asher Novick,Ariana Munger,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Igor Mikushov,Am. Waltz,4
PA,1,X,Semi-Final,Christian Pastor,Amanda Valenti,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Anastasia Abrashin,Am. Waltz,3
PA,1,X,Semi-Final,Christian Pastor,Amanda Valenti,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Bill Davies,Am. Waltz,3
PA,1,X,Semi-Final,Christian Pastor,Amanda Valenti,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Pamela Kazimir,Am. Waltz,3
PA,1,X,Semi-Final,Christian Pastor,Amanda Valenti,15,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Stanley McCalla,Am. Waltz,3
PA,1,X,Semi-Final,Christian Pastor,Amanda Valenti,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Igor Mikushov,Am. Waltz,3
NY,1,X,Semi-Final,Nicole Piche,Susan Bivone,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Anastasia Abrashin,Am. Waltz,6
NY,1,X,Semi-Final,Nicole Piche,Susan Bivone,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Bill Davies,Am. Waltz,6
NY,1,,Semi-Final,Nicole Piche,Susan Bivone,14,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Pamela Kazimir,Am. Waltz,6
NY,1,,Semi-Final,Nicole Piche,Susan Bivone,15,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Stanley McCalla,Am. Waltz,6
NY,1,X,Semi-Final,Nicole Piche,Susan Bivone,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Igor Mikushov,Am. Waltz,6
,1,,Semi-Final,Giovanni Rivera,Andrea Shen,11,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Anastasia Abrashin,Am. Waltz,2
,1,,Semi-Final,Giovanni Rivera,Andrea Shen,12,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Bill Davies,Am. Waltz,2
,1,X,Semi-Final,Giovanni Rivera,Andrea Shen,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Pamela Kazimir,Am. Waltz,2
,1,X,Semi-Final,Giovanni Rivera,Andrea Shen,15,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Stanley McCalla,Am. Waltz,2
,1,X,Semi-Final,Giovanni Rivera,Andrea Shen,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Igor Mikushov,Am. Waltz,2
PA,1,X,Semi-Final,Andrew Simonson,Emma Stevenson,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Anastasia Abrashin,Am. Waltz,1
PA,1,X,Semi-Final,Andrew Simonson,Emma Stevenson,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Bill Davies,Am. Waltz,1
PA,1,X,Semi-Final,Andrew Simonson,Emma Stevenson,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Pamela Kazimir,Am. Waltz,1
PA,1,X,Semi-Final,Andrew Simonson,Emma Stevenson,15,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Stanley McCalla,Am. Waltz,1
PA,1,X,Semi-Final,Andrew Simonson,Emma Stevenson,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Igor Mikushov,Am. Waltz,1
NY,1,,Semi-Final,Brendan Hart-Nutter,Stephanie Shapiro,11,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Anastasia Abrashin,Am. Waltz,8
NY,1,,Semi-Final,Brendan Hart-Nutter,Stephanie Shapiro,12,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Bill Davies,Am. Waltz,8
NY,1,,Semi-Final,Brendan Hart-Nutter,Stephanie Shapiro,14,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Pamela Kazimir,Am. Waltz,8
NY,1,X,Semi-Final,Brendan Hart-Nutter,Stephanie Shapiro,15,,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Stanley McCalla,Am. Waltz,8
NY,1,,Semi-Final,Brendan Hart-Nutter,Stephanie Shapiro,16,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Igor Mikushov,Am. Waltz,8
NEW YORK,1,,Semi-Final,Levi Leab,Kelly Garson,11,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Anastasia Abrashin,Am. Waltz,9
NEW YORK,1,,Semi-Final,Levi Leab,Kelly Garson,12,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Bill Davies,Am. Waltz,9
NEW YORK,1,,Semi-Final,Levi Leab,Kelly Garson,14,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Pamela Kazimir,Am. Waltz,9
NEW YORK,1,,Semi-Final,Levi Leab,Kelly Garson,15,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Stanley McCalla,Am. Waltz,9
NEW YORK,1,X,Semi-Final,Levi Leab,Kelly Garson,16,,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Igor Mikushov,Am. Waltz,9
,1,,Semi-Final,Shuo Cheng,Davana Bolton,11,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Anastasia Abrashin,Am. Waltz,10
,1,,Semi-Final,Shuo Cheng,Davana Bolton,12,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Bill Davies,Am. Waltz,10
,1,,Semi-Final,Shuo Cheng,Davana Bolton,14,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Pamela Kazimir,Am. Waltz,10
,1,,Semi-Final,Shuo Cheng,Davana Bolton,15,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Stanley McCalla,Am. Waltz,10
,1,,Semi-Final,Shuo Cheng,Davana Bolton,16,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Igor Mikushov,Am. Waltz,10
New York,1,,Semi-Final,Kenny Donovan,Kit DeSalvo,11,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Anastasia Abrashin,Am. Waltz,11
New York,1,,Semi-Final,Kenny Donovan,Kit DeSalvo,12,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Bill Davies,Am. Waltz,11
New York,1,,Semi-Final,Kenny Donovan,Kit DeSalvo,14,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Pamela Kazimir,Am. Waltz,11
New York,1,,Semi-Final,Kenny Donovan,Kit DeSalvo,15,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Stanley McCalla,Am. Waltz,11
New York,1,,Semi-Final,Kenny Donovan,Kit DeSalvo,16,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Igor Mikushov,Am. Waltz,11
,2,X,Quarter-Final,Shuo Cheng,Davana Bolton,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Anastasia Abrashin,Am. Waltz,10
,2,X,Quarter-Final,Shuo Cheng,Davana Bolton,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Bill Davies,Am. Waltz,10
,2,X,Quarter-Final,Shuo Cheng,Davana Bolton,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Azamat Evgamukov,Am. Waltz,10
,2,X,Quarter-Final,Shuo Cheng,Davana Bolton,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Pamela Kazimir,Am. Waltz,10
,2,,Quarter-Final,Shuo Cheng,Davana Bolton,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,313,Igor Mikushov,Am. Waltz,10
NY,2,X,Quarter-Final,Brendan Hart-Nutter,Stephanie Shapiro,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Anastasia Abrashin,Am. Waltz,8
NY,2,X,Quarter-Final,Brendan Hart-Nutter,Stephanie Shapiro,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Bill Davies,Am. Waltz,8
NY,2,,Quarter-Final,Brendan Hart-Nutter,Stephanie Shapiro,13,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Azamat Evgamukov,Am. Waltz,8
NY,2,X,Quarter-Final,Brendan Hart-Nutter,Stephanie Shapiro,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Pamela Kazimir,Am. Waltz,8
NY,2,X,Quarter-Final,Brendan Hart-Nutter,Stephanie Shapiro,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,335,Igor Mikushov,Am. Waltz,8
NEW YORK,2,X,Quarter-Final,Mike Jennings,Irina Frampolsky,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Anastasia Abrashin,Am. Waltz,7
NEW YORK,2,X,Quarter-Final,Mike Jennings,Irina Frampolsky,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Bill Davies,Am. Waltz,7
NEW YORK,2,X,Quarter-Final,Mike Jennings,Irina Frampolsky,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Azamat Evgamukov,Am. Waltz,7
NEW YORK,2,X,Quarter-Final,Mike Jennings,Irina Frampolsky,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Pamela Kazimir,Am. Waltz,7
NEW YORK,2,X,Quarter-Final,Mike Jennings,Irina Frampolsky,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,341,Igor Mikushov,Am. Waltz,7
NEW YORK,2,X,Quarter-Final,Levi Leab,Kelly Garson,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Anastasia Abrashin,Am. Waltz,9
NEW YORK,2,X,Quarter-Final,Levi Leab,Kelly Garson,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Bill Davies,Am. Waltz,9
NEW YORK,2,X,Quarter-Final,Levi Leab,Kelly Garson,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Azamat Evgamukov,Am. Waltz,9
NEW YORK,2,X,Quarter-Final,Levi Leab,Kelly Garson,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Pamela Kazimir,Am. Waltz,9
NEW YORK,2,,Quarter-Final,Levi Leab,Kelly Garson,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,351,Igor Mikushov,Am. Waltz,9
,2,X,Quarter-Final,Zach Machado,Janette Conde,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Anastasia Abrashin,Am. Waltz,5
,2,X,Quarter-Final,Zach Machado,Janette Conde,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Bill Davies,Am. Waltz,5
,2,X,Quarter-Final,Zach Machado,Janette Conde,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Azamat Evgamukov,Am. Waltz,5
,2,X,Quarter-Final,Zach Machado,Janette Conde,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Pamela Kazimir,Am. Waltz,5
,2,,Quarter-Final,Zach Machado,Janette Conde,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,358,Igor Mikushov,Am. Waltz,5
NY,2,X,Quarter-Final,Asher Novick,Ariana Munger,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Anastasia Abrashin,Am. Waltz,4
NY,2,X,Quarter-Final,Asher Novick,Ariana Munger,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Bill Davies,Am. Waltz,4
NY,2,X,Quarter-Final,Asher Novick,Ariana Munger,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Azamat Evgamukov,Am. Waltz,4
NY,2,X,Quarter-Final,Asher Novick,Ariana Munger,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Pamela Kazimir,Am. Waltz,4
NY,2,X,Quarter-Final,Asher Novick,Ariana Munger,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,367,Igor Mikushov,Am. Waltz,4
PA,2,X,Quarter-Final,Christian Pastor,Amanda Valenti,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Anastasia Abrashin,Am. Waltz,3
PA,2,,Quarter-Final,Christian Pastor,Amanda Valenti,12,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Bill Davies,Am. Waltz,3
PA,2,X,Quarter-Final,Christian Pastor,Amanda Valenti,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Azamat Evgamukov,Am. Waltz,3
PA,2,X,Quarter-Final,Christian Pastor,Amanda Valenti,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Pamela Kazimir,Am. Waltz,3
PA,2,X,Quarter-Final,Christian Pastor,Amanda Valenti,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,372,Igor Mikushov,Am. Waltz,3
NY,2,X,Quarter-Final,Nicole Piche,Susan Bivone,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Anastasia Abrashin,Am. Waltz,6
NY,2,X,Quarter-Final,Nicole Piche,Susan Bivone,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Bill Davies,Am. Waltz,6
NY,2,,Quarter-Final,Nicole Piche,Susan Bivone,13,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Azamat Evgamukov,Am. Waltz,6
NY,2,,Quarter-Final,Nicole Piche,Susan Bivone,14,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Pamela Kazimir,Am. Waltz,6
NY,2,X,Quarter-Final,Nicole Piche,Susan Bivone,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,373,Igor Mikushov,Am. Waltz,6
,2,X,Quarter-Final,Giovanni Rivera,Andrea Shen,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Anastasia Abrashin,Am. Waltz,2
,2,X,Quarter-Final,Giovanni Rivera,Andrea Shen,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Bill Davies,Am. Waltz,2
,2,X,Quarter-Final,Giovanni Rivera,Andrea Shen,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Azamat Evgamukov,Am. Waltz,2
,2,X,Quarter-Final,Giovanni Rivera,Andrea Shen,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Pamela Kazimir,Am. Waltz,2
,2,X,Quarter-Final,Giovanni Rivera,Andrea Shen,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,377,Igor Mikushov,Am. Waltz,2
PA,2,X,Quarter-Final,Andrew Simonson,Emma Stevenson,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Anastasia Abrashin,Am. Waltz,1
PA,2,X,Quarter-Final,Andrew Simonson,Emma Stevenson,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Bill Davies,Am. Waltz,1
PA,2,X,Quarter-Final,Andrew Simonson,Emma Stevenson,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Azamat Evgamukov,Am. Waltz,1
PA,2,,Quarter-Final,Andrew Simonson,Emma Stevenson,14,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Pamela Kazimir,Am. Waltz,1
PA,2,X,Quarter-Final,Andrew Simonson,Emma Stevenson,16,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,387,Igor Mikushov,Am. Waltz,1
New York,2,X,Quarter-Final,Kenny Donovan,Kit DeSalvo,11,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Anastasia Abrashin,Am. Waltz,11
New York,2,,Quarter-Final,Kenny Donovan,Kit DeSalvo,12,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Bill Davies,Am. Waltz,11
New York,2,X,Quarter-Final,Kenny Donovan,Kit DeSalvo,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Azamat Evgamukov,Am. Waltz,11
New York,2,X,Quarter-Final,Kenny Donovan,Kit DeSalvo,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Pamela Kazimir,Am. Waltz,11
New York,2,,Quarter-Final,Kenny Donovan,Kit DeSalvo,16,R,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,411,Igor Mikushov,Am. Waltz,11
NY,2,,Quarter-Final,Roberto Erb,Jackie Channey,11,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,326,Anastasia Abrashin,Am. Waltz,12
NY,2,,Quarter-Final,Roberto Erb,Jackie Channey,12,,0,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,326,Bill Davies,Am. Waltz,12
NY,2,X,Quarter-Final,Roberto Erb,Jackie Channey,13,,1,  Bronze Am. Waltz  (W),Sample,0,cdc13,40012838,326,Azamat Evgamukov,Am. Waltz,12
