couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
NC,0,1,Final,Nathan Ahlgrim,Toni Bowerman,11,1,1, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,252,Gianni Caliandro,Waltz,1
NC,0,1,Final,Nathan Ahlgrim,Toni Bowerman,12,1,1, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,252,Wayne Crowder,Waltz,1
NC,0,4,Final,Nathan Ahlgrim,Toni Bowerman,13,1,4, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,252,Marie Crowder,Waltz,1
NC,0,1,Final,Nathan Ahlgrim,Toni Bowerman,14,1,1, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,252,Arianna Esposito,Waltz,1
NC,0,1,Final,Nathan Ahlgrim,Toni Bowerman,17,1,1, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,252,Sami Yli-Piipari,Waltz,1
NC,0,2,Final,Steven Smeltz-Zapata,Teghan Bland,11,2,2, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,255,Gianni Caliandro,Waltz,2
NC,0,4,Final,Steven Smeltz-Zapata,Teghan Bland,12,2,4, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,255,Wayne Crowder,Waltz,2
NC,0,1,Final,Steven Smeltz-Zapata,Teghan Bland,13,2,1, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,255,Marie Crowder,Waltz,2
NC,0,2,Final,Steven Smeltz-Zapata,Teghan Bland,14,2,2, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,255,Arianna Esposito,Waltz,2
NC,0,3,Final,Steven Smeltz-Zapata,Teghan Bland,17,2,3, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,255,Sami Yli-Piipari,Waltz,2
nc,0,5,Final,Willie Frazier,Nina Renz,11,3,5, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,229,Gianni Caliandro,Waltz,3
nc,0,2,Final,Willie Frazier,Nina Renz,12,3,2, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,229,Wayne Crowder,Waltz,3
nc,0,3,Final,Willie Frazier,Nina Renz,13,3,3, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,229,Marie Crowder,Waltz,3
nc,0,5,Final,Willie Frazier,Nina Renz,14,3,5, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,229,Arianna Esposito,Waltz,3
nc,0,2,Final,Willie Frazier,Nina Renz,17,3,2, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,229,Sami Yli-Piipari,Waltz,3
NC,0,3,Final,Robert Snyder,Lulu  Diaz,11,4,3, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,220,Gianni Caliandro,Waltz,4
NC,0,5,Final,Robert Snyder,Lulu  Diaz,12,4,5, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,220,Wayne Crowder,Waltz,4
NC,0,2,Final,Robert Snyder,Lulu  Diaz,13,4,2, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,220,Marie Crowder,Waltz,4
NC,0,3,Final,Robert Snyder,Lulu  Diaz,14,4,3, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,220,Arianna Esposito,Waltz,4
NC,0,5,Final,Robert Snyder,Lulu  Diaz,17,4,5, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,220,Sami Yli-Piipari,Waltz,4
NC,0,4,Final,Luke Miller,Alex Drose,11,5,4, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,279,Gianni Caliandro,Waltz,5
NC,0,6,Final,Luke Miller,Alex Drose,12,5,6, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,279,Wayne Crowder,Waltz,5
NC,0,5,Final,Luke Miller,Alex Drose,13,5,5, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,279,Marie Crowder,Waltz,5
NC,0,4,Final,Luke Miller,Alex Drose,14,5,4, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,279,Arianna Esposito,Waltz,5
NC,0,6,Final,Luke Miller,Alex Drose,17,5,6, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,279,Sami Yli-Piipari,Waltz,5
NC,0,7,Final,Matthew Coco,Rodniqua Minor,11,7,7, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,256,Gianni Caliandro,Waltz,6
NC,0,7,Final,Matthew Coco,Rodniqua Minor,12,7,7, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,256,Wayne Crowder,Waltz,6
NC,0,7,Final,Matthew Coco,Rodniqua Minor,13,7,7, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,256,Marie Crowder,Waltz,6
NC,0,6,Final,Matthew Coco,Rodniqua Minor,14,7,6, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,256,Arianna Esposito,Waltz,6
NC,0,7,Final,Matthew Coco,Rodniqua Minor,17,7,7, Mixed Ladies Adult Bronze Standard  (WQ),Sample,0,chd13,48422810,256,Sami Yli-Piipari,Waltz,6
