couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,10,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Kristiina Ilo,Waltz,1
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,12,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Bill Davies,Waltz,1
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,13,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Bonita Brockert,Waltz,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,15,1,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Elzbieta Kasperowicz,Waltz,1
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,18,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Charles W Jones,Waltz,1
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,20,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Lori Woods Gay,Waltz,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,21,1,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,616,Marco Mechelke,Waltz,1
Alabama,0,2,Final,Carmine Rucco,Maria Bolyard,10,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Kristiina Ilo,Waltz,2
Alabama,0,3,Final,Carmine Rucco,Maria Bolyard,12,2,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Bill Davies,Waltz,2
Alabama,0,6,Final,Carmine Rucco,Maria Bolyard,13,2,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Bonita Brockert,Waltz,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,15,2,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Elzbieta Kasperowicz,Waltz,2
Alabama,0,2,Final,Carmine Rucco,Maria Bolyard,18,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Charles W Jones,Waltz,2
Alabama,0,2,Final,Carmine Rucco,Maria Bolyard,20,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Lori Woods Gay,Waltz,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,21,2,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,613,Marco Mechelke,Waltz,2
California,0,5,Final,Juan Vasquez,Janice Vasquez,10,5,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Kristiina Ilo,Waltz,3
California,0,4,Final,Juan Vasquez,Janice Vasquez,12,5,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Bill Davies,Waltz,3
California,0,3,Final,Juan Vasquez,Janice Vasquez,13,5,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Bonita Brockert,Waltz,3
California,0,6,Final,Juan Vasquez,Janice Vasquez,15,5,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Elzbieta Kasperowicz,Waltz,3
California,0,5,Final,Juan Vasquez,Janice Vasquez,18,5,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Charles W Jones,Waltz,3
California,0,3,Final,Juan Vasquez,Janice Vasquez,20,5,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Lori Woods Gay,Waltz,3
California,0,5,Final,Juan Vasquez,Janice Vasquez,21,5,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,644,Marco Mechelke,Waltz,3
Illinois,0,4,Final,Robert J. Tempas,Laurel E. Tempas,10,4,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Kristiina Ilo,Waltz,4
Illinois,0,5,Final,Robert J. Tempas,Laurel E. Tempas,12,4,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Bill Davies,Waltz,4
Illinois,0,2,Final,Robert J. Tempas,Laurel E. Tempas,13,4,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Bonita Brockert,Waltz,4
Illinois,0,5,Final,Robert J. Tempas,Laurel E. Tempas,15,4,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Elzbieta Kasperowicz,Waltz,4
Illinois,0,4,Final,Robert J. Tempas,Laurel E. Tempas,18,4,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Charles W Jones,Waltz,4
Illinois,0,7,Final,Robert J. Tempas,Laurel E. Tempas,20,4,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Lori Woods Gay,Waltz,4
Illinois,0,4,Final,Robert J. Tempas,Laurel E. Tempas,21,4,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,635,Marco Mechelke,Waltz,4
Kentucky,0,3,Final,Ed Moore,Melissa Moore,10,3,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Kristiina Ilo,Waltz,5
Kentucky,0,6,Final,Ed Moore,Melissa Moore,12,3,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Bill Davies,Waltz,5
Kentucky,0,4,Final,Ed Moore,Melissa Moore,13,3,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Bonita Brockert,Waltz,5
Kentucky,0,4,Final,Ed Moore,Melissa Moore,15,3,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Elzbieta Kasperowicz,Waltz,5
Kentucky,0,3,Final,Ed Moore,Melissa Moore,18,3,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Charles W Jones,Waltz,5
Kentucky,0,5,Final,Ed Moore,Melissa Moore,20,3,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Lori Woods Gay,Waltz,5
Kentucky,0,3,Final,Ed Moore,Melissa Moore,21,3,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,588,Marco Mechelke,Waltz,5
Ohio,0,6,Final,Stephen Barba,Susan Ryan,10,6,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Kristiina Ilo,Waltz,6
Ohio,0,7,Final,Stephen Barba,Susan Ryan,12,6,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Bill Davies,Waltz,6
Ohio,0,5,Final,Stephen Barba,Susan Ryan,13,6,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Bonita Brockert,Waltz,6
Ohio,0,3,Final,Stephen Barba,Susan Ryan,15,6,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Elzbieta Kasperowicz,Waltz,6
Ohio,0,6,Final,Stephen Barba,Susan Ryan,18,6,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Charles W Jones,Waltz,6
Ohio,0,6,Final,Stephen Barba,Susan Ryan,20,6,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Lori Woods Gay,Waltz,6
Ohio,0,7,Final,Stephen Barba,Susan Ryan,21,6,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,503,Marco Mechelke,Waltz,6
Florida,0,7,Final,Kevin Payne,Louise Payne,10,7,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Kristiina Ilo,Waltz,7
Florida,0,2,Final,Kevin Payne,Louise Payne,12,7,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Bill Davies,Waltz,7
Florida,0,7,Final,Kevin Payne,Louise Payne,13,7,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Bonita Brockert,Waltz,7
Florida,0,7,Final,Kevin Payne,Louise Payne,15,7,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Elzbieta Kasperowicz,Waltz,7
Florida,0,7,Final,Kevin Payne,Louise Payne,18,7,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Charles W Jones,Waltz,7
Florida,0,4,Final,Kevin Payne,Louise Payne,20,7,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Lori Woods Gay,Waltz,7
Florida,0,6,Final,Kevin Payne,Louise Payne,21,7,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,0,chi13,40448330,600,Marco Mechelke,Waltz,7
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,10,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Kristiina Ilo,Tango,1
Tennessee,0,5,Final,Roberto Schipp,Leigh Wieland,12,2,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Bill Davies,Tango,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,13,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Bonita Brockert,Tango,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,15,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Elzbieta Kasperowicz,Tango,1
Tennessee,0,1,Final,Roberto Schipp,Leigh Wieland,18,2,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Charles W Jones,Tango,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,20,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Lori Woods Gay,Tango,1
Tennessee,0,2,Final,Roberto Schipp,Leigh Wieland,21,2,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,616,Marco Mechelke,Tango,1
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,10,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Kristiina Ilo,Tango,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,12,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Bill Davies,Tango,2
Alabama,0,6,Final,Carmine Rucco,Maria Bolyard,13,1,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Bonita Brockert,Tango,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,15,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Elzbieta Kasperowicz,Tango,2
Alabama,0,2,Final,Carmine Rucco,Maria Bolyard,18,1,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Charles W Jones,Tango,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,20,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Lori Woods Gay,Tango,2
Alabama,0,1,Final,Carmine Rucco,Maria Bolyard,21,1,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,613,Marco Mechelke,Tango,2
California,0,4,Final,Juan Vasquez,Janice Vasquez,10,3,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Kristiina Ilo,Tango,3
California,0,4,Final,Juan Vasquez,Janice Vasquez,12,3,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Bill Davies,Tango,3
California,0,5,Final,Juan Vasquez,Janice Vasquez,13,3,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Bonita Brockert,Tango,3
California,0,3,Final,Juan Vasquez,Janice Vasquez,15,3,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Elzbieta Kasperowicz,Tango,3
California,0,5,Final,Juan Vasquez,Janice Vasquez,18,3,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Charles W Jones,Tango,3
California,0,3,Final,Juan Vasquez,Janice Vasquez,20,3,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Lori Woods Gay,Tango,3
California,0,4,Final,Juan Vasquez,Janice Vasquez,21,3,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,644,Marco Mechelke,Tango,3
Illinois,0,3,Final,Robert J. Tempas,Laurel E. Tempas,10,6,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Kristiina Ilo,Tango,4
Illinois,0,7,Final,Robert J. Tempas,Laurel E. Tempas,12,6,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Bill Davies,Tango,4
Illinois,0,4,Final,Robert J. Tempas,Laurel E. Tempas,13,6,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Bonita Brockert,Tango,4
Illinois,0,6,Final,Robert J. Tempas,Laurel E. Tempas,15,6,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Elzbieta Kasperowicz,Tango,4
Illinois,0,4,Final,Robert J. Tempas,Laurel E. Tempas,18,6,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Charles W Jones,Tango,4
Illinois,0,7,Final,Robert J. Tempas,Laurel E. Tempas,20,6,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Lori Woods Gay,Tango,4
Illinois,0,6,Final,Robert J. Tempas,Laurel E. Tempas,21,6,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,635,Marco Mechelke,Tango,4
Kentucky,0,5,Final,Ed Moore,Melissa Moore,10,4,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Kristiina Ilo,Tango,5
Kentucky,0,6,Final,Ed Moore,Melissa Moore,12,4,6, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Bill Davies,Tango,5
Kentucky,0,1,Final,Ed Moore,Melissa Moore,13,4,1, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Bonita Brockert,Tango,5
Kentucky,0,4,Final,Ed Moore,Melissa Moore,15,4,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Elzbieta Kasperowicz,Tango,5
Kentucky,0,3,Final,Ed Moore,Melissa Moore,18,4,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Charles W Jones,Tango,5
Kentucky,0,5,Final,Ed Moore,Melissa Moore,20,4,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Lori Woods Gay,Tango,5
Kentucky,0,3,Final,Ed Moore,Melissa Moore,21,4,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,588,Marco Mechelke,Tango,5
Ohio,0,7,Final,Stephen Barba,Susan Ryan,10,5,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Kristiina Ilo,Tango,6
Ohio,0,2,Final,Stephen Barba,Susan Ryan,12,5,2, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Bill Davies,Tango,6
Ohio,0,3,Final,Stephen Barba,Susan Ryan,13,5,3, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Bonita Brockert,Tango,6
Ohio,0,5,Final,Stephen Barba,Susan Ryan,15,5,5, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Elzbieta Kasperowicz,Tango,6
Ohio,0,7,Final,Stephen Barba,Susan Ryan,18,5,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Charles W Jones,Tango,6
Ohio,0,4,Final,Stephen Barba,Susan Ryan,20,5,4, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Lori Woods Gay,Tango,6
Ohio,0,7,Final,Stephen Barba,Susan Ryan,21,5,7, Amateur Senior II Pre-Champ Smooth  (WTFV),Sample,1,chi13,40448330,503,Marco Mechelke,Tango,6
