couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,David Arnold,Catherine  Gallo,13,1,1, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,116,Olga Foraponova,Night Club 2-Step,1
CA,0,2,Final,David Arnold,Catherine  Gallo,17,1,2, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,116,Charlotte Jorgensen,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,18,1,1, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,116,Lena Kosovich,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,21,1,1, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,116,Ronald Montez,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,24,1,1, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,116,Giacomo Steccaglia,Night Club 2-Step,1
CA,0,2,Final,Wesley Fukagawa,Michiyo Suzuki,13,2,2, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,175,Olga Foraponova,Night Club 2-Step,2
CA,0,1,Final,Wesley Fukagawa,Michiyo Suzuki,17,2,1, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,175,Charlotte Jorgensen,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Michiyo Suzuki,18,2,2, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,175,Lena Kosovich,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Michiyo Suzuki,21,2,2, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,175,Ronald Montez,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Michiyo Suzuki,24,2,2, Pro/Am Adult B1 Int. Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42A64,175,Giacomo Steccaglia,Night Club 2-Step,2
CA,0,1,Final,David Arnold,Catherine  Gallo,13,1,1, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,116,Olga Foraponova,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,17,1,1, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,116,Charlotte Jorgensen,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,18,1,1, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,116,Lena Kosovich,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,21,1,1, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,116,Ronald Montez,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,24,1,1, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,116,Giacomo Steccaglia,Night Club 2-Step,1
CA,0,2,Final,Wesley Fukagawa,Chanhtima Vongsaath,13,2,2, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,175,Olga Foraponova,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Chanhtima Vongsaath,17,2,2, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,175,Charlotte Jorgensen,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Chanhtima Vongsaath,18,2,2, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,175,Lena Kosovich,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Chanhtima Vongsaath,21,2,2, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,175,Ronald Montez,Night Club 2-Step,2
CA,0,2,Final,Wesley Fukagawa,Chanhtima Vongsaath,24,2,2, Pro/Am Adult A2 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C22B64,175,Giacomo Steccaglia,Night Club 2-Step,2
CA,0,1,Final,David Arnold,Catherine  Gallo,13,1,1, Pro/Am Adult B1 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42B64,116,Olga Foraponova,Night Club 2-Step,1
CA,0,2,Final,David Arnold,Catherine  Gallo,17,1,2, Pro/Am Adult B1 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42B64,116,Charlotte Jorgensen,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,18,1,1, Pro/Am Adult B1 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42B64,116,Lena Kosovich,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,21,1,1, Pro/Am Adult B1 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42B64,116,Ronald Montez,Night Club 2-Step,1
CA,0,1,Final,David Arnold,Catherine  Gallo,24,1,1, Pro/Am Adult B1 Full Bronze Night Club 2-Step  (2),Sample,0,clb13,80C42B64,116,Giacomo Steccaglia,Night Club 2-Step,1
