couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AB,0,1,Final,Steven Luu,Tami Lam,12,1,1, Open Pro/Am Ladies Adult A1 Newcomer Am. Waltz  (W),Sample,0,co211,89C12038,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Tami Lam,13,1,1, Open Pro/Am Ladies Adult A1 Newcomer Am. Waltz  (W),Sample,0,co211,89C12038,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Tami Lam,15,1,1, Open Pro/Am Ladies Adult A1 Newcomer Am. Waltz  (W),Sample,0,co211,89C12038,18,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,12,1,1, Open Pro/Am Ladies Adult A2 Newcomer Am. Waltz  (W),Sample,0,co211,89C22038,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,13,1,1, Open Pro/Am Ladies Adult A2 Newcomer Am. Waltz  (W),Sample,0,co211,89C22038,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,15,1,1, Open Pro/Am Ladies Adult A2 Newcomer Am. Waltz  (W),Sample,0,co211,89C22038,22,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Steven Luu,Tami Lam,12,1,1, Open Pro/Am Ladies Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C12938,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Tami Lam,13,1,1, Open Pro/Am Ladies Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C12938,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Tami Lam,15,1,1, Open Pro/Am Ladies Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C12938,18,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,12,1,1, Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C22938,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,13,1,1, Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C22938,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,15,1,1, Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C22938,22,Diana Lefebvre,Am. Waltz,1
Ab,0,1,Final,Jo-Jo Belmonte,Enya Bresee,12,1,1, Open Pro/Am Ladies Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,892C2A38,12,Pierrette Chartier,Am. Waltz,1
Ab,0,1,Final,Jo-Jo Belmonte,Enya Bresee,13,1,1, Open Pro/Am Ladies Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,892C2A38,12,Phil Lee,Am. Waltz,1
Ab,0,1,Final,Jo-Jo Belmonte,Enya Bresee,15,1,1, Open Pro/Am Ladies Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,892C2A38,12,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,12,1,1, Open Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C22938,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,13,1,1, Open Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C22938,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,15,1,1, Open Pro/Am Ladies Adult A2 Pre-Bronze Am. Waltz  (W),Sample,0,co211,89C22938,22,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Steven Luu,Hang Nguyen,12,1,1, Open Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C42A38,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Hang Nguyen,13,1,1, Open Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C42A38,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Hang Nguyen,15,1,1, Open Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C42A38,18,Diana Lefebvre,Am. Waltz,1
Ab,0,1,Final,Giovanni Soto,Hailey Stefanick,12,1,1, Student/Student Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,B02C2A38,256,Pierrette Chartier,Am. Waltz,1
Ab,0,1,Final,Giovanni Soto,Hailey Stefanick,13,1,1, Student/Student Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,B02C2A38,256,Phil Lee,Am. Waltz,1
Ab,0,2,Final,Giovanni Soto,Hailey Stefanick,15,1,2, Student/Student Junior Int. Bronze Am. Waltz  (W),Sample,0,co211,B02C2A38,256,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,12,1,1, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,13,1,1, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,15,1,1, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,22,Diana Lefebvre,Am. Waltz,1
AB,0,2,Final,Dale Tosczak,Pearl Cameron,12,2,2, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,23,Pierrette Chartier,Am. Waltz,2
AB,0,2,Final,Dale Tosczak,Pearl Cameron,13,2,2, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,23,Phil Lee,Am. Waltz,2
AB,0,2,Final,Dale Tosczak,Pearl Cameron,15,2,2, Pro/Am Ladies Adult B1 Pre-Bronze Am. Waltz  (W),Sample,0,co211,88C32938,23,Diana Lefebvre,Am. Waltz,2
AB,0,1,Final,Steven Luu,Hang Nguyen,12,1,1, Open Pro/Am Ladies Adult B2 Full Bronze Am. Waltz  (W),Sample,0,co211,89C42B38,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Hang Nguyen,13,1,1, Open Pro/Am Ladies Adult B2 Full Bronze Am. Waltz  (W),Sample,0,co211,89C42B38,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Hang Nguyen,15,1,1, Open Pro/Am Ladies Adult B2 Full Bronze Am. Waltz  (W),Sample,0,co211,89C42B38,18,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,12,1,1, Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,88C12A38,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,13,1,1, Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,88C12A38,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,15,1,1, Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,88C12A38,22,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,12,1,1, Open Pro/Am Ladies Adult B1 Full Silver Am. Waltz  (W),Sample,0,co211,89C33338,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,13,1,1, Open Pro/Am Ladies Adult B1 Full Silver Am. Waltz  (W),Sample,0,co211,89C33338,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,15,1,1, Open Pro/Am Ladies Adult B1 Full Silver Am. Waltz  (W),Sample,0,co211,89C33338,18,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,12,1,1, Open Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C12A38,22,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,13,1,1, Open Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C12A38,22,Phil Lee,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Katie McCullough,15,1,1, Open Pro/Am Ladies Adult A1 Int. Bronze Am. Waltz  (W),Sample,0,co211,89C12A38,22,Diana Lefebvre,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,12,1,1, Open Pro/Am Ladies Adult B1 Pre-Gold Am. Waltz  (W),Sample,0,co211,89C33938,18,Pierrette Chartier,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,13,1,1, Open Pro/Am Ladies Adult B1 Pre-Gold Am. Waltz  (W),Sample,0,co211,89C33938,18,Phil Lee,Am. Waltz,1
AB,0,1,Final,Steven Luu,Cindy Chung,15,1,1, Open Pro/Am Ladies Adult B1 Pre-Gold Am. Waltz  (W),Sample,0,co211,89C33938,18,Diana Lefebvre,Am. Waltz,1
