couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,2,Final,Andrew Nguyen,Jennifer Huey,12,1,2,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,339,Alex Zagrean,Am. Waltz,1
CA,0,1,Final,Andrew Nguyen,Jennifer Huey,13,1,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,339,Steve Vasco,Am. Waltz,1
CA,0,2,Final,Andrew Nguyen,Jennifer Huey,14,1,2,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,339,Monika Olejnik,Am. Waltz,1
CA,0,1,Final,Scott Suwabe,Anne Nakano,12,2,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Alex Zagrean,Am. Waltz,2
CA,0,5,Final,Scott Suwabe,Anne Nakano,13,2,5,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Steve Vasco,Am. Waltz,2
CA,0,3,Final,Scott Suwabe,Anne Nakano,14,2,3,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Monika Olejnik,Am. Waltz,2
CA,0,3,Final,Merritt Miller,Michelle Becker,12,3,3,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,338,Alex Zagrean,Am. Waltz,3
CA,0,2,Final,Merritt Miller,Michelle Becker,13,3,2,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,338,Steve Vasco,Am. Waltz,3
CA,0,5,Final,Merritt Miller,Michelle Becker,14,3,5,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,338,Monika Olejnik,Am. Waltz,3
CA,0,6,Final,Sean Timm,Claire Parker,12,4,6,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,349,Alex Zagrean,Am. Waltz,4
CA,0,4,Final,Sean Timm,Claire Parker,13,4,4,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,349,Steve Vasco,Am. Waltz,4
CA,0,1,Final,Sean Timm,Claire Parker,14,4,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,349,Monika Olejnik,Am. Waltz,4
CA,0,4,Final,Georg Ristock,Julie Steele,12,5,4,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,345,Alex Zagrean,Am. Waltz,5
CA,0,6,Final,Georg Ristock,Julie Steele,13,5,6,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,345,Steve Vasco,Am. Waltz,5
CA,0,4,Final,Georg Ristock,Julie Steele,14,5,4,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,345,Monika Olejnik,Am. Waltz,5
CA,0,5,Final,Eli Marable,Maura OLeary,12,6,5,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,336,Alex Zagrean,Am. Waltz,6
CA,0,3,Final,Eli Marable,Maura OLeary,13,6,3,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,336,Steve Vasco,Am. Waltz,6
CA,0,6,Final,Eli Marable,Maura OLeary,14,6,6,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,336,Monika Olejnik,Am. Waltz,6
CA,1,,Semi-Final,Scott Suwabe,Anne Nakano,12,R,0,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Alex Zagrean,Am. Waltz,2
CA,1,X,Semi-Final,Scott Suwabe,Anne Nakano,13,R,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Steve Vasco,Am. Waltz,2
CA,1,X,Semi-Final,Scott Suwabe,Anne Nakano,14,R,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,325,Monika Olejnik,Am. Waltz,2
CA,1,X,Semi-Final,Eli Marable,Maura OLeary,12,R,1,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,336,Alex Zagrean,Am. Waltz,6
CA,1,,Semi-Final,Eli Marable,Maura OLeary,13,R,0,  Bronze Am. Waltz  (W),Sample,0,cpd12,40012838,336,Steve Vasco,Am. Waltz,6
