couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Vlad Anohin,Emelia Wolf,10,1,1, Pro/Am Junior D Open Silver Intl. Samba  (S),Sample,0,csb12,80A43529,105,Tomas Atkocevicius,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,13,1,1, Pro/Am Junior D Open Silver Intl. Samba  (S),Sample,0,csb12,80A43529,105,Stephen Cullip,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,15,1,1, Pro/Am Junior D Open Silver Intl. Samba  (S),Sample,0,csb12,80A43529,105,Michel Guimond,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,16,1,1, Pro/Am Junior D Open Silver Intl. Samba  (S),Sample,0,csb12,80A43529,105,Denise Jourdaine_Krauel,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,19,1,1, Pro/Am Junior D Open Silver Intl. Samba  (S),Sample,0,csb12,80A43529,105,Natalie Paramonov,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,10,1,1, Pro/Am Adult A1 Open Silver Intl. Samba  (S),Sample,0,csb12,80C13529,105,Tomas Atkocevicius,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,13,1,1, Pro/Am Adult A1 Open Silver Intl. Samba  (S),Sample,0,csb12,80C13529,105,Stephen Cullip,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,15,1,1, Pro/Am Adult A1 Open Silver Intl. Samba  (S),Sample,0,csb12,80C13529,105,Michel Guimond,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,16,1,1, Pro/Am Adult A1 Open Silver Intl. Samba  (S),Sample,0,csb12,80C13529,105,Denise Jourdaine_Krauel,Intl. Samba,1
WA,0,1,Final,Vlad Anohin,Emelia Wolf,19,1,1, Pro/Am Adult A1 Open Silver Intl. Samba  (S),Sample,0,csb12,80C13529,105,Natalie Paramonov,Intl. Samba,1
OR,0,1,Final,David Stewart,Bree Blevins,11,1,1, Pro/Am Gents Adult B1 Newcomer Am. Cha Cha  (C),Sample,0,csb12,90C42048,302,Jennifer Booth,Am. Cha Cha,1
OR,0,1,Final,David Stewart,Bree Blevins,12,1,1, Pro/Am Gents Adult B1 Newcomer Am. Cha Cha  (C),Sample,0,csb12,90C42048,302,Aira Bubnelyte,Am. Cha Cha,1
OR,0,1,Final,David Stewart,Bree Blevins,14,1,1, Pro/Am Gents Adult B1 Newcomer Am. Cha Cha  (C),Sample,0,csb12,90C42048,302,Bill Davies,Am. Cha Cha,1
OR,0,1,Final,David Stewart,Bree Blevins,17,1,1, Pro/Am Gents Adult B1 Newcomer Am. Cha Cha  (C),Sample,0,csb12,90C42048,302,Stephan Krauel,Am. Cha Cha,1
