couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Jonathan Chow,Elaine Chow,10,1,1, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,179,Gosia Zygadlo,Waltz,1
CA,0,1,Final,Jonathan Chow,Elaine Chow,14,1,1, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,179,Daniele Gozzi,Waltz,1
CA,0,2,Final,Jonathan Chow,Elaine Chow,15,1,2, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,179,Cecilia Giovacchini,Waltz,1
CA,0,2,Final,Kenneth Chen,Hao Truong,10,2,2, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,187,Gosia Zygadlo,Waltz,2
CA,0,2,Final,Kenneth Chen,Hao Truong,14,2,2, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,187,Daniele Gozzi,Waltz,2
CA,0,1,Final,Kenneth Chen,Hao Truong,15,2,1, Adult Gold Standard  (WTFQ),Sample,0,csc11,40423810,187,Cecilia Giovacchini,Waltz,2
CA,0,1,Final,Jonathan Chow,Elaine Chow,10,1,1, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,179,Gosia Zygadlo,Tango,1
CA,0,1,Final,Jonathan Chow,Elaine Chow,14,1,1, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,179,Daniele Gozzi,Tango,1
CA,0,2,Final,Jonathan Chow,Elaine Chow,15,1,2, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,179,Cecilia Giovacchini,Tango,1
CA,0,2,Final,Kenneth Chen,Hao Truong,10,2,2, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,187,Gosia Zygadlo,Tango,2
CA,0,2,Final,Kenneth Chen,Hao Truong,14,2,2, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,187,Daniele Gozzi,Tango,2
CA,0,1,Final,Kenneth Chen,Hao Truong,15,2,1, Adult Gold Standard  (WTFQ),Sample,1,csc11,40423810,187,Cecilia Giovacchini,Tango,2
CA,0,1,Final,Jonathan Chow,Elaine Chow,10,2,1, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,179,Gosia Zygadlo,Foxtrot,1
CA,0,2,Final,Jonathan Chow,Elaine Chow,14,2,2, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,179,Daniele Gozzi,Foxtrot,1
CA,0,2,Final,Jonathan Chow,Elaine Chow,15,2,2, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,179,Cecilia Giovacchini,Foxtrot,1
CA,0,2,Final,Kenneth Chen,Hao Truong,10,1,2, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,187,Gosia Zygadlo,Foxtrot,2
CA,0,1,Final,Kenneth Chen,Hao Truong,14,1,1, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,187,Daniele Gozzi,Foxtrot,2
CA,0,1,Final,Kenneth Chen,Hao Truong,15,1,1, Adult Gold Standard  (WTFQ),Sample,2,csc11,40423810,187,Cecilia Giovacchini,Foxtrot,2
CA,0,1,Final,Jonathan Chow,Elaine Chow,10,1,1, Adult Gold Standard  (WTFQ),Sample,3,csc11,40423810,179,Gosia Zygadlo,Quickstep,1
CA,0,1,Final,Jonathan Chow,Elaine Chow,14,1,1, Adult Gold Standard  (WTFQ),Sample,3,csc11,40423810,179,Daniele Gozzi,Quickstep,1
CA,0,2,Final,Jonathan Chow,Elaine Chow,15,1,2, Adult Gold Standard  (WTFQ),Sample,3,csc11,40423810,179,Cecilia Giovacchini,Quickstep,1
