couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MA,0,5,Final,Daniel Richman,Devon Sklair,10,,5, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,107,David Endicott,Cha Cha,1
MA,0,E,Final,Sam Hersh,Ashley Costello,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,109,David Endicott,Cha Cha,2
,0,>,Final,Paul Maschhoff,Emily Atwater,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,112,David Endicott,Cha Cha,3
Nh,0,8,Final,Elise Deyett,Alison  Deyett,10,,8, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,121,David Endicott,Cha Cha,4
MA,0,:,Final,Henry Butler,Kate Alexander,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,125,David Endicott,Cha Cha,5
,0,E,Final,Connor Allen,Laura Baker,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,126,David Endicott,Cha Cha,6
,0,?,Final,Ethan Penner,Kathleen Newcomer,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,132,David Endicott,Cha Cha,7
,0,?,Final,Richard Yan,Leah Leshchinsky,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,139,David Endicott,Cha Cha,8
ri,0,?,Final,Julien Goldstick,Molly Bryan,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,142,David Endicott,Cha Cha,9
MA,0,?,Final,Will Peterson,Julie Booth,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,143,David Endicott,Cha Cha,10
ri,0,:,Final,Cassidy Des Roches,Emma Holman,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,147,David Endicott,Cha Cha,11
MA,0,K,Final,Brandon Hall,Amanda Schramm,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,152,David Endicott,Cha Cha,12
MA,0,:,Final,Matt Chambers,Grace Doble,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,157,David Endicott,Cha Cha,13
MA,0,I,Final,Kieran Healey,Sarah Putnam,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,159,David Endicott,Cha Cha,14
MA,0,:,Final,Meghan Davis,Alicia Dagle,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,162,David Endicott,Cha Cha,15
MA,0,I,Final,John Kelly,Kate Pfeil,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,164,David Endicott,Cha Cha,16
ME,0,4,Final,Chris Pelz,Hyosun Hong,10,,4, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,171,David Endicott,Cha Cha,17
MA,0,2,Final,Zohaib Mahmood,Peiying Zhu,10,,2, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,172,David Endicott,Cha Cha,18
MA,0,K,Final,Zac Peliquin,Yadi Liu,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,173,David Endicott,Cha Cha,19
MA,0,8,Final,Hannah Eisenhofer,Isabella Montuori,10,,8, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,177,David Endicott,Cha Cha,20
,0,3,Final,Kevin Kelly,Maria Van Thienen,10,,3, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,179,David Endicott,Cha Cha,21
MA,0,?,Final,Ellie Howard,Tal Usvyatsky,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,181,David Endicott,Cha Cha,22
MA,0,E,Final,Luke Thompson,April Dunning,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,183,David Endicott,Cha Cha,23
MA,0,?,Final,Justin Stott,Lauryn Nosevich,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,189,David Endicott,Cha Cha,24
MA,0,6,Final,Theo Smith,Alexa Duchesnau,10,,6, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,193,David Endicott,Cha Cha,25
,0,7,Final,Brian Zamecik,Nikki Pire,10,,7, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,197,David Endicott,Cha Cha,26
MA,0,1,Final,Corey Cleveland,Clio Flikkema,10,,1, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,198,David Endicott,Cha Cha,27
ri,0,E,Final,Noah Carsten,Christine Thompson,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,0,cub14,EE422071,202,David Endicott,Cha Cha,28
MA,0,:,Final,Daniel Richman,Devon Sklair,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,107,David Endicott,Rumba,1
MA,0,C,Final,Sam Hersh,Ashley Costello,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,109,David Endicott,Rumba,2
,0,7,Final,Paul Maschhoff,Emily Atwater,10,,7, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,112,David Endicott,Rumba,3
Nh,0,=,Final,Elise Deyett,Alison  Deyett,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,121,David Endicott,Rumba,4
MA,0,;,Final,Henry Butler,Kate Alexander,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,125,David Endicott,Rumba,5
,0,;,Final,Connor Allen,Laura Baker,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,126,David Endicott,Rumba,6
,0,4,Final,Ethan Penner,Kathleen Newcomer,10,,4, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,132,David Endicott,Rumba,7
,0,C,Final,Richard Yan,Leah Leshchinsky,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,139,David Endicott,Rumba,8
ri,0,G,Final,Julien Goldstick,Molly Bryan,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,142,David Endicott,Rumba,9
MA,0,3,Final,Will Peterson,Julie Booth,10,,3, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,143,David Endicott,Rumba,10
ri,0,A,Final,Cassidy Des Roches,Emma Holman,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,147,David Endicott,Rumba,11
MA,0,J,Final,Brandon Hall,Amanda Schramm,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,152,David Endicott,Rumba,12
MA,0,=,Final,Matt Chambers,Grace Doble,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,157,David Endicott,Rumba,13
MA,0,G,Final,Kieran Healey,Sarah Putnam,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,159,David Endicott,Rumba,14
MA,0,=,Final,Meghan Davis,Alicia Dagle,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,162,David Endicott,Rumba,15
MA,0,J,Final,John Kelly,Kate Pfeil,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,164,David Endicott,Rumba,16
ME,0,5,Final,Chris Pelz,Hyosun Hong,10,,5, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,171,David Endicott,Rumba,17
MA,0,2,Final,Zohaib Mahmood,Peiying Zhu,10,,2, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,172,David Endicott,Rumba,18
MA,0,J,Final,Zac Peliquin,Yadi Liu,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,173,David Endicott,Rumba,19
MA,0,7,Final,Hannah Eisenhofer,Isabella Montuori,10,,7, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,177,David Endicott,Rumba,20
,0,7,Final,Kevin Kelly,Maria Van Thienen,10,,7, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,179,David Endicott,Rumba,21
MA,0,=,Final,Ellie Howard,Tal Usvyatsky,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,181,David Endicott,Rumba,22
MA,0,C,Final,Luke Thompson,April Dunning,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,183,David Endicott,Rumba,23
MA,0,C,Final,Justin Stott,Lauryn Nosevich,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,189,David Endicott,Rumba,24
MA,0,6,Final,Theo Smith,Alexa Duchesnau,10,,6, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,193,David Endicott,Rumba,25
,0,G,Final,Brian Zamecik,Nikki Pire,10,,0, -- Combine -- Adult Newcomer Am. Multi-Dance  (CRS),Sample,1,cub14,EE422071,197,David Endicott,Rumba,26
