couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
FL,0,1,Final,Daniel P. Fugazzotto,Janis M. Merluzzo,10,1,1, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,110,Russ Arnold,Waltz,1
FL,0,1,Final,Daniel P. Fugazzotto,Janis M. Merluzzo,12,1,1, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,110,Richard Booth,Waltz,1
FL,0,3,Final,Daniel P. Fugazzotto,Janis M. Merluzzo,14,1,3, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,110,Wendi Davies,Waltz,1
FL,0,1,Final,Daniel P. Fugazzotto,Janis M. Merluzzo,15,1,1, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,110,Peggy Heeney,Waltz,1
FL,0,1,Final,Daniel P. Fugazzotto,Janis M. Merluzzo,18,1,1, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,110,Kimberly Smith,Waltz,1
MI,0,5,Final,James Ross,Stephanie Krupp,10,2,5, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,176,Russ Arnold,Waltz,2
MI,0,2,Final,James Ross,Stephanie Krupp,12,2,2, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,176,Richard Booth,Waltz,2
MI,0,4,Final,James Ross,Stephanie Krupp,14,2,4, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,176,Wendi Davies,Waltz,2
MI,0,6,Final,James Ross,Stephanie Krupp,15,2,6, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,176,Peggy Heeney,Waltz,2
MI,0,2,Final,James Ross,Stephanie Krupp,18,2,2, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,176,Kimberly Smith,Waltz,2
IN,0,3,Final,Larry A. Gogel,Marsha W. Goldfarb,10,3,3, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,156,Russ Arnold,Waltz,3
IN,0,5,Final,Larry A. Gogel,Marsha W. Goldfarb,12,3,5, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,156,Richard Booth,Waltz,3
IN,0,5,Final,Larry A. Gogel,Marsha W. Goldfarb,14,3,5, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,156,Wendi Davies,Waltz,3
IN,0,2,Final,Larry A. Gogel,Marsha W. Goldfarb,15,3,2, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,156,Peggy Heeney,Waltz,3
IN,0,4,Final,Larry A. Gogel,Marsha W. Goldfarb,18,3,4, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,156,Kimberly Smith,Waltz,3
KY,0,7,Final,Richard A. Fellows,Bonnie L. Fellows,10,5,7, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,108,Russ Arnold,Waltz,4
KY,0,3,Final,Richard A. Fellows,Bonnie L. Fellows,12,5,3, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,108,Richard Booth,Waltz,4
KY,0,1,Final,Richard A. Fellows,Bonnie L. Fellows,14,5,1, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,108,Wendi Davies,Waltz,4
KY,0,7,Final,Richard A. Fellows,Bonnie L. Fellows,15,5,7, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,108,Peggy Heeney,Waltz,4
KY,0,5,Final,Richard A. Fellows,Bonnie L. Fellows,18,5,5, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,108,Kimberly Smith,Waltz,4
VA,0,2,Final,David R. Taylor,Connie C. Taylor,10,4,2, Amateur Senior II Silver Standard  (WTF),Sample,0,dcc09,40443010,200,Russ Arnold,Waltz,5
