couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Hillson Tse,Cindy Chan,11,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,69,Linda Chen,Waltz,1
,0,5,Final,Hillson Tse,Cindy Chan,13,1,5, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,69,Jane Edgett,Waltz,1
,0,2,Final,Hillson Tse,Cindy Chan,14,1,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,69,Michel Guimond,Waltz,1
,0,2,Final,Hillson Tse,Cindy Chan,15,1,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,69,Peter Mant,Waltz,1
,0,1,Final,Hillson Tse,Cindy Chan,16,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,69,Denis Tremblay,Waltz,1
BC,0,2,Final,Connor McLeod,Haley Breedlove,11,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,15,Linda Chen,Waltz,2
BC,0,4,Final,Connor McLeod,Haley Breedlove,13,2,4, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,15,Jane Edgett,Waltz,2
BC,0,3,Final,Connor McLeod,Haley Breedlove,14,2,3, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,15,Michel Guimond,Waltz,2
BC,0,5,Final,Connor McLeod,Haley Breedlove,15,2,5, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,15,Peter Mant,Waltz,2
BC,0,2,Final,Connor McLeod,Haley Breedlove,16,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,15,Denis Tremblay,Waltz,2
B.C.,0,6,Final,Lech Janaszak,Nina Zak,11,3,6, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,53,Linda Chen,Waltz,3
B.C.,0,1,Final,Lech Janaszak,Nina Zak,13,3,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,53,Jane Edgett,Waltz,3
B.C.,0,5,Final,Lech Janaszak,Nina Zak,14,3,5, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,53,Michel Guimond,Waltz,3
B.C.,0,1,Final,Lech Janaszak,Nina Zak,15,3,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,53,Peter Mant,Waltz,3
B.C.,0,4,Final,Lech Janaszak,Nina Zak,16,3,4, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,53,Denis Tremblay,Waltz,3
BC,0,3,Final,Thomas Webber,Diane Duruisseau,11,5,3, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,28,Linda Chen,Waltz,4
BC,0,6,Final,Thomas Webber,Diane Duruisseau,13,5,6, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,28,Jane Edgett,Waltz,4
BC,0,4,Final,Thomas Webber,Diane Duruisseau,14,5,4, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,28,Michel Guimond,Waltz,4
BC,0,6,Final,Thomas Webber,Diane Duruisseau,15,5,6, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,28,Peter Mant,Waltz,4
BC,0,3,Final,Thomas Webber,Diane Duruisseau,16,5,3, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,28,Denis Tremblay,Waltz,4
,0,4,Final,Kazumasa Kuriki,Angela Jurj,11,4,4, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,dpv08,40422910,40,Linda Chen,Waltz,5
