couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MA,0,1,Final,Zachary Bordonaro,Jen Cushing,15,1,1, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,161,Andrew Michael Phillips,Am. Cha Cha,1
MA,0,1,Final,Zachary Bordonaro,Jen Cushing,16,1,1, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,161,Eva Marie Pilgaard,Am. Cha Cha,1
MA,0,1,Final,Zachary Bordonaro,Jen Cushing,19,1,1, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,161,David Rosinski,Am. Cha Cha,1
MA,0,2,Final,Arun Nair,Edna C Stefaniak,15,2,2, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,223,Andrew Michael Phillips,Am. Cha Cha,2
MA,0,2,Final,Arun Nair,Edna C Stefaniak,16,2,2, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,223,Eva Marie Pilgaard,Am. Cha Cha,2
MA,0,2,Final,Arun Nair,Edna C Stefaniak,19,2,2, Pro/Am Adult A2 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C22048,223,David Rosinski,Am. Cha Cha,2
MA,0,1,Final,Ian Davis,Tessa Antolini,15,1,1, Pro/Am Adult B1 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C42048,201,Andrew Michael Phillips,Am. Cha Cha,1
MA,0,1,Final,Ian Davis,Tessa Antolini,16,1,1, Pro/Am Adult B1 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C42048,201,Eva Marie Pilgaard,Am. Cha Cha,1
MA,0,1,Final,Ian Davis,Tessa Antolini,19,1,1, Pro/Am Adult B1 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C42048,201,David Rosinski,Am. Cha Cha,1
MA,0,1,Final,Jim Cole,Carolyn Dailey,15,1,1, Pro/Am Adult B3 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C62048,140,Andrew Michael Phillips,Am. Cha Cha,1
MA,0,1,Final,Jim Cole,Carolyn Dailey,16,1,1, Pro/Am Adult B3 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C62048,140,Eva Marie Pilgaard,Am. Cha Cha,1
MA,0,1,Final,Jim Cole,Carolyn Dailey,19,1,1, Pro/Am Adult B3 Newcomer I Am. Cha Cha  (C),Sample,0,edc14,80C62048,140,David Rosinski,Am. Cha Cha,1
ME,0,1,Final,Christian Clayton,Alexys Wilmot,15,1,1, Pro/Am Pre-Teen C Pre-Bronze Am. Cha Cha  (C),Sample,0,edc14,80282948,101,Andrew Michael Phillips,Am. Cha Cha,1
ME,0,1,Final,Christian Clayton,Alexys Wilmot,16,1,1, Pro/Am Pre-Teen C Pre-Bronze Am. Cha Cha  (C),Sample,0,edc14,80282948,101,Eva Marie Pilgaard,Am. Cha Cha,1
ME,0,1,Final,Christian Clayton,Alexys Wilmot,19,1,1, Pro/Am Pre-Teen C Pre-Bronze Am. Cha Cha  (C),Sample,0,edc14,80282948,101,David Rosinski,Am. Cha Cha,1
MA,0,2,Final,Arun Nair,Edna C Stefaniak,15,1,2, Pro/Am Adult A2 Newcomer I Am. Rumba  (R),Sample,0,edc14,80C22049,223,Andrew Michael Phillips,Am. Rumba,1
MA,0,1,Final,Arun Nair,Edna C Stefaniak,16,1,1, Pro/Am Adult A2 Newcomer I Am. Rumba  (R),Sample,0,edc14,80C22049,223,Eva Marie Pilgaard,Am. Rumba,1
MA,0,1,Final,Arun Nair,Edna C Stefaniak,19,1,1, Pro/Am Adult A2 Newcomer I Am. Rumba  (R),Sample,0,edc14,80C22049,223,David Rosinski,Am. Rumba,1
