couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
OH,0,1,Final,John Sun,Emily Darigo,10,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,251,Chris Ford,Waltz,1
OH,0,1,Final,John Sun,Emily Darigo,11,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,251,Bonita Brockert,Waltz,1
OH,0,1,Final,John Sun,Emily Darigo,12,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,251,Linda Jackson,Waltz,1
OH,0,2,Final,Burke Beckley,Sara Fan,10,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,205,Chris Ford,Waltz,2
OH,0,2,Final,Burke Beckley,Sara Fan,11,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,205,Bonita Brockert,Waltz,2
OH,0,2,Final,Burke Beckley,Sara Fan,12,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,205,Linda Jackson,Waltz,2
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,10,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,253,Chris Ford,Waltz,3
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,11,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,253,Bonita Brockert,Waltz,3
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,12,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,0,fwd09,40422030,253,Linda Jackson,Waltz,3
OH,0,1,Final,John Sun,Emily Darigo,10,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,251,Chris Ford,Foxtrot,1
OH,0,1,Final,John Sun,Emily Darigo,11,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,251,Bonita Brockert,Foxtrot,1
OH,0,1,Final,John Sun,Emily Darigo,12,1,1, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,251,Linda Jackson,Foxtrot,1
OH,0,2,Final,Burke Beckley,Sara Fan,10,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,205,Chris Ford,Foxtrot,2
OH,0,2,Final,Burke Beckley,Sara Fan,11,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,205,Bonita Brockert,Foxtrot,2
OH,0,2,Final,Burke Beckley,Sara Fan,12,2,2, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,205,Linda Jackson,Foxtrot,2
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,10,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,253,Chris Ford,Foxtrot,3
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,11,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,253,Bonita Brockert,Foxtrot,3
OH,0,3,Final,Kevin Van Valkienvurgh,Alexis Bohland,12,3,3, Amateur Adult Newcomer Smooth  (WF),Sample,1,fwd09,40422030,253,Linda Jackson,Foxtrot,3
