couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MA,0,7,Final,Vince Gonski,Audrey Lai,11,1,7,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,275,Ruslan Wilder,Am. Waltz,1
MA,0,5,Final,Vince Gonski,Audrey Lai,12,1,5,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,275,Katusha Wilder,Am. Waltz,1
MA,0,2,Final,Vince Gonski,Audrey Lai,13,1,2,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,275,Kateryna Angelone,Am. Waltz,1
MA,0,1,Final,Vince Gonski,Audrey Lai,16,1,1,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,275,Pamela Kazimir,Am. Waltz,1
MA,0,1,Final,Vince Gonski,Audrey Lai,18,1,1,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,275,Michael  Choi,Am. Waltz,1
PA,0,3,Final,Michael Borochin,Aleksandra Reznikova,11,2,3,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,335,Ruslan Wilder,Am. Waltz,2
PA,0,2,Final,Michael Borochin,Aleksandra Reznikova,12,2,2,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,335,Katusha Wilder,Am. Waltz,2
PA,0,3,Final,Michael Borochin,Aleksandra Reznikova,13,2,3,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,335,Kateryna Angelone,Am. Waltz,2
PA,0,2,Final,Michael Borochin,Aleksandra Reznikova,16,2,2,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,335,Pamela Kazimir,Am. Waltz,2
PA,0,2,Final,Michael Borochin,Aleksandra Reznikova,18,2,2,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,335,Michael  Choi,Am. Waltz,2
CT,0,5,Final,Michael Cruciger,Michelle Korte,11,3,5,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,292,Ruslan Wilder,Am. Waltz,3
CT,0,1,Final,Michael Cruciger,Michelle Korte,12,3,1,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,292,Katusha Wilder,Am. Waltz,3
CT,0,6,Final,Michael Cruciger,Michelle Korte,13,3,6,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,292,Kateryna Angelone,Am. Waltz,3
CT,0,3,Final,Michael Cruciger,Michelle Korte,16,3,3,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,292,Pamela Kazimir,Am. Waltz,3
CT,0,3,Final,Michael Cruciger,Michelle Korte,18,3,3,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,292,Michael  Choi,Am. Waltz,3
NJ,0,4,Final,Steven Tsai,chelsea cheng,11,4,4,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,373,Ruslan Wilder,Am. Waltz,4
NJ,0,3,Final,Steven Tsai,chelsea cheng,12,4,3,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,373,Katusha Wilder,Am. Waltz,4
NJ,0,1,Final,Steven Tsai,chelsea cheng,13,4,1,  Bronze Am. Waltz  (W),Sample,0,gcd13,40012838,373,Kateryna Angelone,Am. Waltz,4
