couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
NC,0,-,Final,Robert Snyder,Rachel McCloskey,10,,0,  Fun Salsa  (S),Sample,0,gci12,40018867,100,Yuliya Besarab,Salsa,1
NC,0,-,Final,Robert Snyder,Rachel McCloskey,11,,0,  Fun Salsa  (S),Sample,0,gci12,40018867,100,Sheila Brown,Salsa,1
NC,0,-,Final,Robert Snyder,Rachel McCloskey,12,,0,  Fun Salsa  (S),Sample,0,gci12,40018867,100,Sergiy Samchynskyy,Salsa,1
,0,1,Final,Adriel Dizon,Suzanne Ducker,10,,1,  Fun Salsa  (S),Sample,0,gci12,40018867,124,Yuliya Besarab,Salsa,2
,0,1,Final,Adriel Dizon,Suzanne Ducker,11,,1,  Fun Salsa  (S),Sample,0,gci12,40018867,124,Sheila Brown,Salsa,2
,0,1,Final,Adriel Dizon,Suzanne Ducker,12,,1,  Fun Salsa  (S),Sample,0,gci12,40018867,124,Sergiy Samchynskyy,Salsa,2
,0,4,Final,Ian McAreavy,Holly Denner,10,,4,  Fun Salsa  (S),Sample,0,gci12,40018867,104,Yuliya Besarab,Salsa,3
,0,3,Final,Ian McAreavy,Holly Denner,11,,3,  Fun Salsa  (S),Sample,0,gci12,40018867,104,Sheila Brown,Salsa,3
,0,2,Final,Ian McAreavy,Holly Denner,12,,2,  Fun Salsa  (S),Sample,0,gci12,40018867,104,Sergiy Samchynskyy,Salsa,3
NC,0,3,Final,Matthew Coco,Alex Cordaro,10,,3,  Fun Salsa  (S),Sample,0,gci12,40018867,102,Yuliya Besarab,Salsa,4
NC,0,4,Final,Matthew Coco,Alex Cordaro,11,,4,  Fun Salsa  (S),Sample,0,gci12,40018867,102,Sheila Brown,Salsa,4
NC,0,3,Final,Matthew Coco,Alex Cordaro,12,,3,  Fun Salsa  (S),Sample,0,gci12,40018867,102,Sergiy Samchynskyy,Salsa,4
NC,0,5,Final,Lance Newby,Lauren Wilkinson,10,,5,  Fun Salsa  (S),Sample,0,gci12,40018867,122,Yuliya Besarab,Salsa,5
NC,0,2,Final,Lance Newby,Lauren Wilkinson,11,,2,  Fun Salsa  (S),Sample,0,gci12,40018867,122,Sheila Brown,Salsa,5
NC,0,5,Final,Lance Newby,Lauren Wilkinson,12,,5,  Fun Salsa  (S),Sample,0,gci12,40018867,122,Sergiy Samchynskyy,Salsa,5
,0,6,Final,Jessica Russell,unknown unknown,10,,6,  Fun Salsa  (S),Sample,0,gci12,40018867,119,Yuliya Besarab,Salsa,6
,0,5,Final,Jessica Russell,unknown unknown,11,,5,  Fun Salsa  (S),Sample,0,gci12,40018867,119,Sheila Brown,Salsa,6
,0,6,Final,Jessica Russell,unknown unknown,12,,6,  Fun Salsa  (S),Sample,0,gci12,40018867,119,Sergiy Samchynskyy,Salsa,6
NC,0,-,Final,Robert Snyder,Rachel McCloskey,10,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,100,Yuliya Besarab,Jack & Jill Swing,1
NC,0,-,Final,Robert Snyder,Rachel McCloskey,11,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,100,Sheila Brown,Jack & Jill Swing,1
NC,0,-,Final,Robert Snyder,Rachel McCloskey,12,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,100,Sergiy Samchynskyy,Jack & Jill Swing,1
NC,0,-,Final,Matthew Coco,Alex Cordaro,10,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,102,Yuliya Besarab,Jack & Jill Swing,2
NC,0,-,Final,Matthew Coco,Alex Cordaro,11,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,102,Sheila Brown,Jack & Jill Swing,2
NC,0,4,Final,Matthew Coco,Alex Cordaro,12,,4,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,102,Sergiy Samchynskyy,Jack & Jill Swing,2
,0,-,Final,Ian McAreavy,Holly Denner,10,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,104,Yuliya Besarab,Jack & Jill Swing,3
,0,-,Final,Ian McAreavy,Holly Denner,11,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,104,Sheila Brown,Jack & Jill Swing,3
,0,5,Final,Ian McAreavy,Holly Denner,12,,5,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,104,Sergiy Samchynskyy,Jack & Jill Swing,3
NC,0,-,Final,Lance Newby,Lauren Wilkinson,10,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,122,Yuliya Besarab,Jack & Jill Swing,4
NC,0,-,Final,Lance Newby,Lauren Wilkinson,11,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,122,Sheila Brown,Jack & Jill Swing,4
NC,0,2,Final,Lance Newby,Lauren Wilkinson,12,,2,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,122,Sergiy Samchynskyy,Jack & Jill Swing,4
NC,0,-,Final,Sterling Cave,Emma Temple,10,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,123,Yuliya Besarab,Jack & Jill Swing,5
NC,0,-,Final,Sterling Cave,Emma Temple,11,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,123,Sheila Brown,Jack & Jill Swing,5
NC,0,-,Final,Sterling Cave,Emma Temple,12,,0,  Fun Jack & Jill Swing  (S),Sample,0,gci12,4001887E,123,Sergiy Samchynskyy,Jack & Jill Swing,5
NC,0,1,Final,Matthew Coco,Alex Cordaro,10,1,1, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,102,Yuliya Besarab,Cha Cha,1
NC,0,1,Final,Matthew Coco,Alex Cordaro,11,1,1, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,102,Sheila Brown,Cha Cha,1
NC,0,3,Final,Matthew Coco,Alex Cordaro,12,1,3, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,102,Sergiy Samchynskyy,Cha Cha,1
MD,0,2,Final,Jose Hernandez,Savannah  Reyes,10,2,2, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,128,Yuliya Besarab,Cha Cha,2
MD,0,2,Final,Jose Hernandez,Savannah  Reyes,11,2,2, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,128,Sheila Brown,Cha Cha,2
MD,0,1,Final,Jose Hernandez,Savannah  Reyes,12,2,1, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,128,Sergiy Samchynskyy,Cha Cha,2
NC,0,4,Final,Sterling Cave,Emma Temple,10,3,4, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,123,Yuliya Besarab,Cha Cha,3
NC,0,3,Final,Sterling Cave,Emma Temple,11,3,3, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,123,Sheila Brown,Cha Cha,3
NC,0,2,Final,Sterling Cave,Emma Temple,12,3,2, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,123,Sergiy Samchynskyy,Cha Cha,3
GA,0,3,Final,Joseph Meyer,Jennifer Barr,10,4,3, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,120,Yuliya Besarab,Cha Cha,4
GA,0,4,Final,Joseph Meyer,Jennifer Barr,11,4,4, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,120,Sheila Brown,Cha Cha,4
GA,0,4,Final,Joseph Meyer,Jennifer Barr,12,4,4, Adult Bronze Rhythm  (CR),Sample,0,gci12,40C92840,120,Sergiy Samchynskyy,Cha Cha,4
NC,0,3,Final,Matthew Coco,Alex Cordaro,10,1,3, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,102,Yuliya Besarab,Rumba,1
NC,0,1,Final,Matthew Coco,Alex Cordaro,11,1,1, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,102,Sheila Brown,Rumba,1
NC,0,1,Final,Matthew Coco,Alex Cordaro,12,1,1, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,102,Sergiy Samchynskyy,Rumba,1
MD,0,1,Final,Jose Hernandez,Savannah  Reyes,10,2,1, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,128,Yuliya Besarab,Rumba,2
MD,0,2,Final,Jose Hernandez,Savannah  Reyes,11,2,2, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,128,Sheila Brown,Rumba,2
MD,0,4,Final,Jose Hernandez,Savannah  Reyes,12,2,4, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,128,Sergiy Samchynskyy,Rumba,2
NC,0,2,Final,Sterling Cave,Emma Temple,10,3,2, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,123,Yuliya Besarab,Rumba,3
NC,0,3,Final,Sterling Cave,Emma Temple,11,3,3, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,123,Sheila Brown,Rumba,3
NC,0,3,Final,Sterling Cave,Emma Temple,12,3,3, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,123,Sergiy Samchynskyy,Rumba,3
GA,0,4,Final,Joseph Meyer,Jennifer Barr,10,4,4, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,120,Yuliya Besarab,Rumba,4
GA,0,4,Final,Joseph Meyer,Jennifer Barr,11,4,4, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,120,Sheila Brown,Rumba,4
GA,0,2,Final,Joseph Meyer,Jennifer Barr,12,4,2, Adult Bronze Rhythm  (CR),Sample,1,gci12,40C92840,120,Sergiy Samchynskyy,Rumba,4
