couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MA,0,4,Final,Ugur Ustaoglu,Aliya Sharipova,10,1,4, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Bhak Tanta-Nanta,Am. Swing,1
MA,0,6,Final,Ugur Ustaoglu,Aliya Sharipova,11,1,6, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Arthur Lue,Am. Swing,1
MA,0,3,Final,Ugur Ustaoglu,Aliya Sharipova,12,1,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Eiko Onagi,Am. Swing,1
MA,0,2,Final,Ugur Ustaoglu,Aliya Sharipova,14,1,2, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Tim Li,Am. Swing,1
MA,0,1,Final,Ugur Ustaoglu,Aliya Sharipova,16,1,1, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Jesse Nandhaven,Am. Swing,1
MA,0,2,Final,Ugur Ustaoglu,Aliya Sharipova,17,1,2, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Caitlin Fitzgerald,Am. Swing,1
MA,0,1,Final,Ugur Ustaoglu,Aliya Sharipova,18,1,1, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,143,Eric Batchelor,Am. Swing,1
MA,0,1,Final,Daniel Chen,Brittany Bautista,10,2,1, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Bhak Tanta-Nanta,Am. Swing,2
MA,0,5,Final,Daniel Chen,Brittany Bautista,11,2,5, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Arthur Lue,Am. Swing,2
MA,0,2,Final,Daniel Chen,Brittany Bautista,12,2,2, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Eiko Onagi,Am. Swing,2
MA,0,3,Final,Daniel Chen,Brittany Bautista,14,2,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Tim Li,Am. Swing,2
MA,0,4,Final,Daniel Chen,Brittany Bautista,16,2,4, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Jesse Nandhaven,Am. Swing,2
MA,0,3,Final,Daniel Chen,Brittany Bautista,17,2,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Caitlin Fitzgerald,Am. Swing,2
MA,0,2,Final,Daniel Chen,Brittany Bautista,18,2,2, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,167,Eric Batchelor,Am. Swing,2
MA,0,3,Final,Kevin Kelley,Maria Van Thienen,10,3,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Bhak Tanta-Nanta,Am. Swing,3
MA,0,4,Final,Kevin Kelley,Maria Van Thienen,11,3,4, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Arthur Lue,Am. Swing,3
MA,0,7,Final,Kevin Kelley,Maria Van Thienen,12,3,7, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Eiko Onagi,Am. Swing,3
MA,0,1,Final,Kevin Kelley,Maria Van Thienen,14,3,1, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Tim Li,Am. Swing,3
MA,0,3,Final,Kevin Kelley,Maria Van Thienen,16,3,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Jesse Nandhaven,Am. Swing,3
MA,0,4,Final,Kevin Kelley,Maria Van Thienen,17,3,4, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Caitlin Fitzgerald,Am. Swing,3
MA,0,3,Final,Kevin Kelley,Maria Van Thienen,18,3,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,162,Eric Batchelor,Am. Swing,3
MA,0,5,Final,Daniel  Richman,Devon Sklair,10,4,5, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Bhak Tanta-Nanta,Am. Swing,4
MA,0,3,Final,Daniel  Richman,Devon Sklair,11,4,3, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Arthur Lue,Am. Swing,4
MA,0,1,Final,Daniel  Richman,Devon Sklair,12,4,1, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Eiko Onagi,Am. Swing,4
MA,0,5,Final,Daniel  Richman,Devon Sklair,14,4,5, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Tim Li,Am. Swing,4
MA,0,2,Final,Daniel  Richman,Devon Sklair,16,4,2, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Jesse Nandhaven,Am. Swing,4
MA,0,6,Final,Daniel  Richman,Devon Sklair,17,4,6, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Caitlin Fitzgerald,Am. Swing,4
MA,0,4,Final,Daniel  Richman,Devon Sklair,18,4,4, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,156,Eric Batchelor,Am. Swing,4
MA,0,6,Final,Brian Arnold,Daisy Tang,10,5,6, Adult Newcomer Am. Swing  (S),Sample,0,hbi132,4042204A,215,Bhak Tanta-Nanta,Am. Swing,5
