couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,14,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,0,hdb11,80467010,204,Charlotte Jorgensen,Waltz,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,18,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,0,hdb11,80467010,204,Nicholas Kosovich,Waltz,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,20,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,0,hdb11,80467010,204,Stephan Krauel,Waltz,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,14,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,1,hdb11,80467010,204,Charlotte Jorgensen,Tango,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,18,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,1,hdb11,80467010,204,Nicholas Kosovich,Tango,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,20,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,1,hdb11,80467010,204,Stephan Krauel,Tango,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,14,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,2,hdb11,80467010,204,Charlotte Jorgensen,Foxtrot,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,18,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,2,hdb11,80467010,204,Nicholas Kosovich,Foxtrot,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,20,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,2,hdb11,80467010,204,Stephan Krauel,Foxtrot,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,14,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,3,hdb11,80467010,204,Charlotte Jorgensen,Quickstep,1
CA,0,1,Final,Nikolay Cheremukhin,Ibis Wu,18,1,1, Pro/Am Adult Silver Scholarship Standard  (WTFQ),Sample,3,hdb11,80467010,204,Nicholas Kosovich,Quickstep,1
