couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Illinois,0,1,Final,Hao Wu,Jian Zhao,11,1,1, Amateur Adult Newcomer Am. Cha Cha  (C),Sample,0,hlc13,40422048,55,Nicholas Cotton,Am. Cha Cha,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,12,1,1, Amateur Adult Newcomer Am. Cha Cha  (C),Sample,0,hlc13,40422048,55,Tomas Atkocevicius,Am. Cha Cha,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,13,1,1, Amateur Adult Newcomer Am. Cha Cha  (C),Sample,0,hlc13,40422048,55,Ron Bennett,Am. Cha Cha,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,14,1,1, Amateur Adult Newcomer Am. Cha Cha  (C),Sample,0,hlc13,40422048,55,Glenn G Weiss,Am. Cha Cha,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,16,1,1, Amateur Adult Newcomer Am. Cha Cha  (C),Sample,0,hlc13,40422048,55,Bonita Brockert,Am. Cha Cha,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,11,1,1, Mixed Gents Senior III Newcomer Am. Cha Cha  (C),Sample,0,hlc13,50452048,54,Nicholas Cotton,Am. Cha Cha,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,12,1,1, Mixed Gents Senior III Newcomer Am. Cha Cha  (C),Sample,0,hlc13,50452048,54,Tomas Atkocevicius,Am. Cha Cha,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,13,1,1, Mixed Gents Senior III Newcomer Am. Cha Cha  (C),Sample,0,hlc13,50452048,54,Ron Bennett,Am. Cha Cha,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,14,1,1, Mixed Gents Senior III Newcomer Am. Cha Cha  (C),Sample,0,hlc13,50452048,54,Glenn G Weiss,Am. Cha Cha,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,16,1,1, Mixed Gents Senior III Newcomer Am. Cha Cha  (C),Sample,0,hlc13,50452048,54,Bonita Brockert,Am. Cha Cha,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,11,1,1, Amateur Adult Newcomer Am. Rumba  (R),Sample,0,hlc13,40422049,55,Nicholas Cotton,Am. Rumba,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,12,1,1, Amateur Adult Newcomer Am. Rumba  (R),Sample,0,hlc13,40422049,55,Tomas Atkocevicius,Am. Rumba,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,13,1,1, Amateur Adult Newcomer Am. Rumba  (R),Sample,0,hlc13,40422049,55,Ron Bennett,Am. Rumba,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,14,1,1, Amateur Adult Newcomer Am. Rumba  (R),Sample,0,hlc13,40422049,55,Glenn G Weiss,Am. Rumba,1
Illinois,0,1,Final,Hao Wu,Jian Zhao,16,1,1, Amateur Adult Newcomer Am. Rumba  (R),Sample,0,hlc13,40422049,55,Bonita Brockert,Am. Rumba,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,11,1,1, Mixed Gents Senior III Newcomer Am. Rumba  (R),Sample,0,hlc13,50452049,54,Nicholas Cotton,Am. Rumba,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,12,1,1, Mixed Gents Senior III Newcomer Am. Rumba  (R),Sample,0,hlc13,50452049,54,Tomas Atkocevicius,Am. Rumba,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,13,1,1, Mixed Gents Senior III Newcomer Am. Rumba  (R),Sample,0,hlc13,50452049,54,Ron Bennett,Am. Rumba,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,14,1,1, Mixed Gents Senior III Newcomer Am. Rumba  (R),Sample,0,hlc13,50452049,54,Glenn G Weiss,Am. Rumba,1
IN,0,1,Final,Rick McClurg,Rebekah Dottin,16,1,1, Mixed Gents Senior III Newcomer Am. Rumba  (R),Sample,0,hlc13,50452049,54,Bonita Brockert,Am. Rumba,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,11,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,76,Nicholas Cotton,Cha Cha,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,12,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,76,Tomas Atkocevicius,Cha Cha,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,13,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,76,Ron Bennett,Cha Cha,1
Indiana,0,3,Final,Bill M. Krizman,Rebecca Dowling,14,1,3, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,76,Glenn G Weiss,Cha Cha,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,16,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,76,Bonita Brockert,Cha Cha,1
Kentucky,0,3,Final,Dean Pulsifer,Sixia Pulsifer,11,2,3, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,22,Nicholas Cotton,Cha Cha,2
Kentucky,0,2,Final,Dean Pulsifer,Sixia Pulsifer,12,2,2, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,22,Tomas Atkocevicius,Cha Cha,2
Kentucky,0,4,Final,Dean Pulsifer,Sixia Pulsifer,13,2,4, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,22,Ron Bennett,Cha Cha,2
Kentucky,0,1,Final,Dean Pulsifer,Sixia Pulsifer,14,2,1, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,22,Glenn G Weiss,Cha Cha,2
Kentucky,0,2,Final,Dean Pulsifer,Sixia Pulsifer,16,2,2, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,22,Bonita Brockert,Cha Cha,2
Florida,0,2,Final,Lynn Griebahn,Brenda Griebahn,11,3,2, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,61,Nicholas Cotton,Cha Cha,3
Florida,0,3,Final,Lynn Griebahn,Brenda Griebahn,12,3,3, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,61,Tomas Atkocevicius,Cha Cha,3
Florida,0,2,Final,Lynn Griebahn,Brenda Griebahn,13,3,2, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,61,Ron Bennett,Cha Cha,3
Florida,0,2,Final,Lynn Griebahn,Brenda Griebahn,14,3,2, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,61,Glenn G Weiss,Cha Cha,3
Florida,0,3,Final,Lynn Griebahn,Brenda Griebahn,16,3,3, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,61,Bonita Brockert,Cha Cha,3
Indiana,0,7,Final,Doug Blasius,Sheree Blasius,11,4,7, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,49,Nicholas Cotton,Cha Cha,4
Indiana,0,4,Final,Doug Blasius,Sheree Blasius,12,4,4, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,49,Tomas Atkocevicius,Cha Cha,4
Indiana,0,3,Final,Doug Blasius,Sheree Blasius,13,4,3, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,49,Ron Bennett,Cha Cha,4
Indiana,0,4,Final,Doug Blasius,Sheree Blasius,14,4,4, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,49,Glenn G Weiss,Cha Cha,4
Indiana,0,4,Final,Doug Blasius,Sheree Blasius,16,4,4, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,49,Bonita Brockert,Cha Cha,4
Illinois,0,4,Final,Stephen Sutton,Stephanie Sutton,11,5,4, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,33,Nicholas Cotton,Cha Cha,5
Illinois,0,5,Final,Stephen Sutton,Stephanie Sutton,12,5,5, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,33,Tomas Atkocevicius,Cha Cha,5
Illinois,0,6,Final,Stephen Sutton,Stephanie Sutton,13,5,6, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,33,Ron Bennett,Cha Cha,5
Illinois,0,5,Final,Stephen Sutton,Stephanie Sutton,14,5,5, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,33,Glenn G Weiss,Cha Cha,5
Illinois,0,5,Final,Stephen Sutton,Stephanie Sutton,16,5,5, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,33,Bonita Brockert,Cha Cha,5
Alabama,0,6,Final,Don Young,Tammy Young,11,6,6, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,62,Nicholas Cotton,Cha Cha,6
Alabama,0,6,Final,Don Young,Tammy Young,12,6,6, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,62,Tomas Atkocevicius,Cha Cha,6
Alabama,0,7,Final,Don Young,Tammy Young,13,6,7, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,62,Ron Bennett,Cha Cha,6
Alabama,0,6,Final,Don Young,Tammy Young,14,6,6, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,62,Glenn G Weiss,Cha Cha,6
Alabama,0,6,Final,Don Young,Tammy Young,16,6,6, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,62,Bonita Brockert,Cha Cha,6
Alabama,0,5,Final,Kenneth A. Howell,Jenny Howell,11,7,5, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,86,Nicholas Cotton,Cha Cha,7
Alabama,0,7,Final,Kenneth A. Howell,Jenny Howell,12,7,7, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,86,Tomas Atkocevicius,Cha Cha,7
Alabama,0,5,Final,Kenneth A. Howell,Jenny Howell,13,7,5, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,86,Ron Bennett,Cha Cha,7
Alabama,0,7,Final,Kenneth A. Howell,Jenny Howell,14,7,7, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,86,Glenn G Weiss,Cha Cha,7
Alabama,0,7,Final,Kenneth A. Howell,Jenny Howell,16,7,7, Amateur Senior II Bronze Rhythm  (CR),Sample,0,hlc13,40442840,86,Bonita Brockert,Cha Cha,7
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,11,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,76,Nicholas Cotton,Rumba,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,12,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,76,Tomas Atkocevicius,Rumba,1
Indiana,0,1,Final,Bill M. Krizman,Rebecca Dowling,13,1,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,76,Ron Bennett,Rumba,1
Indiana,0,3,Final,Bill M. Krizman,Rebecca Dowling,14,1,3, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,76,Glenn G Weiss,Rumba,1
Indiana,0,2,Final,Bill M. Krizman,Rebecca Dowling,16,1,2, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,76,Bonita Brockert,Rumba,1
Kentucky,0,3,Final,Dean Pulsifer,Sixia Pulsifer,11,2,3, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,22,Nicholas Cotton,Rumba,2
Kentucky,0,3,Final,Dean Pulsifer,Sixia Pulsifer,12,2,3, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,22,Tomas Atkocevicius,Rumba,2
Kentucky,0,2,Final,Dean Pulsifer,Sixia Pulsifer,13,2,2, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,22,Ron Bennett,Rumba,2
Kentucky,0,2,Final,Dean Pulsifer,Sixia Pulsifer,14,2,2, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,22,Glenn G Weiss,Rumba,2
Kentucky,0,1,Final,Dean Pulsifer,Sixia Pulsifer,16,2,1, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,22,Bonita Brockert,Rumba,2
Florida,0,2,Final,Lynn Griebahn,Brenda Griebahn,11,3,2, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,61,Nicholas Cotton,Rumba,3
Florida,0,2,Final,Lynn Griebahn,Brenda Griebahn,12,3,2, Amateur Senior II Bronze Rhythm  (CR),Sample,1,hlc13,40442840,61,Tomas Atkocevicius,Rumba,3
