couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
North Caro,0,1,Final,Angelo Cristobal,Kayla Cristobal,11,1,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Clement Joly,Intl. V. Waltz,1
North Caro,0,1,Final,Angelo Cristobal,Kayla Cristobal,12,1,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Stephen Hadley,Intl. V. Waltz,1
North Caro,0,1,Final,Angelo Cristobal,Kayla Cristobal,13,1,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Kimberly Smith,Intl. V. Waltz,1
North Caro,0,1,Final,Angelo Cristobal,Kayla Cristobal,14,1,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Inez Sarah Sahlin,Intl. V. Waltz,1
North Caro,0,1,Final,Angelo Cristobal,Kayla Cristobal,18,1,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Tatiana Kazakova,Intl. V. Waltz,1
Tennessee,0,6,Final,John Linn,Kathy Linn,11,2,6, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,192,Clement Joly,Intl. V. Waltz,2
Tennessee,0,2,Final,John Linn,Kathy Linn,12,2,2, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,192,Stephen Hadley,Intl. V. Waltz,2
Tennessee,0,2,Final,John Linn,Kathy Linn,13,2,2, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,192,Kimberly Smith,Intl. V. Waltz,2
Tennessee,0,2,Final,John Linn,Kathy Linn,14,2,2, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,192,Inez Sarah Sahlin,Intl. V. Waltz,2
Tennessee,0,4,Final,John Linn,Kathy Linn,18,2,4, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,192,Tatiana Kazakova,Intl. V. Waltz,2
New York,0,5,Final,Paul Giuliano,Louise Giuliano,11,3,5, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,185,Clement Joly,Intl. V. Waltz,3
New York,0,3,Final,Paul Giuliano,Louise Giuliano,12,3,3, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,185,Stephen Hadley,Intl. V. Waltz,3
New York,0,3,Final,Paul Giuliano,Louise Giuliano,13,3,3, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,185,Kimberly Smith,Intl. V. Waltz,3
New York,0,5,Final,Paul Giuliano,Louise Giuliano,14,3,5, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,185,Inez Sarah Sahlin,Intl. V. Waltz,3
New York,0,2,Final,Paul Giuliano,Louise Giuliano,18,3,2, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,185,Tatiana Kazakova,Intl. V. Waltz,3
Louisiana,0,2,Final,Richard Stewart,Melanie Tichenor,11,4,2, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,198,Clement Joly,Intl. V. Waltz,4
Louisiana,0,4,Final,Richard Stewart,Melanie Tichenor,12,4,4, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,198,Stephen Hadley,Intl. V. Waltz,4
Louisiana,0,6,Final,Richard Stewart,Melanie Tichenor,13,4,6, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,198,Kimberly Smith,Intl. V. Waltz,4
Louisiana,0,4,Final,Richard Stewart,Melanie Tichenor,14,4,4, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,198,Inez Sarah Sahlin,Intl. V. Waltz,4
Louisiana,0,6,Final,Richard Stewart,Melanie Tichenor,18,4,6, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,198,Tatiana Kazakova,Intl. V. Waltz,4
North Caro,0,4,Final,Christopher Temple,Jane Ren,11,5,4, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Clement Joly,Intl. V. Waltz,5
North Caro,0,6,Final,Christopher Temple,Jane Ren,12,5,6, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Stephen Hadley,Intl. V. Waltz,5
North Caro,0,4,Final,Christopher Temple,Jane Ren,13,5,4, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Kimberly Smith,Intl. V. Waltz,5
North Caro,0,3,Final,Christopher Temple,Jane Ren,14,5,3, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Inez Sarah Sahlin,Intl. V. Waltz,5
North Caro,0,7,Final,Christopher Temple,Jane Ren,18,5,7, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Tatiana Kazakova,Intl. V. Waltz,5
Florida,0,7,Final,Jack Polmann,Michaela Polmann,11,6,7, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Clement Joly,Intl. V. Waltz,6
Florida,0,5,Final,Jack Polmann,Michaela Polmann,12,6,5, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Stephen Hadley,Intl. V. Waltz,6
Florida,0,5,Final,Jack Polmann,Michaela Polmann,13,6,5, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Kimberly Smith,Intl. V. Waltz,6
Florida,0,6,Final,Jack Polmann,Michaela Polmann,14,6,6, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Inez Sarah Sahlin,Intl. V. Waltz,6
Florida,0,3,Final,Jack Polmann,Michaela Polmann,18,6,3, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Tatiana Kazakova,Intl. V. Waltz,6
North Caro,0,3,Final,Alan Lo,Vanna Kealy,11,7,3, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,238,Clement Joly,Intl. V. Waltz,7
North Caro,0,7,Final,Alan Lo,Vanna Kealy,12,7,7, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,238,Stephen Hadley,Intl. V. Waltz,7
North Caro,0,7,Final,Alan Lo,Vanna Kealy,13,7,7, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,238,Kimberly Smith,Intl. V. Waltz,7
North Caro,0,7,Final,Alan Lo,Vanna Kealy,14,7,7, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,238,Inez Sarah Sahlin,Intl. V. Waltz,7
North Caro,0,5,Final,Alan Lo,Vanna Kealy,18,7,5, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,238,Tatiana Kazakova,Intl. V. Waltz,7
North Caro,1,X,Semi-Final,Christopher Temple,Jane Ren,11,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Clement Joly,Intl. V. Waltz,5
North Caro,1,,Semi-Final,Christopher Temple,Jane Ren,12,R,0, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Stephen Hadley,Intl. V. Waltz,5
North Caro,1,X,Semi-Final,Christopher Temple,Jane Ren,13,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Kimberly Smith,Intl. V. Waltz,5
North Caro,1,X,Semi-Final,Christopher Temple,Jane Ren,14,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Inez Sarah Sahlin,Intl. V. Waltz,5
North Caro,1,,Semi-Final,Christopher Temple,Jane Ren,18,R,0, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,116,Tatiana Kazakova,Intl. V. Waltz,5
Florida,1,,Semi-Final,Jack Polmann,Michaela Polmann,11,R,0, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Clement Joly,Intl. V. Waltz,6
Florida,1,X,Semi-Final,Jack Polmann,Michaela Polmann,12,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Stephen Hadley,Intl. V. Waltz,6
Florida,1,,Semi-Final,Jack Polmann,Michaela Polmann,13,R,0, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Kimberly Smith,Intl. V. Waltz,6
Florida,1,X,Semi-Final,Jack Polmann,Michaela Polmann,14,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Inez Sarah Sahlin,Intl. V. Waltz,6
Florida,1,X,Semi-Final,Jack Polmann,Michaela Polmann,18,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,137,Tatiana Kazakova,Intl. V. Waltz,6
North Caro,1,X,Semi-Final,Angelo Cristobal,Kayla Cristobal,11,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Clement Joly,Intl. V. Waltz,1
North Caro,1,X,Semi-Final,Angelo Cristobal,Kayla Cristobal,12,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Stephen Hadley,Intl. V. Waltz,1
North Caro,1,X,Semi-Final,Angelo Cristobal,Kayla Cristobal,13,R,1, Amateur  Open Intl. V. Waltz  (V),Sample,0,hpc13,4001851A,152,Kimberly Smith,Intl. V. Waltz,1
