couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
MICHIGAN,0,1,Final,Matthew Juergens,Ashley Wood,10,1,1, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,122,Daniel Dilley,Waltz,1
MICHIGAN,0,2,Final,Matthew Juergens,Ashley Wood,11,1,2, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,122,Katja Lindholm,Waltz,1
MICHIGAN,0,2,Final,Matthew Juergens,Ashley Wood,12,1,2, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,122,Chris Ford,Waltz,1
MO,0,4,Final,Michael Busche,Roxanne Schroeder,10,3,4, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,125,Daniel Dilley,Waltz,2
MO,0,1,Final,Michael Busche,Roxanne Schroeder,11,3,1, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,125,Katja Lindholm,Waltz,2
MO,0,3,Final,Michael Busche,Roxanne Schroeder,12,3,3, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,125,Chris Ford,Waltz,2
INDIANA,0,2,Final,Isaac  Greeson,Hayley  Hartsough,10,2,2, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,163,Daniel Dilley,Waltz,3
INDIANA,0,5,Final,Isaac  Greeson,Hayley  Hartsough,11,2,5, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,163,Katja Lindholm,Waltz,3
INDIANA,0,1,Final,Isaac  Greeson,Hayley  Hartsough,12,2,1, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,163,Chris Ford,Waltz,3
IN,0,3,Final,Lior Ben-Yehoshua,Ashley Culross,10,4,3, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,171,Daniel Dilley,Waltz,4
IN,0,3,Final,Lior Ben-Yehoshua,Ashley Culross,11,4,3, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,171,Katja Lindholm,Waltz,4
IN,0,4,Final,Lior Ben-Yehoshua,Ashley Culross,12,4,4, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,171,Chris Ford,Waltz,4
IN,0,6,Final,Yilmaz Koylu,Monicalynn Kennedy,10,6,6, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,162,Daniel Dilley,Waltz,5
IN,0,4,Final,Yilmaz Koylu,Monicalynn Kennedy,11,6,4, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,162,Katja Lindholm,Waltz,5
IN,0,7,Final,Yilmaz Koylu,Monicalynn Kennedy,12,6,7, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,162,Chris Ford,Waltz,5
IN,0,5,Final,Jake Steffes,Kayla Brown,10,5,5, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,137,Daniel Dilley,Waltz,6
IN,0,6,Final,Jake Steffes,Kayla Brown,11,5,6, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,137,Katja Lindholm,Waltz,6
IN,0,5,Final,Jake Steffes,Kayla Brown,12,5,5, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,137,Chris Ford,Waltz,6
IL,0,7,Final,Jeffrey Proulx,Monica Proulx,10,7,7, Collegiate Bronze Smooth  (WT),Sample,0,idi13,40322831,102,Daniel Dilley,Waltz,7
