couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
BC,0,1,Final,Adam Hanna,Ellie Matheson,10,1,1, Pro/Am Solo   Full Bronze Intl. Foxtrot  (F),Sample,0,ifb13,21012B1B,129,Linda Chen,Intl. Foxtrot,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,11,1,1, Pro/Am Solo   Full Bronze Intl. Foxtrot  (F),Sample,0,ifb13,21012B1B,129,Benoit Drolet,Intl. Foxtrot,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,12,1,1, Pro/Am Solo   Full Bronze Intl. Foxtrot  (F),Sample,0,ifb13,21012B1B,129,Monique Hrouda,Intl. Foxtrot,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,13,1,1, Pro/Am Solo   Full Bronze Intl. Foxtrot  (F),Sample,0,ifb13,21012B1B,129,Anya Klimova - Preston,Intl. Foxtrot,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,14,1,1, Pro/Am Solo   Full Bronze Intl. Foxtrot  (F),Sample,0,ifb13,21012B1B,129,Martin Lefebvre,Intl. Foxtrot,1
,0,1,Final,ForeverYung Formation Team,Walk Like an Egyptian,10,1,1, Formation Team  Open Standard  (Q),Sample,0,ifb13,43018510,0,Linda Chen,Quickstep,1
,0,1,Final,ForeverYung Formation Team,Walk Like an Egyptian,11,1,1, Formation Team  Open Standard  (Q),Sample,0,ifb13,43018510,0,Benoit Drolet,Quickstep,1
,0,1,Final,ForeverYung Formation Team,Walk Like an Egyptian,12,1,1, Formation Team  Open Standard  (Q),Sample,0,ifb13,43018510,0,Monique Hrouda,Quickstep,1
,0,1,Final,ForeverYung Formation Team,Walk Like an Egyptian,13,1,1, Formation Team  Open Standard  (Q),Sample,0,ifb13,43018510,0,Anya Klimova - Preston,Quickstep,1
,0,1,Final,ForeverYung Formation Team,Walk Like an Egyptian,14,1,1, Formation Team  Open Standard  (Q),Sample,0,ifb13,43018510,0,Martin Lefebvre,Quickstep,1
BC,0,1,Final,Adam Hanna,Kami Norman,10,1,1, Pro/Am Solo   Full Bronze Intl. Waltz  (W),Sample,0,ifb13,21012B18,129,Linda Chen,Intl. Waltz,1
BC,0,1,Final,Adam Hanna,Kami Norman,11,1,1, Pro/Am Solo   Full Bronze Intl. Waltz  (W),Sample,0,ifb13,21012B18,129,Benoit Drolet,Intl. Waltz,1
BC,0,1,Final,Adam Hanna,Kami Norman,12,1,1, Pro/Am Solo   Full Bronze Intl. Waltz  (W),Sample,0,ifb13,21012B18,129,Monique Hrouda,Intl. Waltz,1
BC,0,1,Final,Adam Hanna,Kami Norman,13,1,1, Pro/Am Solo   Full Bronze Intl. Waltz  (W),Sample,0,ifb13,21012B18,129,Anya Klimova - Preston,Intl. Waltz,1
BC,0,1,Final,Adam Hanna,Kami Norman,14,1,1, Pro/Am Solo   Full Bronze Intl. Waltz  (W),Sample,0,ifb13,21012B18,129,Martin Lefebvre,Intl. Waltz,1
BC,0,1,Final,Nelson Wong,Vicki Linfitt,10,1,1, Pro/Am Solo   Open Gold Intl. Foxtrot  (F),Sample,0,ifb13,21013D1B,126,Linda Chen,Intl. Foxtrot,1
BC,0,1,Final,Nelson Wong,Vicki Linfitt,11,1,1, Pro/Am Solo   Open Gold Intl. Foxtrot  (F),Sample,0,ifb13,21013D1B,126,Benoit Drolet,Intl. Foxtrot,1
BC,0,1,Final,Nelson Wong,Vicki Linfitt,12,1,1, Pro/Am Solo   Open Gold Intl. Foxtrot  (F),Sample,0,ifb13,21013D1B,126,Monique Hrouda,Intl. Foxtrot,1
BC,0,1,Final,Nelson Wong,Vicki Linfitt,13,1,1, Pro/Am Solo   Open Gold Intl. Foxtrot  (F),Sample,0,ifb13,21013D1B,126,Anya Klimova - Preston,Intl. Foxtrot,1
BC,0,1,Final,Nelson Wong,Vicki Linfitt,14,1,1, Pro/Am Solo   Open Gold Intl. Foxtrot  (F),Sample,0,ifb13,21013D1B,126,Martin Lefebvre,Intl. Foxtrot,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,10,1,1, Pro/Am Solo   Full Bronze Intl. Quickstep  (Q),Sample,0,ifb13,21012B1C,129,Linda Chen,Intl. Quickstep,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,11,1,1, Pro/Am Solo   Full Bronze Intl. Quickstep  (Q),Sample,0,ifb13,21012B1C,129,Benoit Drolet,Intl. Quickstep,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,12,1,1, Pro/Am Solo   Full Bronze Intl. Quickstep  (Q),Sample,0,ifb13,21012B1C,129,Monique Hrouda,Intl. Quickstep,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,13,1,1, Pro/Am Solo   Full Bronze Intl. Quickstep  (Q),Sample,0,ifb13,21012B1C,129,Anya Klimova - Preston,Intl. Quickstep,1
BC,0,1,Final,Adam Hanna,Ellie Matheson,14,1,1, Pro/Am Solo   Full Bronze Intl. Quickstep  (Q),Sample,0,ifb13,21012B1C,129,Martin Lefebvre,Intl. Quickstep,1
BC,0,1,Final,Zhao Huang,Shayna Ding,10,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,0,ifb13,40312C10,52,Linda Chen,Waltz,1
BC,0,1,Final,Zhao Huang,Shayna Ding,11,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,0,ifb13,40312C10,52,Benoit Drolet,Waltz,1
BC,0,1,Final,Zhao Huang,Shayna Ding,12,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,0,ifb13,40312C10,52,Monique Hrouda,Waltz,1
BC,0,1,Final,Zhao Huang,Shayna Ding,13,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,0,ifb13,40312C10,52,Anya Klimova - Preston,Waltz,1
BC,0,1,Final,Zhao Huang,Shayna Ding,14,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,0,ifb13,40312C10,52,Martin Lefebvre,Waltz,1
BC,0,1,Final,Zhao Huang,Shayna Ding,10,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,1,ifb13,40312C10,52,Linda Chen,Quickstep,1
BC,0,1,Final,Zhao Huang,Shayna Ding,11,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,1,ifb13,40312C10,52,Benoit Drolet,Quickstep,1
BC,0,1,Final,Zhao Huang,Shayna Ding,12,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,1,ifb13,40312C10,52,Monique Hrouda,Quickstep,1
BC,0,1,Final,Zhao Huang,Shayna Ding,13,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,1,ifb13,40312C10,52,Anya Klimova - Preston,Quickstep,1
BC,0,1,Final,Zhao Huang,Shayna Ding,14,1,1, Amateur Under 21 Pre-Bronze Standard  (WQ),Sample,1,ifb13,40312C10,52,Martin Lefebvre,Quickstep,1
BC,0,1,Final,Brian Evans,Heather Frame,10,1,1, Amateur Senior II Pre-Bronze Standard  (WQ),Sample,0,ifb13,40442C10,46,Linda Chen,Waltz,1
BC,0,1,Final,Brian Evans,Heather Frame,11,1,1, Amateur Senior II Pre-Bronze Standard  (WQ),Sample,0,ifb13,40442C10,46,Benoit Drolet,Waltz,1
BC,0,1,Final,Brian Evans,Heather Frame,12,1,1, Amateur Senior II Pre-Bronze Standard  (WQ),Sample,0,ifb13,40442C10,46,Monique Hrouda,Waltz,1
