couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Michael Gilmore,Katya Afanaseva,10,1,1, Pro/Am Gents Adult B2 Newcomer Intl. Quickstep  (Q),Sample,0,igb13,90C5201C,385,Shirley Ballas,Intl. Quickstep,1
CA,0,1,Final,Michael Gilmore,Katya Afanaseva,11,1,1, Pro/Am Gents Adult B2 Newcomer Intl. Quickstep  (Q),Sample,0,igb13,90C5201C,385,Loraine Barry,Intl. Quickstep,1
CA,0,1,Final,Michael Gilmore,Katya Afanaseva,19,1,1, Pro/Am Gents Adult B2 Newcomer Intl. Quickstep  (Q),Sample,0,igb13,90C5201C,385,Anik Jolicoeur,Intl. Quickstep,1
CA,0,1,Final,Michael Gilmore,Katya Afanaseva,21,1,1, Pro/Am Gents Adult B2 Newcomer Intl. Quickstep  (Q),Sample,0,igb13,90C5201C,385,Tomas Atkocevicius,Intl. Quickstep,1
CA,0,1,Final,Michael Gilmore,Katya Afanaseva,24,1,1, Pro/Am Gents Adult B2 Newcomer Intl. Quickstep  (Q),Sample,0,igb13,90C5201C,385,Rex Lewis,Intl. Quickstep,1
UT,0,1,Final,Martin Skupinski,Cosette Reeves,13,1,1, Pro/Am Youth Newcomer Am. Cha Cha  (C),Sample,0,igb13,802F2048,437,Taliat Tarsinov,Am. Cha Cha,1
UT,0,1,Final,Martin Skupinski,Cosette Reeves,14,1,1, Pro/Am Youth Newcomer Am. Cha Cha  (C),Sample,0,igb13,802F2048,437,Giacomo Steccaglia,Am. Cha Cha,1
UT,0,1,Final,Martin Skupinski,Cosette Reeves,16,1,1, Pro/Am Youth Newcomer Am. Cha Cha  (C),Sample,0,igb13,802F2048,437,Chris Johnston,Am. Cha Cha,1
UT,0,2,Final,Martin Skupinski,Cosette Reeves,17,1,2, Pro/Am Youth Newcomer Am. Cha Cha  (C),Sample,0,igb13,802F2048,437,Polina Pilipenchuk,Am. Cha Cha,1
UT,0,1,Final,Martin Skupinski,Cosette Reeves,22,1,1, Pro/Am Youth Newcomer Am. Cha Cha  (C),Sample,0,igb13,802F2048,437,Marianne Nicole,Am. Cha Cha,1
CA,0,1,Final,Jeremy Babagay,Becky Fazio,13,1,1, Pro/Am Adult A1 Newcomer Am. Cha Cha  (C),Sample,0,igb13,80C12048,468,Taliat Tarsinov,Am. Cha Cha,1
CA,0,1,Final,Jeremy Babagay,Becky Fazio,14,1,1, Pro/Am Adult A1 Newcomer Am. Cha Cha  (C),Sample,0,igb13,80C12048,468,Giacomo Steccaglia,Am. Cha Cha,1
CA,0,1,Final,Jeremy Babagay,Becky Fazio,16,1,1, Pro/Am Adult A1 Newcomer Am. Cha Cha  (C),Sample,0,igb13,80C12048,468,Chris Johnston,Am. Cha Cha,1
CA,0,2,Final,Jeremy Babagay,Becky Fazio,17,1,2, Pro/Am Adult A1 Newcomer Am. Cha Cha  (C),Sample,0,igb13,80C12048,468,Polina Pilipenchuk,Am. Cha Cha,1
