couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
LA,0,1,Final,Brad Petrie,Roxanne Galliano,12,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C22918,231,Richard Booth,Intl. Waltz,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,13,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C22918,231,Nathan Daniels,Intl. Waltz,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,14,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C22918,231,Ava Kaye Brennen,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,12,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C62918,227,Richard Booth,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,13,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C62918,227,Nathan Daniels,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,14,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C62918,227,Ava Kaye Brennen,Intl. Waltz,1
LA,0,1,Final,John Lee,Courtney Black,12,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Waltz  (W),Sample,0,loc10,90C52A18,391,Richard Booth,Intl. Waltz,1
LA,0,1,Final,John Lee,Courtney Black,13,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Waltz  (W),Sample,0,loc10,90C52A18,391,Nathan Daniels,Intl. Waltz,1
LA,0,1,Final,John Lee,Courtney Black,14,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Waltz  (W),Sample,0,loc10,90C52A18,391,Ava Kaye Brennen,Intl. Waltz,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,12,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C22919,231,Richard Booth,Intl. Tango,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,13,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C22919,231,Nathan Daniels,Intl. Tango,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,14,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C22919,231,Ava Kaye Brennen,Intl. Tango,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,12,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C62919,227,Richard Booth,Intl. Tango,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,13,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C62919,227,Nathan Daniels,Intl. Tango,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,14,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Tango  (T),Sample,0,loc10,88C62919,227,Ava Kaye Brennen,Intl. Tango,1
LA,0,1,Final,John Lee,Courtney Black,12,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Tango  (T),Sample,0,loc10,90C52A19,391,Richard Booth,Intl. Tango,1
LA,0,1,Final,John Lee,Courtney Black,13,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Tango  (T),Sample,0,loc10,90C52A19,391,Nathan Daniels,Intl. Tango,1
LA,0,1,Final,John Lee,Courtney Black,14,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Tango  (T),Sample,0,loc10,90C52A19,391,Ava Kaye Brennen,Intl. Tango,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,12,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C2291B,231,Richard Booth,Intl. Foxtrot,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,13,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C2291B,231,Nathan Daniels,Intl. Foxtrot,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,14,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C2291B,231,Ava Kaye Brennen,Intl. Foxtrot,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,12,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C6291B,227,Richard Booth,Intl. Foxtrot,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,13,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C6291B,227,Nathan Daniels,Intl. Foxtrot,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,14,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Foxtrot  (F),Sample,0,loc10,88C6291B,227,Ava Kaye Brennen,Intl. Foxtrot,1
LA,0,1,Final,John Lee,Courtney Black,12,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Foxtrot  (F),Sample,0,loc10,90C52A1B,391,Richard Booth,Intl. Foxtrot,1
LA,0,1,Final,John Lee,Courtney Black,13,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Foxtrot  (F),Sample,0,loc10,90C52A1B,391,Nathan Daniels,Intl. Foxtrot,1
LA,0,1,Final,John Lee,Courtney Black,14,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Foxtrot  (F),Sample,0,loc10,90C52A1B,391,Ava Kaye Brennen,Intl. Foxtrot,1
LA,0,1,Final,Brad Petrie,Chin Norton,12,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C2291C,231,Richard Booth,Intl. Quickstep,1
LA,0,1,Final,Brad Petrie,Chin Norton,13,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C2291C,231,Nathan Daniels,Intl. Quickstep,1
LA,0,1,Final,Brad Petrie,Chin Norton,14,1,1, Pro/Am Ladies Adult B Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C2291C,231,Ava Kaye Brennen,Intl. Quickstep,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,12,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C6291C,227,Richard Booth,Intl. Quickstep,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,13,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C6291C,227,Nathan Daniels,Intl. Quickstep,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,14,1,1, Pro/Am Ladies Adult F Pre-Bronze Intl. Quickstep  (Q),Sample,0,loc10,88C6291C,227,Ava Kaye Brennen,Intl. Quickstep,1
LA,0,1,Final,John Lee,Courtney Black,12,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Quickstep  (Q),Sample,0,loc10,90C52A1C,391,Richard Booth,Intl. Quickstep,1
LA,0,1,Final,John Lee,Courtney Black,13,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Quickstep  (Q),Sample,0,loc10,90C52A1C,391,Nathan Daniels,Intl. Quickstep,1
LA,0,1,Final,John Lee,Courtney Black,14,1,1, Pro/Am Gents Adult E Int. Bronze Intl. Quickstep  (Q),Sample,0,loc10,90C52A1C,391,Ava Kaye Brennen,Intl. Quickstep,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,12,1,1, Pro/Am Ladies Adult C Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C32918,231,Richard Booth,Intl. Waltz,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,13,1,1, Pro/Am Ladies Adult C Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C32918,231,Nathan Daniels,Intl. Waltz,1
LA,0,1,Final,Brad Petrie,Roxanne Galliano,14,1,1, Pro/Am Ladies Adult C Pre-Bronze Intl. Waltz  (W),Sample,0,loc10,88C32918,231,Ava Kaye Brennen,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,12,1,1, Pro/Am Ladies Adult F Int. Bronze Intl. Waltz  (W),Sample,0,loc10,88C62A18,227,Richard Booth,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,13,1,1, Pro/Am Ladies Adult F Int. Bronze Intl. Waltz  (W),Sample,0,loc10,88C62A18,227,Nathan Daniels,Intl. Waltz,1
MS,0,1,Final,Kelly Vuyovich,Anne Lackey,14,1,1, Pro/Am Ladies Adult F Int. Bronze Intl. Waltz  (W),Sample,0,loc10,88C62A18,227,Ava Kaye Brennen,Intl. Waltz,1
