couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,11,1,1, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,113,Natalia Skorikova,Am. Cha Cha,1
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,13,1,1, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,113,Ronen Zinshtein,Am. Cha Cha,1
NY,0,2,Final,Zachary Bordonaro,Mattie Woodside,15,1,2, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,113,Kosta Trifunovic,Am. Cha Cha,1
NH,0,2,Final,Raymond Huard,Anna Schechinger,11,2,2, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,102,Natalia Skorikova,Am. Cha Cha,2
NH,0,2,Final,Raymond Huard,Anna Schechinger,13,2,2, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,102,Ronen Zinshtein,Am. Cha Cha,2
NH,0,3,Final,Raymond Huard,Anna Schechinger,15,2,3, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,102,Kosta Trifunovic,Am. Cha Cha,2
ME,0,3,Final,Christian Clayton,Leela Thiem,11,3,3, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,106,Natalia Skorikova,Am. Cha Cha,3
ME,0,3,Final,Christian Clayton,Leela Thiem,13,3,3, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,106,Ronen Zinshtein,Am. Cha Cha,3
ME,0,1,Final,Christian Clayton,Leela Thiem,15,3,1, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,106,Kosta Trifunovic,Am. Cha Cha,3
MA,0,4,Final,Arun Nair,Edna C Stefaniak,11,4,4, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,204,Natalia Skorikova,Am. Cha Cha,4
MA,0,4,Final,Arun Nair,Edna C Stefaniak,13,4,4, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,204,Ronen Zinshtein,Am. Cha Cha,4
MA,0,4,Final,Arun Nair,Edna C Stefaniak,15,4,4, Pro/Am Adult A Newcomer Am. Cha Cha  (C),Sample,0,mdc13,80C12048,204,Kosta Trifunovic,Am. Cha Cha,4
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,11,1,1, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,113,Natalia Skorikova,Am. Rumba,1
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,13,1,1, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,113,Ronen Zinshtein,Am. Rumba,1
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,15,1,1, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,113,Kosta Trifunovic,Am. Rumba,1
ME,0,2,Final,Christian Clayton,Leela Thiem,11,2,2, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,106,Natalia Skorikova,Am. Rumba,2
ME,0,3,Final,Christian Clayton,Leela Thiem,13,2,3, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,106,Ronen Zinshtein,Am. Rumba,2
ME,0,2,Final,Christian Clayton,Leela Thiem,15,2,2, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,106,Kosta Trifunovic,Am. Rumba,2
NH,0,3,Final,Raymond Huard,Anna Schechinger,11,3,3, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,102,Natalia Skorikova,Am. Rumba,3
NH,0,2,Final,Raymond Huard,Anna Schechinger,13,3,2, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,102,Ronen Zinshtein,Am. Rumba,3
NH,0,3,Final,Raymond Huard,Anna Schechinger,15,3,3, Pro/Am Adult A Newcomer Am. Rumba  (R),Sample,0,mdc13,80C12049,102,Kosta Trifunovic,Am. Rumba,3
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,11,1,1, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,113,Natalia Skorikova,Am. Swing,1
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,13,1,1, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,113,Ronen Zinshtein,Am. Swing,1
NY,0,1,Final,Zachary Bordonaro,Mattie Woodside,15,1,1, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,113,Kosta Trifunovic,Am. Swing,1
ME,0,3,Final,Christian Clayton,Leela Thiem,11,2,3, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,106,Natalia Skorikova,Am. Swing,2
ME,0,3,Final,Christian Clayton,Leela Thiem,13,2,3, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,106,Ronen Zinshtein,Am. Swing,2
ME,0,2,Final,Christian Clayton,Leela Thiem,15,2,2, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,106,Kosta Trifunovic,Am. Swing,2
NH,0,4,Final,Raymond Huard,Anna Schechinger,11,3,4, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,102,Natalia Skorikova,Am. Swing,3
NH,0,2,Final,Raymond Huard,Anna Schechinger,13,3,2, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,102,Ronen Zinshtein,Am. Swing,3
NH,0,3,Final,Raymond Huard,Anna Schechinger,15,3,3, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,102,Kosta Trifunovic,Am. Swing,3
MA,0,2,Final,Arun Nair,Edna C Stefaniak,11,4,2, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,204,Natalia Skorikova,Am. Swing,4
MA,0,4,Final,Arun Nair,Edna C Stefaniak,13,4,4, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,204,Ronen Zinshtein,Am. Swing,4
MA,0,4,Final,Arun Nair,Edna C Stefaniak,15,4,4, Pro/Am Adult A Newcomer Am. Swing  (S),Sample,0,mdc13,80C1204A,204,Kosta Trifunovic,Am. Swing,4
NH,0,1,Final,Raymond Huard,Anna Schechinger,11,1,1, Pro/Am Adult A Newcomer Am. Bolero  (B),Sample,0,mdc13,80C1204B,102,Natalia Skorikova,Am. Bolero,1
NH,0,1,Final,Raymond Huard,Anna Schechinger,13,1,1, Pro/Am Adult A Newcomer Am. Bolero  (B),Sample,0,mdc13,80C1204B,102,Ronen Zinshtein,Am. Bolero,1
