couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
ma,0,1,Final,Joseph Frumkin,Sophia Kouznetsov,10,1,1, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,205,John Nyemchek,Waltz,1
ma,0,1,Final,Joseph Frumkin,Sophia Kouznetsov,11,1,1, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,205,Bill Morganti,Waltz,1
ma,0,1,Final,Joseph Frumkin,Sophia Kouznetsov,13,1,1, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,205,Kathy St Jean,Waltz,1
ma,0,1,Final,Joseph Frumkin,Sophia Kouznetsov,15,1,1, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,205,Dasha Sushko,Waltz,1
ma,0,1,Final,Joseph Frumkin,Sophia Kouznetsov,18,1,1, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,205,Dawna Nocera,Waltz,1
Massachuse,0,2,Final,Peter Moiseyev,Esther Dashevsky,10,2,2, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,216,John Nyemchek,Waltz,2
Massachuse,0,2,Final,Peter Moiseyev,Esther Dashevsky,11,2,2, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,216,Bill Morganti,Waltz,2
Massachuse,0,2,Final,Peter Moiseyev,Esther Dashevsky,13,2,2, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,216,Kathy St Jean,Waltz,2
Massachuse,0,2,Final,Peter Moiseyev,Esther Dashevsky,15,2,2, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,216,Dasha Sushko,Waltz,2
Massachuse,0,2,Final,Peter Moiseyev,Esther Dashevsky,18,2,2, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,216,Dawna Nocera,Waltz,2
Massachuse,0,3,Final,Raymond Goldovt,Elizabeth Frumkin,10,3,3, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,206,John Nyemchek,Waltz,3
Massachuse,0,3,Final,Raymond Goldovt,Elizabeth Frumkin,11,3,3, Amateur (NQE) Pre-Teen II Silver Standard  (WFQ),Sample,0,ned13,40253010,206,Bill Morganti,Waltz,3
