couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CT,0,1,Final,Peter Fan,Kiele Sacco,12,1,1, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,157,Pierre Allaire,Am. Waltz,1
CT,0,1,Final,Peter Fan,Kiele Sacco,13,1,1, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,157,David Rosinski,Am. Waltz,1
CT,0,1,Final,Peter Fan,Kiele Sacco,14,1,1, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,157,Mireille Veilleux,Am. Waltz,1
ct,0,3,Final,Zach Bowles,Emily Williams,12,2,3, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,161,Pierre Allaire,Am. Waltz,2
ct,0,2,Final,Zach Bowles,Emily Williams,13,2,2, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,161,David Rosinski,Am. Waltz,2
ct,0,2,Final,Zach Bowles,Emily Williams,14,2,2, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,161,Mireille Veilleux,Am. Waltz,2
ct,0,2,Final,Alexx Loughlin,Jamie Loughlin,12,3,2, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,163,Pierre Allaire,Am. Waltz,3
ct,0,3,Final,Alexx Loughlin,Jamie Loughlin,13,3,3, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,163,David Rosinski,Am. Waltz,3
ct,0,3,Final,Alexx Loughlin,Jamie Loughlin,14,3,3, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,163,Mireille Veilleux,Am. Waltz,3
ct,0,4,Final,Paul Onofrio,Kim Adamski,12,4,4, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,159,Pierre Allaire,Am. Waltz,4
ct,0,4,Final,Paul Onofrio,Kim Adamski,13,4,4, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,159,David Rosinski,Am. Waltz,4
ct,0,4,Final,Paul Onofrio,Kim Adamski,14,4,4, Junior Newcomer Am. Waltz  (W),Sample,0,nef10,402C2038,159,Mireille Veilleux,Am. Waltz,4
CT,0,1,Final,Peter Fan,Kiele Sacco,12,1,1, Junior Newcomer Am. Tango  (T),Sample,0,nef10,402C2039,157,Pierre Allaire,Am. Tango,1
CT,0,1,Final,Peter Fan,Kiele Sacco,13,1,1, Junior Newcomer Am. Tango  (T),Sample,0,nef10,402C2039,157,David Rosinski,Am. Tango,1
CT,0,1,Final,Peter Fan,Kiele Sacco,14,1,1, Junior Newcomer Am. Tango  (T),Sample,0,nef10,402C2039,157,Mireille Veilleux,Am. Tango,1
ct,0,2,Final,Zach Bowles,Emily Williams,12,2,2, Junior Newcomer Am. Tango  (T),Sample,0,nef10,402C2039,161,Pierre Allaire,Am. Tango,2
