couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Gary Bamberger,Noreen Cargill,11,1,1, Amateur Adult Bronze Smooth  (WF),Sample,0,njs12,40422830,303,Bill Davies,Waltz,1
,0,1,Final,Gary Bamberger,Noreen Cargill,12,1,1, Amateur Adult Bronze Smooth  (WF),Sample,0,njs12,40422830,303,Evgeny Dyachenko,Waltz,1
,0,1,Final,Gary Bamberger,Noreen Cargill,13,1,1, Amateur Adult Bronze Smooth  (WF),Sample,0,njs12,40422830,303,Linas Koreiva,Waltz,1
,0,1,Final,Gary Bamberger,Noreen Cargill,14,1,1, Amateur Adult Bronze Smooth  (WF),Sample,0,njs12,40422830,303,Pamela Licht,Waltz,1
,0,1,Final,Gary Bamberger,Noreen Cargill,18,1,1, Amateur Adult Bronze Smooth  (WF),Sample,0,njs12,40422830,303,Karolina Szpiech,Waltz,1
,0,1,Final,Gary Bamberger,Noreen Cargill,11,1,1, Amateur Adult Bronze Smooth  (WF),Sample,1,njs12,40422830,303,Bill Davies,Foxtrot,1
,0,1,Final,Gary Bamberger,Noreen Cargill,12,1,1, Amateur Adult Bronze Smooth  (WF),Sample,1,njs12,40422830,303,Evgeny Dyachenko,Foxtrot,1
,0,1,Final,Gary Bamberger,Noreen Cargill,13,1,1, Amateur Adult Bronze Smooth  (WF),Sample,1,njs12,40422830,303,Linas Koreiva,Foxtrot,1
,0,1,Final,Gary Bamberger,Noreen Cargill,14,1,1, Amateur Adult Bronze Smooth  (WF),Sample,1,njs12,40422830,303,Pamela Licht,Foxtrot,1
,0,1,Final,Gary Bamberger,Noreen Cargill,18,1,1, Amateur Adult Bronze Smooth  (WF),Sample,1,njs12,40422830,303,Karolina Szpiech,Foxtrot,1
,0,1,Final,Robert Dansker,Sandy Lucia,11,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,0,njs12,40442830,272,Bill Davies,Waltz,1
,0,1,Final,Robert Dansker,Sandy Lucia,12,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,0,njs12,40442830,272,Evgeny Dyachenko,Waltz,1
,0,1,Final,Robert Dansker,Sandy Lucia,13,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,0,njs12,40442830,272,Linas Koreiva,Waltz,1
,0,1,Final,Robert Dansker,Sandy Lucia,14,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,0,njs12,40442830,272,Pamela Licht,Waltz,1
,0,1,Final,Robert Dansker,Sandy Lucia,18,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,0,njs12,40442830,272,Karolina Szpiech,Waltz,1
,0,1,Final,Robert Dansker,Sandy Lucia,11,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,1,njs12,40442830,272,Bill Davies,Foxtrot,1
,0,1,Final,Robert Dansker,Sandy Lucia,12,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,1,njs12,40442830,272,Evgeny Dyachenko,Foxtrot,1
,0,1,Final,Robert Dansker,Sandy Lucia,13,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,1,njs12,40442830,272,Linas Koreiva,Foxtrot,1
,0,1,Final,Robert Dansker,Sandy Lucia,14,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,1,njs12,40442830,272,Pamela Licht,Foxtrot,1
,0,1,Final,Robert Dansker,Sandy Lucia,18,1,1, Amateur Senior II Bronze Smooth  (WF),Sample,1,njs12,40442830,272,Karolina Szpiech,Foxtrot,1
NY,0,1,Final,Thomas Russell,Tamara Russell,11,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,0,njs12,40423830,292,Bill Davies,Waltz,1
NY,0,1,Final,Thomas Russell,Tamara Russell,12,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,0,njs12,40423830,292,Evgeny Dyachenko,Waltz,1
NY,0,1,Final,Thomas Russell,Tamara Russell,13,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,0,njs12,40423830,292,Linas Koreiva,Waltz,1
NY,0,1,Final,Thomas Russell,Tamara Russell,14,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,0,njs12,40423830,292,Pamela Licht,Waltz,1
NY,0,1,Final,Thomas Russell,Tamara Russell,18,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,0,njs12,40423830,292,Karolina Szpiech,Waltz,1
NY,0,1,Final,Thomas Russell,Tamara Russell,11,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,1,njs12,40423830,292,Bill Davies,Tango,1
NY,0,1,Final,Thomas Russell,Tamara Russell,12,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,1,njs12,40423830,292,Evgeny Dyachenko,Tango,1
NY,0,1,Final,Thomas Russell,Tamara Russell,13,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,1,njs12,40423830,292,Linas Koreiva,Tango,1
NY,0,1,Final,Thomas Russell,Tamara Russell,14,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,1,njs12,40423830,292,Pamela Licht,Tango,1
NY,0,1,Final,Thomas Russell,Tamara Russell,18,1,1, Amateur Adult Gold Smooth  (WTFV),Sample,1,njs12,40423830,292,Karolina Szpiech,Tango,1
