couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Melvyn Low Dance Studio,0,1,Final,Daniel Pang,Mabel Heng,12,1,1, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,24,Andrey Gorbunov,Intl. Waltz,1
Melvyn Low Dance Studio,0,1,Final,Daniel Pang,Mabel Heng,14,1,1, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,24,Tuan Phan,Intl. Waltz,1
Melvyn Low Dance Studio,0,1,Final,Daniel Pang,Mabel Heng,15,1,1, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,24,Anthony Price,Intl. Waltz,1
Melvyn Low Dance Studio,0,2,Final,Daniel Pang,Mabel Heng,16,1,2, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,24,Matthew Rooke,Intl. Waltz,1
Melvyn Low Dance Studio,0,1,Final,Daniel Pang,Mabel Heng,17,1,1, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,24,Aleena Tan,Intl. Waltz,1
NUS Ballroom Team,0,5,Final,Kang Tan,Xiaotong Xie,12,2,5, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,2,Andrey Gorbunov,Intl. Waltz,2
NUS Ballroom Team,0,2,Final,Kang Tan,Xiaotong Xie,14,2,2, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,2,Tuan Phan,Intl. Waltz,2
NUS Ballroom Team,0,2,Final,Kang Tan,Xiaotong Xie,15,2,2, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,2,Anthony Price,Intl. Waltz,2
NUS Ballroom Team,0,1,Final,Kang Tan,Xiaotong Xie,16,2,1, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,2,Matthew Rooke,Intl. Waltz,2
NUS Ballroom Team,0,3,Final,Kang Tan,Xiaotong Xie,17,2,3, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,2,Aleena Tan,Intl. Waltz,2
NUS Ballroom Team,0,4,Final,Abel Tan,Anna Filippova,12,3,4, All Beginner Intl. Waltz  (W),Sample,0,nus14,41318818,26,Andrey Gorbunov,Intl. Waltz,3
