couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
OR,0,4,Final,Chad Crader,Antonina Pevzner,10,1,4, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,124,Stephen Cullip,Waltz,1
OR,0,1,Final,Chad Crader,Antonina Pevzner,11,1,1, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,124,Tom Hicks,Waltz,1
OR,0,1,Final,Chad Crader,Antonina Pevzner,12,1,1, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,124,Anya Klimova-Preston,Waltz,1
OR,0,1,Final,Chad Crader,Antonina Pevzner,13,1,1, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,124,Elizabeth Knoll,Waltz,1
OR,0,1,Final,Chad Crader,Antonina Pevzner,15,1,1, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,124,Toni Redpath,Waltz,1
WA,0,3,Final,Nikolai Dotsenko,Dascha Jayne Wright,10,3,3, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,131,Stephen Cullip,Waltz,2
WA,0,2,Final,Nikolai Dotsenko,Dascha Jayne Wright,11,3,2, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,131,Tom Hicks,Waltz,2
WA,0,2,Final,Nikolai Dotsenko,Dascha Jayne Wright,12,3,2, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,131,Anya Klimova-Preston,Waltz,2
WA,0,4,Final,Nikolai Dotsenko,Dascha Jayne Wright,13,3,4, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,131,Elizabeth Knoll,Waltz,2
WA,0,4,Final,Nikolai Dotsenko,Dascha Jayne Wright,15,3,4, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,131,Toni Redpath,Waltz,2
WA,0,1,Final,Damien Maricich,Kaylee King,10,2,1, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,176,Stephen Cullip,Waltz,3
WA,0,4,Final,Damien Maricich,Kaylee King,11,2,4, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,176,Tom Hicks,Waltz,3
WA,0,5,Final,Damien Maricich,Kaylee King,12,2,5, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,176,Anya Klimova-Preston,Waltz,3
WA,0,3,Final,Damien Maricich,Kaylee King,13,2,3, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,176,Elizabeth Knoll,Waltz,3
WA,0,2,Final,Damien Maricich,Kaylee King,15,2,2, Junior Bronze Standard  (WQ),Sample,0,nwr09,402C2810,176,Toni Redpath,Waltz,3
