couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Red Team,Red Team,11,1,1, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,11,Roland Michtchenko,Cha Cha,1
,0,1,Final,Red Team,Red Team,13,1,1, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,11,Natalia Sinelnikova,Cha Cha,1
,0,1,Final,Red Team,Red Team,15,1,1, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,11,Ludmila Popova,Cha Cha,1
,0,2,Final,White Team,White Team,11,2,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,22,Roland Michtchenko,Cha Cha,2
,0,3,Final,White Team,White Team,13,2,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,22,Natalia Sinelnikova,Cha Cha,2
,0,2,Final,White Team,White Team,15,2,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,22,Ludmila Popova,Cha Cha,2
,0,3,Final,Blue Team,Blue Team,11,3,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,33,Roland Michtchenko,Cha Cha,3
,0,2,Final,Blue Team,Blue Team,13,3,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,33,Natalia Sinelnikova,Cha Cha,3
,0,3,Final,Blue Team,Blue Team,15,3,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,0,ons08,412F8520,33,Ludmila Popova,Cha Cha,3
,0,1,Final,Red Team,Red Team,11,1,1, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,11,Roland Michtchenko,Samba,1
,0,1,Final,Red Team,Red Team,13,1,1, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,11,Natalia Sinelnikova,Samba,1
,0,2,Final,Red Team,Red Team,15,1,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,11,Ludmila Popova,Samba,1
,0,3,Final,White Team,White Team,11,3,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,22,Roland Michtchenko,Samba,2
,0,2,Final,White Team,White Team,13,3,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,22,Natalia Sinelnikova,Samba,2
,0,3,Final,White Team,White Team,15,3,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,22,Ludmila Popova,Samba,2
,0,2,Final,Blue Team,Blue Team,11,2,2, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,33,Roland Michtchenko,Samba,3
,0,3,Final,Blue Team,Blue Team,13,2,3, Amateur (1) Youth Open Latin  (CSRPJ),Sample,1,ons08,412F8520,33,Natalia Sinelnikova,Samba,3
