couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Stephen Uczekaj,Sirina King,12,1,1, Pro/Am Adult B2 Newcomer Intl. Waltz  (W),Sample,0,ons10a,80C52018,184,Elena Zakharova,Intl. Waltz,1
WA,0,1,Final,Stephen Uczekaj,Sirina King,15,1,1, Pro/Am Adult B2 Newcomer Intl. Waltz  (W),Sample,0,ons10a,80C52018,184,Anya Klimova-Preston,Intl. Waltz,1
WA,0,2,Final,Stephen Uczekaj,Sirina King,16,1,2, Pro/Am Adult B2 Newcomer Intl. Waltz  (W),Sample,0,ons10a,80C52018,184,Monique Hrouda,Intl. Waltz,1
WA,0,1,Final,Sergey Nekrasov,Laura Reynolds,12,1,1, Pro/Am Adult A2 Pre-Bronze Intl. Waltz  (W),Sample,0,ons10a,80C22918,182,Elena Zakharova,Intl. Waltz,1
WA,0,1,Final,Sergey Nekrasov,Laura Reynolds,15,1,1, Pro/Am Adult A2 Pre-Bronze Intl. Waltz  (W),Sample,0,ons10a,80C22918,182,Anya Klimova-Preston,Intl. Waltz,1
WA,0,2,Final,Sergey Nekrasov,Laura Reynolds,16,1,2, Pro/Am Adult A2 Pre-Bronze Intl. Waltz  (W),Sample,0,ons10a,80C22918,182,Monique Hrouda,Intl. Waltz,1
WA,0,1,Final,Sergey Nekrasov,Helen Lafferty,12,1,1, Pro/Am Adult B1 Int. Silver Intl. Tango  (T),Sample,0,ons10a,80C43219,182,Elena Zakharova,Intl. Tango,1
WA,0,1,Final,Sergey Nekrasov,Helen Lafferty,15,1,1, Pro/Am Adult B1 Int. Silver Intl. Tango  (T),Sample,0,ons10a,80C43219,182,Anya Klimova-Preston,Intl. Tango,1
WA,0,2,Final,Sergey Nekrasov,Helen Lafferty,16,1,2, Pro/Am Adult B1 Int. Silver Intl. Tango  (T),Sample,0,ons10a,80C43219,182,Monique Hrouda,Intl. Tango,1
WA,0,1,Final,Konstantin Yakunin,Anne Pham,12,1,1, Pro/Am Adult A2 Open Silver Intl. V. Waltz  (V),Sample,0,ons10a,80C2351A,187,Elena Zakharova,Intl. V. Waltz,1
WA,0,1,Final,Konstantin Yakunin,Anne Pham,15,1,1, Pro/Am Adult A2 Open Silver Intl. V. Waltz  (V),Sample,0,ons10a,80C2351A,187,Anya Klimova-Preston,Intl. V. Waltz,1
WA,0,2,Final,Konstantin Yakunin,Anne Pham,16,1,2, Pro/Am Adult A2 Open Silver Intl. V. Waltz  (V),Sample,0,ons10a,80C2351A,187,Monique Hrouda,Intl. V. Waltz,1
WA,0,1,Final,Yegor Novikov,Kumiko Kurosaka,12,1,1, Pro/Am Adult C1 Open Gold Intl. V. Waltz  (V),Sample,0,ons10a,80C73D1A,186,Elena Zakharova,Intl. V. Waltz,1
WA,0,1,Final,Yegor Novikov,Kumiko Kurosaka,15,1,1, Pro/Am Adult C1 Open Gold Intl. V. Waltz  (V),Sample,0,ons10a,80C73D1A,186,Anya Klimova-Preston,Intl. V. Waltz,1
WA,0,2,Final,Yegor Novikov,Kumiko Kurosaka,16,1,2, Pro/Am Adult C1 Open Gold Intl. V. Waltz  (V),Sample,0,ons10a,80C73D1A,186,Monique Hrouda,Intl. V. Waltz,1
WA,0,1,Final,Sergey Nekrasov,Dascha Wright,12,1,1, Pro/Am Pre-Teen I Full Bronze Intl. Foxtrot  (F),Sample,0,ons10a,80232B1B,182,Elena Zakharova,Intl. Foxtrot,1
WA,0,1,Final,Sergey Nekrasov,Dascha Wright,15,1,1, Pro/Am Pre-Teen I Full Bronze Intl. Foxtrot  (F),Sample,0,ons10a,80232B1B,182,Anya Klimova-Preston,Intl. Foxtrot,1
WA,0,2,Final,Sergey Nekrasov,Dascha Wright,16,1,2, Pro/Am Pre-Teen I Full Bronze Intl. Foxtrot  (F),Sample,0,ons10a,80232B1B,182,Monique Hrouda,Intl. Foxtrot,1
WA,0,1,Final,Konstantin Yakunin,Anne Pham,12,1,1, Pro/Am Adult A2 Open Silver Intl. Foxtrot  (F),Sample,0,ons10a,80C2351B,187,Elena Zakharova,Intl. Foxtrot,1
WA,0,1,Final,Konstantin Yakunin,Anne Pham,15,1,1, Pro/Am Adult A2 Open Silver Intl. Foxtrot  (F),Sample,0,ons10a,80C2351B,187,Anya Klimova-Preston,Intl. Foxtrot,1
WA,0,2,Final,Konstantin Yakunin,Anne Pham,16,1,2, Pro/Am Adult A2 Open Silver Intl. Foxtrot  (F),Sample,0,ons10a,80C2351B,187,Monique Hrouda,Intl. Foxtrot,1
WA,0,1,Final,Yegor Novikov,Kumiko Kurosaka,12,1,1, Pro/Am Adult C1 Open Gold Intl. Quickstep  (Q),Sample,0,ons10a,80C73D1C,186,Elena Zakharova,Intl. Quickstep,1
