couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Kaye Munro,Wendy Huntington,10,1,1, Pro/Am Adult B2 Open Bronze Am. Waltz  (W),Sample,0,ons10b,80C52D38,130,Alexandria Hawkins,Am. Waltz,1
WA,0,1,Final,Kaye Munro,Wendy Huntington,12,1,1, Pro/Am Adult B2 Open Bronze Am. Waltz  (W),Sample,0,ons10b,80C52D38,130,Anya Klimova-Preston,Am. Waltz,1
WA,0,1,Final,Kaye Munro,Wendy Huntington,17,1,1, Pro/Am Adult B2 Open Bronze Am. Waltz  (W),Sample,0,ons10b,80C52D38,130,Elena Zakharova,Am. Waltz,1
WA,0,1,Final,Steve Forbes,Jean Milano,10,1,1, Pro/Am Adult B1 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,80C43138,226,Alexandria Hawkins,Am. Waltz,1
WA,0,1,Final,Steve Forbes,Jean Milano,12,1,1, Pro/Am Adult B1 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,80C43138,226,Anya Klimova-Preston,Am. Waltz,1
WA,0,1,Final,Steve Forbes,Jean Milano,17,1,1, Pro/Am Adult B1 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,80C43138,226,Elena Zakharova,Am. Waltz,1
WA,0,1,Final,Bob Felker,Betty Felker,10,1,1, Student/Student Adult B2 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,B0C53138,206,Alexandria Hawkins,Am. Waltz,1
WA,0,1,Final,Bob Felker,Betty Felker,12,1,1, Student/Student Adult B2 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,B0C53138,206,Anya Klimova-Preston,Am. Waltz,1
WA,0,1,Final,Bob Felker,Betty Felker,17,1,1, Student/Student Adult B2 Pre-Silver Am. Waltz  (W),Sample,0,ons10b,B0C53138,206,Elena Zakharova,Am. Waltz,1
,0,1,Final,Ivan Statsenko,Marina Dzasokhova,10,1,1, Pro/Am Adult A1 Open Gold Am. Waltz  (W),Sample,0,ons10b,80C13D38,133,Alexandria Hawkins,Am. Waltz,1
,0,1,Final,Ivan Statsenko,Marina Dzasokhova,12,1,1, Pro/Am Adult A1 Open Gold Am. Waltz  (W),Sample,0,ons10b,80C13D38,133,Anya Klimova-Preston,Am. Waltz,1
,0,1,Final,Ivan Statsenko,Marina Dzasokhova,17,1,1, Pro/Am Adult A1 Open Gold Am. Waltz  (W),Sample,0,ons10b,80C13D38,133,Elena Zakharova,Am. Waltz,1
WA,0,1,Final,Elliot Scott,Maria Presswood,10,1,1, Pro/Am Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,ons10b,80C12938,137,Alexandria Hawkins,Am. Waltz,1
WA,0,1,Final,Elliot Scott,Maria Presswood,12,1,1, Pro/Am Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,ons10b,80C12938,137,Anya Klimova-Preston,Am. Waltz,1
WA,0,1,Final,Elliot Scott,Maria Presswood,17,1,1, Pro/Am Adult A1 Pre-Bronze Am. Waltz  (W),Sample,0,ons10b,80C12938,137,Elena Zakharova,Am. Waltz,1
WA,0,1,Final,Art Ward,Jean Milano,10,1,1, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,240,Alexandria Hawkins,Am. Tango,1
WA,0,1,Final,Art Ward,Jean Milano,12,1,1, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,240,Anya Klimova-Preston,Am. Tango,1
WA,0,2,Final,Art Ward,Jean Milano,17,1,2, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,240,Elena Zakharova,Am. Tango,1
WA,0,2,Final,Kaye Munro,Riittta Anderson,10,2,2, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,130,Alexandria Hawkins,Am. Tango,2
WA,0,2,Final,Kaye Munro,Riittta Anderson,12,2,2, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,130,Anya Klimova-Preston,Am. Tango,2
WA,0,1,Final,Kaye Munro,Riittta Anderson,17,2,1, Pro/Am Adult B2 Full Silver Am. Tango  (T),Sample,0,ons10b,80C53339,130,Elena Zakharova,Am. Tango,2
WA,0,1,Final,Elliot Scott,Diana Dean,10,1,1, Pro/Am Adult B1 Full Bronze Am. Tango  (T),Sample,0,ons10b,80C42B39,137,Alexandria Hawkins,Am. Tango,1
WA,0,1,Final,Elliot Scott,Diana Dean,12,1,1, Pro/Am Adult B1 Full Bronze Am. Tango  (T),Sample,0,ons10b,80C42B39,137,Anya Klimova-Preston,Am. Tango,1
WA,0,1,Final,Elliot Scott,Diana Dean,17,1,1, Pro/Am Adult B1 Full Bronze Am. Tango  (T),Sample,0,ons10b,80C42B39,137,Elena Zakharova,Am. Tango,1
WA,0,1,Final,Art Ward,Jean Milano,10,1,1, Pro/Am Adult B2 Full Silver Am. Foxtrot  (F),Sample,0,ons10b,80C5333A,240,Alexandria Hawkins,Am. Foxtrot,1
WA,0,1,Final,Art Ward,Jean Milano,12,1,1, Pro/Am Adult B2 Full Silver Am. Foxtrot  (F),Sample,0,ons10b,80C5333A,240,Anya Klimova-Preston,Am. Foxtrot,1
WA,0,1,Final,Art Ward,Jean Milano,17,1,1, Pro/Am Adult B2 Full Silver Am. Foxtrot  (F),Sample,0,ons10b,80C5333A,240,Elena Zakharova,Am. Foxtrot,1
,0,1,Final,Ivan Statsenko,Marina Dzasokhova,10,1,1, Pro/Am Adult A1 Open Gold Am. Foxtrot  (F),Sample,0,ons10b,80C13D3A,133,Alexandria Hawkins,Am. Foxtrot,1
,0,1,Final,Ivan Statsenko,Marina Dzasokhova,12,1,1, Pro/Am Adult A1 Open Gold Am. Foxtrot  (F),Sample,0,ons10b,80C13D3A,133,Anya Klimova-Preston,Am. Foxtrot,1
