couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
BC,0,1,Final,Nick van de Pauw,Renee Berard,11,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,76,Kim Donaghy,Waltz,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,12,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,76,Benoit Drolet,Waltz,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,15,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,76,Elizabeth C Knoll,Waltz,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,16,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,76,Calvin Lee,Waltz,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,17,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,76,Martin Lefebvre,Waltz,1
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,11,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,74,Kim Donaghy,Waltz,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,12,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,74,Benoit Drolet,Waltz,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,15,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,74,Elizabeth C Knoll,Waltz,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,16,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,74,Calvin Lee,Waltz,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,17,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,0,paf13,40422910,74,Martin Lefebvre,Waltz,2
BC,0,1,Final,Nick van de Pauw,Renee Berard,11,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,76,Kim Donaghy,Quickstep,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,12,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,76,Benoit Drolet,Quickstep,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,15,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,76,Elizabeth C Knoll,Quickstep,1
BC,0,2,Final,Nick van de Pauw,Renee Berard,16,1,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,76,Calvin Lee,Quickstep,1
BC,0,1,Final,Nick van de Pauw,Renee Berard,17,1,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,76,Martin Lefebvre,Quickstep,1
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,11,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,74,Kim Donaghy,Quickstep,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,12,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,74,Benoit Drolet,Quickstep,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,15,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,74,Elizabeth C Knoll,Quickstep,2
Oregon,0,1,Final,John Smith-Hill,Diane Smith-Hill,16,2,1, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,74,Calvin Lee,Quickstep,2
Oregon,0,2,Final,John Smith-Hill,Diane Smith-Hill,17,2,2, Amateur Adult Pre-Bronze Standard  (WQ),Sample,1,paf13,40422910,74,Martin Lefebvre,Quickstep,2
AB,0,1,Final,Bryan Senn,Barb Thomas,11,1,1, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,58,Kim Donaghy,Intl. Waltz,1
AB,0,1,Final,Bryan Senn,Barb Thomas,12,1,1, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,58,Benoit Drolet,Intl. Waltz,1
AB,0,1,Final,Bryan Senn,Barb Thomas,15,1,1, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,58,Elizabeth C Knoll,Intl. Waltz,1
AB,0,1,Final,Bryan Senn,Barb Thomas,16,1,1, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,58,Calvin Lee,Intl. Waltz,1
AB,0,1,Final,Bryan Senn,Barb Thomas,17,1,1, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,58,Martin Lefebvre,Intl. Waltz,1
BC,0,2,Final,Andy Wong,Joy Tsang,11,2,2, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,45,Kim Donaghy,Intl. Waltz,2
BC,0,2,Final,Andy Wong,Joy Tsang,12,2,2, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,45,Benoit Drolet,Intl. Waltz,2
BC,0,2,Final,Andy Wong,Joy Tsang,15,2,2, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,45,Elizabeth C Knoll,Intl. Waltz,2
BC,0,2,Final,Andy Wong,Joy Tsang,16,2,2, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,45,Calvin Lee,Intl. Waltz,2
BC,0,2,Final,Andy Wong,Joy Tsang,17,2,2, Pro/Am Ladies Adult B2 Newcomer Intl. Waltz  (W),Sample,0,paf13,88C52018,45,Martin Lefebvre,Intl. Waltz,2
WA,0,1,Final,Nicolas Schonbeck,Deb Mashock,11,1,1, Pro/Am Ladies Adult A2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C23218,57,Kim Donaghy,Intl. Waltz,1
WA,0,1,Final,Nicolas Schonbeck,Deb Mashock,12,1,1, Pro/Am Ladies Adult A2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C23218,57,Benoit Drolet,Intl. Waltz,1
WA,0,1,Final,Nicolas Schonbeck,Deb Mashock,15,1,1, Pro/Am Ladies Adult A2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C23218,57,Elizabeth C Knoll,Intl. Waltz,1
WA,0,1,Final,Nicolas Schonbeck,Deb Mashock,16,1,1, Pro/Am Ladies Adult A2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C23218,57,Calvin Lee,Intl. Waltz,1
WA,0,1,Final,Nicolas Schonbeck,Deb Mashock,17,1,1, Pro/Am Ladies Adult A2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C23218,57,Martin Lefebvre,Intl. Waltz,1
BC,0,1,Final,Dmitry Rusak,Diane MacKenzie,11,1,1, Pro/Am Ladies Adult B2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C53218,56,Kim Donaghy,Intl. Waltz,1
BC,0,1,Final,Dmitry Rusak,Diane MacKenzie,12,1,1, Pro/Am Ladies Adult B2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C53218,56,Benoit Drolet,Intl. Waltz,1
BC,0,1,Final,Dmitry Rusak,Diane MacKenzie,15,1,1, Pro/Am Ladies Adult B2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C53218,56,Elizabeth C Knoll,Intl. Waltz,1
BC,0,1,Final,Dmitry Rusak,Diane MacKenzie,16,1,1, Pro/Am Ladies Adult B2 Int. Silver Intl. Waltz  (W),Sample,0,paf13,88C53218,56,Calvin Lee,Intl. Waltz,1
