couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WI,0,2,Final,Youming Yang,Devin Walsh-Felz,10,1,2,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,197,Gregory Day,Waltz,1
WI,0,1,Final,Youming Yang,Devin Walsh-Felz,11,1,1,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,197,Gert Roslander,Waltz,1
WI,0,1,Final,Youming Yang,Devin Walsh-Felz,13,1,1,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,197,Bill Sparks,Waltz,1
MI,0,1,Final,Kevin Torrico,Carey Goenka,10,2,1,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,145,Gregory Day,Waltz,2
MI,0,2,Final,Kevin Torrico,Carey Goenka,11,2,2,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,145,Gert Roslander,Waltz,2
MI,0,4,Final,Kevin Torrico,Carey Goenka,13,2,4,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,145,Bill Sparks,Waltz,2
WI,0,3,Final,Adam Peczalski,Holly Hung,10,3,3,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,133,Gregory Day,Waltz,3
WI,0,7,Final,Adam Peczalski,Holly Hung,11,3,7,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,133,Gert Roslander,Waltz,3
WI,0,2,Final,Adam Peczalski,Holly Hung,13,3,2,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,133,Bill Sparks,Waltz,3
IL,0,5,Final,KT Hsu,Eliane Jean,10,4.5,5,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,159,Gregory Day,Waltz,4
IL,0,4,Final,KT Hsu,Eliane Jean,11,4.5,4,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,159,Gert Roslander,Waltz,4
IL,0,3,Final,KT Hsu,Eliane Jean,13,4.5,3,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,159,Bill Sparks,Waltz,4
OH,0,4,Final,Arsen Savzyan,Alex Sealscott,10,4.5,4,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,115,Gregory Day,Waltz,5
OH,0,3,Final,Arsen Savzyan,Alex Sealscott,11,4.5,3,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,115,Gert Roslander,Waltz,5
OH,0,5,Final,Arsen Savzyan,Alex Sealscott,13,4.5,5,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,115,Bill Sparks,Waltz,5
MI,0,6,Final,Mark Rudolf,Karen Ye,10,6,6,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,152,Gregory Day,Waltz,6
MI,0,6,Final,Mark Rudolf,Karen Ye,11,6,6,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,152,Gert Roslander,Waltz,6
MI,0,6,Final,Mark Rudolf,Karen Ye,13,6,6,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,152,Bill Sparks,Waltz,6
,0,7,Final,Josiah Kitchell,Stephanie Mizen,10,7,7,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,134,Gregory Day,Waltz,7
,0,5,Final,Josiah Kitchell,Stephanie Mizen,11,7,5,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,134,Gert Roslander,Waltz,7
,0,7,Final,Josiah Kitchell,Stephanie Mizen,13,7,7,  Bronze Smooth  (WT),Sample,0,pbc09,40012830,134,Bill Sparks,Waltz,7
WI,0,3,Final,Youming Yang,Devin Walsh-Felz,10,1,3,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,197,Gregory Day,Tango,1
WI,0,1,Final,Youming Yang,Devin Walsh-Felz,11,1,1,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,197,Gert Roslander,Tango,1
WI,0,1,Final,Youming Yang,Devin Walsh-Felz,13,1,1,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,197,Bill Sparks,Tango,1
MI,0,2,Final,Kevin Torrico,Carey Goenka,10,2,2,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,145,Gregory Day,Tango,2
MI,0,4,Final,Kevin Torrico,Carey Goenka,11,2,4,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,145,Gert Roslander,Tango,2
MI,0,2,Final,Kevin Torrico,Carey Goenka,13,2,2,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,145,Bill Sparks,Tango,2
WI,0,1,Final,Adam Peczalski,Holly Hung,10,3,1,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,133,Gregory Day,Tango,3
WI,0,3,Final,Adam Peczalski,Holly Hung,11,3,3,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,133,Gert Roslander,Tango,3
WI,0,4,Final,Adam Peczalski,Holly Hung,13,3,4,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,133,Bill Sparks,Tango,3
IL,0,5,Final,KT Hsu,Eliane Jean,10,4,5,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,159,Gregory Day,Tango,4
IL,0,2,Final,KT Hsu,Eliane Jean,11,4,2,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,159,Gert Roslander,Tango,4
IL,0,3,Final,KT Hsu,Eliane Jean,13,4,3,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,159,Bill Sparks,Tango,4
OH,0,4,Final,Arsen Savzyan,Alex Sealscott,10,5,4,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,115,Gregory Day,Tango,5
OH,0,7,Final,Arsen Savzyan,Alex Sealscott,11,5,7,  Bronze Smooth  (WT),Sample,1,pbc09,40012830,115,Gert Roslander,Tango,5
