couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AZ,0,2,Final,Gustavo Ancira,Shipley Taylor,10,1,2, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,152,Elizabeth Knoll,Cha Cha,1
AZ,0,4,Final,Gustavo Ancira,Shipley Taylor,11,1,4, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,152,Susan Puttock,Cha Cha,1
AZ,0,2,Final,Gustavo Ancira,Shipley Taylor,13,1,2, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,152,Jennifer Booth,Cha Cha,1
AZ,0,2,Final,Gustavo Ancira,Shipley Taylor,15,1,2, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,152,Jim Maranto,Cha Cha,1
AZ,0,2,Final,Gustavo Ancira,Shipley Taylor,17,1,2, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,152,Trevor Luff,Cha Cha,1
AZ,0,4,Final,Conor Leaman,Korin Farnsworth,10,4,4, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,184,Elizabeth Knoll,Cha Cha,2
AZ,0,2,Final,Conor Leaman,Korin Farnsworth,11,4,2, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,184,Susan Puttock,Cha Cha,2
AZ,0,3,Final,Conor Leaman,Korin Farnsworth,13,4,3, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,184,Jennifer Booth,Cha Cha,2
AZ,0,1,Final,Conor Leaman,Korin Farnsworth,15,4,1, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,184,Jim Maranto,Cha Cha,2
AZ,0,4,Final,Conor Leaman,Korin Farnsworth,17,4,4, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,184,Trevor Luff,Cha Cha,2
AZ,0,3,Final,Wickman Taylor,Alexandra Schaeffer,10,2.5,3, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,223,Elizabeth Knoll,Cha Cha,3
AZ,0,1,Final,Wickman Taylor,Alexandra Schaeffer,11,2.5,1, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,223,Susan Puttock,Cha Cha,3
AZ,0,1,Final,Wickman Taylor,Alexandra Schaeffer,13,2.5,1, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,223,Jennifer Booth,Cha Cha,3
AZ,0,4,Final,Wickman Taylor,Alexandra Schaeffer,15,2.5,4, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,223,Jim Maranto,Cha Cha,3
AZ,0,3,Final,Wickman Taylor,Alexandra Schaeffer,17,2.5,3, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,223,Trevor Luff,Cha Cha,3
AZ,0,5,Final,Zachary Perey,Lyric LeTellier,10,6,5, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,123,Elizabeth Knoll,Cha Cha,4
AZ,0,7,Final,Zachary Perey,Lyric LeTellier,11,6,7, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,123,Susan Puttock,Cha Cha,4
AZ,0,7,Final,Zachary Perey,Lyric LeTellier,13,6,7, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,123,Jennifer Booth,Cha Cha,4
AZ,0,6,Final,Zachary Perey,Lyric LeTellier,15,6,6, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,123,Jim Maranto,Cha Cha,4
AZ,0,8,Final,Zachary Perey,Lyric LeTellier,17,6,8, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,123,Trevor Luff,Cha Cha,4
AZ,0,1,Final,Russell Johnson,Hailey Baker,10,2.5,1, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,210,Elizabeth Knoll,Cha Cha,5
AZ,0,3,Final,Russell Johnson,Hailey Baker,11,2.5,3, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,210,Susan Puttock,Cha Cha,5
AZ,0,4,Final,Russell Johnson,Hailey Baker,13,2.5,4, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,210,Jennifer Booth,Cha Cha,5
AZ,0,3,Final,Russell Johnson,Hailey Baker,15,2.5,3, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,210,Jim Maranto,Cha Cha,5
AZ,0,1,Final,Russell Johnson,Hailey Baker,17,2.5,1, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,210,Trevor Luff,Cha Cha,5
AZ,0,6,Final,Kevin Lasek,Victoria Sowislo,10,5,6, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,140,Elizabeth Knoll,Cha Cha,6
AZ,0,6,Final,Kevin Lasek,Victoria Sowislo,11,5,6, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,140,Susan Puttock,Cha Cha,6
AZ,0,5,Final,Kevin Lasek,Victoria Sowislo,13,5,5, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,140,Jennifer Booth,Cha Cha,6
AZ,0,5,Final,Kevin Lasek,Victoria Sowislo,15,5,5, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,140,Jim Maranto,Cha Cha,6
AZ,0,5,Final,Kevin Lasek,Victoria Sowislo,17,5,5, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,140,Trevor Luff,Cha Cha,6
AZ,0,7,Final,Wesley Loveall,Alden Teeters,10,7,7, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,109,Elizabeth Knoll,Cha Cha,7
AZ,0,5,Final,Wesley Loveall,Alden Teeters,11,7,5, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,109,Susan Puttock,Cha Cha,7
AZ,0,8,Final,Wesley Loveall,Alden Teeters,13,7,8, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,109,Jennifer Booth,Cha Cha,7
AZ,0,7,Final,Wesley Loveall,Alden Teeters,15,7,7, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,109,Jim Maranto,Cha Cha,7
AZ,0,7,Final,Wesley Loveall,Alden Teeters,17,7,7, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,109,Trevor Luff,Cha Cha,7
AZ,0,8,Final,Deven Deering,Ashley Barker,10,8,8, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,105,Elizabeth Knoll,Cha Cha,8
AZ,0,8,Final,Deven Deering,Ashley Barker,11,8,8, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,105,Susan Puttock,Cha Cha,8
AZ,0,6,Final,Deven Deering,Ashley Barker,13,8,6, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,105,Jennifer Booth,Cha Cha,8
AZ,0,8,Final,Deven Deering,Ashley Barker,15,8,8, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,105,Jim Maranto,Cha Cha,8
AZ,0,6,Final,Deven Deering,Ashley Barker,17,8,6, Junior II Bronze Rhythm  (CR),Sample,0,pdc11,402B2840,105,Trevor Luff,Cha Cha,8
AZ,0,3,Final,Gustavo Ancira,Shipley Taylor,10,3,3, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,152,Elizabeth Knoll,Rumba,1
AZ,0,6,Final,Gustavo Ancira,Shipley Taylor,11,3,6, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,152,Susan Puttock,Rumba,1
AZ,0,2,Final,Gustavo Ancira,Shipley Taylor,13,3,2, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,152,Jennifer Booth,Rumba,1
AZ,0,8,Final,Gustavo Ancira,Shipley Taylor,15,3,8, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,152,Jim Maranto,Rumba,1
AZ,0,1,Final,Gustavo Ancira,Shipley Taylor,17,3,1, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,152,Trevor Luff,Rumba,1
AZ,0,5,Final,Conor Leaman,Korin Farnsworth,10,2,5, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,184,Elizabeth Knoll,Rumba,2
AZ,0,1,Final,Conor Leaman,Korin Farnsworth,11,2,1, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,184,Susan Puttock,Rumba,2
AZ,0,3,Final,Conor Leaman,Korin Farnsworth,13,2,3, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,184,Jennifer Booth,Rumba,2
AZ,0,1,Final,Conor Leaman,Korin Farnsworth,15,2,1, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,184,Jim Maranto,Rumba,2
AZ,0,5,Final,Conor Leaman,Korin Farnsworth,17,2,5, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,184,Trevor Luff,Rumba,2
AZ,0,6,Final,Wickman Taylor,Alexandra Schaeffer,10,4,6, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,223,Elizabeth Knoll,Rumba,3
AZ,0,3,Final,Wickman Taylor,Alexandra Schaeffer,11,4,3, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,223,Susan Puttock,Rumba,3
AZ,0,1,Final,Wickman Taylor,Alexandra Schaeffer,13,4,1, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,223,Jennifer Booth,Rumba,3
AZ,0,3,Final,Wickman Taylor,Alexandra Schaeffer,15,4,3, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,223,Jim Maranto,Rumba,3
AZ,0,6,Final,Wickman Taylor,Alexandra Schaeffer,17,4,6, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,223,Trevor Luff,Rumba,3
AZ,0,2,Final,Zachary Perey,Lyric LeTellier,10,1,2, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,123,Elizabeth Knoll,Rumba,4
AZ,0,2,Final,Zachary Perey,Lyric LeTellier,11,1,2, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,123,Susan Puttock,Rumba,4
AZ,0,5,Final,Zachary Perey,Lyric LeTellier,13,1,5, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,123,Jennifer Booth,Rumba,4
AZ,0,2,Final,Zachary Perey,Lyric LeTellier,15,1,2, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,123,Jim Maranto,Rumba,4
AZ,0,3,Final,Zachary Perey,Lyric LeTellier,17,1,3, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,123,Trevor Luff,Rumba,4
AZ,0,7,Final,Russell Johnson,Hailey Baker,10,6,7, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,210,Elizabeth Knoll,Rumba,5
AZ,0,4,Final,Russell Johnson,Hailey Baker,11,6,4, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,210,Susan Puttock,Rumba,5
AZ,0,6,Final,Russell Johnson,Hailey Baker,13,6,6, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,210,Jennifer Booth,Rumba,5
AZ,0,4,Final,Russell Johnson,Hailey Baker,15,6,4, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,210,Jim Maranto,Rumba,5
AZ,0,2,Final,Russell Johnson,Hailey Baker,17,6,2, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,210,Trevor Luff,Rumba,5
AZ,0,1,Final,Kevin Lasek,Victoria Sowislo,10,5,1, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,140,Elizabeth Knoll,Rumba,6
AZ,0,5,Final,Kevin Lasek,Victoria Sowislo,11,5,5, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,140,Susan Puttock,Rumba,6
AZ,0,4,Final,Kevin Lasek,Victoria Sowislo,13,5,4, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,140,Jennifer Booth,Rumba,6
AZ,0,5,Final,Kevin Lasek,Victoria Sowislo,15,5,5, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,140,Jim Maranto,Rumba,6
AZ,0,4,Final,Kevin Lasek,Victoria Sowislo,17,5,4, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,140,Trevor Luff,Rumba,6
AZ,0,4,Final,Wesley Loveall,Alden Teeters,10,7,4, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,109,Elizabeth Knoll,Rumba,7
AZ,0,7,Final,Wesley Loveall,Alden Teeters,11,7,7, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,109,Susan Puttock,Rumba,7
AZ,0,8,Final,Wesley Loveall,Alden Teeters,13,7,8, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,109,Jennifer Booth,Rumba,7
AZ,0,7,Final,Wesley Loveall,Alden Teeters,15,7,7, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,109,Jim Maranto,Rumba,7
AZ,0,7,Final,Wesley Loveall,Alden Teeters,17,7,7, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,109,Trevor Luff,Rumba,7
AZ,0,8,Final,Deven Deering,Ashley Barker,10,8,8, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,105,Elizabeth Knoll,Rumba,8
AZ,0,8,Final,Deven Deering,Ashley Barker,11,8,8, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,105,Susan Puttock,Rumba,8
AZ,0,7,Final,Deven Deering,Ashley Barker,13,8,7, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,105,Jennifer Booth,Rumba,8
AZ,0,6,Final,Deven Deering,Ashley Barker,15,8,6, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,105,Jim Maranto,Rumba,8
AZ,0,8,Final,Deven Deering,Ashley Barker,17,8,8, Junior II Bronze Rhythm  (CR),Sample,1,pdc11,402B2840,105,Trevor Luff,Rumba,8
CA,0,1,Final,Tyler Li,Anjelica Lowe,10,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,133,Elizabeth Knoll,Waltz,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,11,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,133,Susan Puttock,Waltz,1
CA,0,2,Final,Tyler Li,Anjelica Lowe,13,1,2, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,133,Jennifer Booth,Waltz,1
CA,0,2,Final,Tyler Li,Anjelica Lowe,15,1,2, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,133,Jim Maranto,Waltz,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,17,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,133,Trevor Luff,Waltz,1
CA,0,2,Final,Loren Silverman,Gabriella Sigal,10,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,112,Elizabeth Knoll,Waltz,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,11,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,112,Susan Puttock,Waltz,2
CA,0,1,Final,Loren Silverman,Gabriella Sigal,13,2,1, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,112,Jennifer Booth,Waltz,2
CA,0,1,Final,Loren Silverman,Gabriella Sigal,15,2,1, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,112,Jim Maranto,Waltz,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,17,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,0,pdc11,40232810,112,Trevor Luff,Waltz,2
CA,0,1,Final,Tyler Li,Anjelica Lowe,10,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,133,Elizabeth Knoll,Quickstep,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,11,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,133,Susan Puttock,Quickstep,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,13,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,133,Jennifer Booth,Quickstep,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,15,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,133,Jim Maranto,Quickstep,1
CA,0,1,Final,Tyler Li,Anjelica Lowe,17,1,1, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,133,Trevor Luff,Quickstep,1
CA,0,2,Final,Loren Silverman,Gabriella Sigal,10,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,112,Elizabeth Knoll,Quickstep,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,11,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,112,Susan Puttock,Quickstep,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,13,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,112,Jennifer Booth,Quickstep,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,15,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,112,Jim Maranto,Quickstep,2
CA,0,2,Final,Loren Silverman,Gabriella Sigal,17,2,2, Pre-Teen I Bronze Standard  (WQ),Sample,1,pdc11,40232810,112,Trevor Luff,Quickstep,2
TX,0,1,Final,Jorge Gudino,Daniela Gonzalez,10,1,1, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,218,Elizabeth Knoll,Cha Cha,1
TX,0,1,Final,Jorge Gudino,Daniela Gonzalez,11,1,1, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,218,Susan Puttock,Cha Cha,1
TX,0,1,Final,Jorge Gudino,Daniela Gonzalez,13,1,1, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,218,Jennifer Booth,Cha Cha,1
TX,0,2,Final,Jorge Gudino,Daniela Gonzalez,15,1,2, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,218,Jim Maranto,Cha Cha,1
TX,0,1,Final,Jorge Gudino,Daniela Gonzalez,17,1,1, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,218,Trevor Luff,Cha Cha,1
AZ,0,5,Final,Conor Leaman,Korin Farnsworth,10,2,5, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,184,Elizabeth Knoll,Cha Cha,2
AZ,0,2,Final,Conor Leaman,Korin Farnsworth,11,2,2, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,184,Susan Puttock,Cha Cha,2
AZ,0,3,Final,Conor Leaman,Korin Farnsworth,13,2,3, Junior I Bronze Rhythm  (CR),Sample,0,pdc11,402A2840,184,Jennifer Booth,Cha Cha,2
