couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,2,Final,Steven Fisher,Mina Walther,12,2,2, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,244,Irina Suvorov,West Coast Swing,1
CA,0,1,Final,Steven Fisher,Mina Walther,14,2,1, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,244,Denise Jourdaine_Krauel,West Coast Swing,1
CA,0,3,Final,Steven Fisher,Mina Walther,18,2,3, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,244,Evgeny Antonov,West Coast Swing,1
CA,0,3,Final,Michael Horwath,Nancy Lam,12,2,3, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,283,Irina Suvorov,West Coast Swing,2
CA,0,2,Final,Michael Horwath,Nancy Lam,14,2,2, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,283,Denise Jourdaine_Krauel,West Coast Swing,2
CA,0,1,Final,Michael Horwath,Nancy Lam,18,2,1, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,283,Evgeny Antonov,West Coast Swing,2
Ca,0,1,Final,Konstantin Petrov,Teresa Au-Yeung,12,2,1, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,291,Irina Suvorov,West Coast Swing,3
Ca,0,3,Final,Konstantin Petrov,Teresa Au-Yeung,14,2,3, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,291,Denise Jourdaine_Krauel,West Coast Swing,3
Ca,0,2,Final,Konstantin Petrov,Teresa Au-Yeung,18,2,2, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,291,Evgeny Antonov,West Coast Swing,3
,0,4,Final,Christopher Chan,Josephine Chong,12,4,4, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,209,Irina Suvorov,West Coast Swing,4
,0,4,Final,Christopher Chan,Josephine Chong,14,4,4, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,209,Denise Jourdaine_Krauel,West Coast Swing,4
,0,4,Final,Christopher Chan,Josephine Chong,18,4,4, Pro (1) Adult C Newcomer2 West Coast Swing  (W),Sample,0,pgb11,21C68662,209,Evgeny Antonov,West Coast Swing,4
CA,0,1,Final,Stephen Ward,Deborah Davis,12,1,1, Pro/Am Ladies NC Adult C1 Beginner Multi-Dance West Coast Swing  (W),Sample,0,pgb11,89C78862,106,Irina Suvorov,West Coast Swing,1
CA,0,1,Final,Stephen Ward,Deborah Davis,14,1,1, Pro/Am Ladies NC Adult C1 Beginner Multi-Dance West Coast Swing  (W),Sample,0,pgb11,89C78862,106,Denise Jourdaine_Krauel,West Coast Swing,1
