couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Ethan Crisostomo,Evelyn Crisostomo,10,1,1, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,117,Elizabeth C Knoll,Waltz,1
WA,0,2,Final,Ethan Crisostomo,Evelyn Crisostomo,11,1,2, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,117,Alexandria Hawkins,Waltz,1
WA,0,1,Final,Ethan Crisostomo,Evelyn Crisostomo,12,1,1, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,117,Anya Klimova - Preston,Waltz,1
WA,0,2,Final,Gabriel Ishak,Cherie Chiu,10,2,2, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,130,Elizabeth C Knoll,Waltz,2
WA,0,1,Final,Gabriel Ishak,Cherie Chiu,11,2,1, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,130,Alexandria Hawkins,Waltz,2
WA,0,3,Final,Gabriel Ishak,Cherie Chiu,12,2,3, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,130,Anya Klimova - Preston,Waltz,2
,0,4,Final,Conner Whitlock,Cora Longhurst,10,3,4, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,162,Elizabeth C Knoll,Waltz,3
,0,3,Final,Conner Whitlock,Cora Longhurst,11,3,3, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,162,Alexandria Hawkins,Waltz,3
,0,2,Final,Conner Whitlock,Cora Longhurst,12,3,2, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,162,Anya Klimova - Preston,Waltz,3
WA,0,3,Final,Arthur Avanesyan,Christina Tatevosyan,10,4,3, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,100,Elizabeth C Knoll,Waltz,4
WA,0,5,Final,Arthur Avanesyan,Christina Tatevosyan,11,4,5, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,100,Alexandria Hawkins,Waltz,4
WA,0,4,Final,Arthur Avanesyan,Christina Tatevosyan,12,4,4, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,100,Anya Klimova - Preston,Waltz,4
OR,0,5,Final,Antoni Cortez,Janelle Hayes,10,5,5, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,115,Elizabeth C Knoll,Waltz,5
OR,0,4,Final,Antoni Cortez,Janelle Hayes,11,5,4, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,115,Alexandria Hawkins,Waltz,5
OR,0,5,Final,Antoni Cortez,Janelle Hayes,12,5,5, Junior Newcomer Standard  (W),Sample,0,qfb11c,402C2010,115,Anya Klimova - Preston,Waltz,5
WA,0,1,Final,Riley Hayes,Elise Kuechle,10,1,1, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,125,Elizabeth C Knoll,Waltz,1
WA,0,5,Final,Riley Hayes,Elise Kuechle,11,1,5, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,125,Alexandria Hawkins,Waltz,1
WA,0,1,Final,Riley Hayes,Elise Kuechle,12,1,1, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,125,Anya Klimova - Preston,Waltz,1
WA,0,3,Final,Nathan Cook,Laura Cook,10,2,3, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,111,Elizabeth C Knoll,Waltz,2
WA,0,1,Final,Nathan Cook,Laura Cook,11,2,1, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,111,Alexandria Hawkins,Waltz,2
WA,0,2,Final,Nathan Cook,Laura Cook,12,2,2, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,111,Anya Klimova - Preston,Waltz,2
WA,0,4,Final,Jared McKell,Jamie Carr,10,3,4, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,144,Elizabeth C Knoll,Waltz,3
WA,0,3,Final,Jared McKell,Jamie Carr,11,3,3, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,144,Alexandria Hawkins,Waltz,3
WA,0,3,Final,Jared McKell,Jamie Carr,12,3,3, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,144,Anya Klimova - Preston,Waltz,3
WA,0,5,Final,Isaac Malmstrom,Sarah Bernecker,10,4.5,5, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,141,Elizabeth C Knoll,Waltz,4
WA,0,2,Final,Isaac Malmstrom,Sarah Bernecker,11,4.5,2, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,141,Alexandria Hawkins,Waltz,4
WA,0,4,Final,Isaac Malmstrom,Sarah Bernecker,12,4.5,4, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,141,Anya Klimova - Preston,Waltz,4
WA,0,2,Final,Austin Berendes,Alexandra Hancheroff,10,4.5,2, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,103,Elizabeth C Knoll,Waltz,5
WA,0,4,Final,Austin Berendes,Alexandra Hancheroff,11,4.5,4, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,103,Alexandria Hawkins,Waltz,5
WA,0,5,Final,Austin Berendes,Alexandra Hancheroff,12,4.5,5, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,103,Anya Klimova - Preston,Waltz,5
WA,0,6,Final,Nicolas Higa,Emilee France,10,6,6, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,126,Elizabeth C Knoll,Waltz,6
WA,0,6,Final,Nicolas Higa,Emilee France,11,6,6, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,126,Alexandria Hawkins,Waltz,6
WA,0,6,Final,Nicolas Higa,Emilee France,12,6,6, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,126,Anya Klimova - Preston,Waltz,6
WA,0,7,Final,Jonah Jepson,Coutney Burt,10,7,7, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,133,Elizabeth C Knoll,Waltz,7
WA,0,7,Final,Jonah Jepson,Coutney Burt,11,7,7, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,133,Alexandria Hawkins,Waltz,7
WA,0,7,Final,Jonah Jepson,Coutney Burt,12,7,7, Youth Bronze Standard  (WQ),Sample,0,qfb11c,402F2810,133,Anya Klimova - Preston,Waltz,7
WA,0,1,Final,Riley Hayes,Elise Kuechle,10,1,1, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,125,Elizabeth C Knoll,Quickstep,1
WA,0,2,Final,Riley Hayes,Elise Kuechle,11,1,2, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,125,Alexandria Hawkins,Quickstep,1
WA,0,1,Final,Riley Hayes,Elise Kuechle,12,1,1, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,125,Anya Klimova - Preston,Quickstep,1
WA,0,3,Final,Nathan Cook,Laura Cook,10,3,3, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,111,Elizabeth C Knoll,Quickstep,2
WA,0,1,Final,Nathan Cook,Laura Cook,11,3,1, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,111,Alexandria Hawkins,Quickstep,2
WA,0,3,Final,Nathan Cook,Laura Cook,12,3,3, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,111,Anya Klimova - Preston,Quickstep,2
WA,0,2,Final,Jared McKell,Jamie Carr,10,2,2, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,144,Elizabeth C Knoll,Quickstep,3
WA,0,6,Final,Jared McKell,Jamie Carr,11,2,6, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,144,Alexandria Hawkins,Quickstep,3
WA,0,2,Final,Jared McKell,Jamie Carr,12,2,2, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,144,Anya Klimova - Preston,Quickstep,3
WA,0,4,Final,Isaac Malmstrom,Sarah Bernecker,10,4,4, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,141,Elizabeth C Knoll,Quickstep,4
WA,0,3,Final,Isaac Malmstrom,Sarah Bernecker,11,4,3, Youth Bronze Standard  (WQ),Sample,1,qfb11c,402F2810,141,Alexandria Hawkins,Quickstep,4
