couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,3,Final,Derek Hian,Kaylee Hian,10,1,3, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,122,Alexandria Hawkins,Waltz,1
WA,0,1,Final,Derek Hian,Kaylee Hian,11,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,122,Cora Lyn Uczekaj,Waltz,1
WA,0,2,Final,Derek Hian,Kaylee Hian,12,1,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,122,Shannon Knauss,Waltz,1
WA,0,5,Final,Arthur Avanesyan,Christina Tatevosyan,10,2,5, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,102,Alexandria Hawkins,Waltz,2
WA,0,2,Final,Arthur Avanesyan,Christina Tatevosyan,11,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,102,Cora Lyn Uczekaj,Waltz,2
WA,0,1,Final,Arthur Avanesyan,Christina Tatevosyan,12,2,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,102,Shannon Knauss,Waltz,2
WA,0,2,Final,Nikita Baryshnikov,Sophia Gershaft,10,3,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,104,Alexandria Hawkins,Waltz,3
WA,0,3,Final,Nikita Baryshnikov,Sophia Gershaft,11,3,3, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,104,Cora Lyn Uczekaj,Waltz,3
WA,0,4,Final,Nikita Baryshnikov,Sophia Gershaft,12,3,4, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,104,Shannon Knauss,Waltz,3
WA,0,1,Final,Aidan Smith,Cora Longhurst,10,4,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12a,40272010,157,Alexandria Hawkins,Waltz,4
