couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,2,Final,Arthur Avanesyan,Christina Tatevosyan,10,1,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,102,Anya Klimova - Preston,Waltz,1
WA,0,1,Final,Arthur Avanesyan,Christina Tatevosyan,11,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,102,Monique Hrouda,Waltz,1
WA,0,2,Final,Arthur Avanesyan,Christina Tatevosyan,12,1,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,102,Alexandria Hawkins,Waltz,1
WA,0,3,Final,Arthur Avanesyan,Christina Tatevosyan,13,1,3, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,102,Neil Gilligan,Waltz,1
WA,0,2,Final,Arthur Avanesyan,Christina Tatevosyan,14,1,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,102,Glen Brennan,Waltz,1
WA,0,3,Final,Arseniy Marshak,Lora Tseytlin,10,2,3, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,150,Anya Klimova - Preston,Waltz,2
WA,0,2,Final,Arseniy Marshak,Lora Tseytlin,11,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,150,Monique Hrouda,Waltz,2
WA,0,4,Final,Arseniy Marshak,Lora Tseytlin,12,2,4, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,150,Alexandria Hawkins,Waltz,2
WA,0,4,Final,Arseniy Marshak,Lora Tseytlin,13,2,4, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,150,Neil Gilligan,Waltz,2
WA,0,3,Final,Arseniy Marshak,Lora Tseytlin,14,2,3, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,150,Glen Brennan,Waltz,2
WA,0,1,Final,Aidan Smith,Cora Longhurst,10,3,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,168,Anya Klimova - Preston,Waltz,3
WA,0,4,Final,Aidan Smith,Cora Longhurst,11,3,4, Pre-Teen Newcomer Standard  (W),Sample,0,qfb12b,40272010,168,Monique Hrouda,Waltz,3
