couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Arseniy Marshak,Anastasia Smirnova,10,1,1, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,115,Jeanette Ball,Waltz,1
WA,0,1,Final,Arseniy Marshak,Anastasia Smirnova,11,1,1, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,115,Monique Hrouda,Waltz,1
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,12,1,2, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,115,Elena Zakharova,Waltz,1
WA,0,2,Final,Kyle McLinden,Aaliyah Magee,10,2,2, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,116,Jeanette Ball,Waltz,2
WA,0,2,Final,Kyle McLinden,Aaliyah Magee,11,2,2, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,116,Monique Hrouda,Waltz,2
WA,0,1,Final,Kyle McLinden,Aaliyah Magee,12,2,1, Junior Newcomer Standard  (W),Sample,0,qfb13B,402C2010,116,Elena Zakharova,Waltz,2
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,10,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,117,Jeanette Ball,Waltz,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,11,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,117,Monique Hrouda,Waltz,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,12,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,117,Elena Zakharova,Waltz,1
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,10,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,115,Jeanette Ball,Waltz,2
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,11,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,115,Monique Hrouda,Waltz,2
WA,0,3,Final,Arseniy Marshak,Anastasia Smirnova,12,2,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,115,Elena Zakharova,Waltz,2
WA,0,3,Final,Kyle McLinden,Aaliyah Magee,10,3,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,116,Jeanette Ball,Waltz,3
WA,0,3,Final,Kyle McLinden,Aaliyah Magee,11,3,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,116,Monique Hrouda,Waltz,3
WA,0,2,Final,Kyle McLinden,Aaliyah Magee,12,3,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13B,40272810,116,Elena Zakharova,Waltz,3
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,10,1,1, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,117,Jeanette Ball,Quickstep,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,11,1,1, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,117,Monique Hrouda,Quickstep,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,12,1,1, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,117,Elena Zakharova,Quickstep,1
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,10,2,2, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,115,Jeanette Ball,Quickstep,2
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,11,2,2, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,115,Monique Hrouda,Quickstep,2
WA,0,3,Final,Arseniy Marshak,Anastasia Smirnova,12,2,3, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,115,Elena Zakharova,Quickstep,2
WA,0,3,Final,Kyle McLinden,Aaliyah Magee,10,3,3, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,116,Jeanette Ball,Quickstep,3
WA,0,3,Final,Kyle McLinden,Aaliyah Magee,11,3,3, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,116,Monique Hrouda,Quickstep,3
WA,0,2,Final,Kyle McLinden,Aaliyah Magee,12,3,2, Pre-Teen Bronze Standard  (WQ),Sample,1,qfb13B,40272810,116,Elena Zakharova,Quickstep,3
WA,0,1,Final,Arseniy Marshak,Anastasia Smirnova,10,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,115,Jeanette Ball,Waltz,1
WA,0,1,Final,Arseniy Marshak,Anastasia Smirnova,11,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,115,Monique Hrouda,Waltz,1
WA,0,2,Final,Arseniy Marshak,Anastasia Smirnova,12,1,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,115,Elena Zakharova,Waltz,1
WA,0,2,Final,Kyle McLinden,Kalina Botchev,10,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,116,Jeanette Ball,Waltz,2
WA,0,2,Final,Kyle McLinden,Kalina Botchev,11,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,116,Monique Hrouda,Waltz,2
WA,0,1,Final,Kyle McLinden,Kalina Botchev,12,2,1, Pre-Teen Newcomer Standard  (W),Sample,0,qfb13B,40272010,116,Elena Zakharova,Waltz,2
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,10,1,1, Junior Championship Standard  (WTVFQ),Sample,0,qfb13B,402C8710,101,Jeanette Ball,Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,11,1,1, Junior Championship Standard  (WTVFQ),Sample,0,qfb13B,402C8710,101,Monique Hrouda,Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,12,1,1, Junior Championship Standard  (WTVFQ),Sample,0,qfb13B,402C8710,101,Elena Zakharova,Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,10,1,1, Junior Championship Standard  (WTVFQ),Sample,1,qfb13B,402C8710,101,Jeanette Ball,Tango,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,11,1,1, Junior Championship Standard  (WTVFQ),Sample,1,qfb13B,402C8710,101,Monique Hrouda,Tango,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,12,1,1, Junior Championship Standard  (WTVFQ),Sample,1,qfb13B,402C8710,101,Elena Zakharova,Tango,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,10,1,1, Junior Championship Standard  (WTVFQ),Sample,2,qfb13B,402C8710,101,Jeanette Ball,Viennese Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,11,1,1, Junior Championship Standard  (WTVFQ),Sample,2,qfb13B,402C8710,101,Monique Hrouda,Viennese Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,12,1,1, Junior Championship Standard  (WTVFQ),Sample,2,qfb13B,402C8710,101,Elena Zakharova,Viennese Waltz,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,10,1,1, Junior Championship Standard  (WTVFQ),Sample,3,qfb13B,402C8710,101,Jeanette Ball,Foxtrot,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,11,1,1, Junior Championship Standard  (WTVFQ),Sample,3,qfb13B,402C8710,101,Monique Hrouda,Foxtrot,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,12,1,1, Junior Championship Standard  (WTVFQ),Sample,3,qfb13B,402C8710,101,Elena Zakharova,Foxtrot,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,10,1,1, Junior Championship Standard  (WTVFQ),Sample,4,qfb13B,402C8710,101,Jeanette Ball,Quickstep,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,11,1,1, Junior Championship Standard  (WTVFQ),Sample,4,qfb13B,402C8710,101,Monique Hrouda,Quickstep,1
WA,0,1,Final,Daniel Bernecker,Polina Dickenson,12,1,1, Junior Championship Standard  (WTVFQ),Sample,4,qfb13B,402C8710,101,Elena Zakharova,Quickstep,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,10,1,1, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,107,Jeanette Ball,Waltz,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,11,1,1, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,107,Monique Hrouda,Waltz,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,12,1,1, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,107,Elena Zakharova,Waltz,1
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,2,2, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,117,Jeanette Ball,Waltz,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,11,2,2, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,117,Monique Hrouda,Waltz,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,12,2,2, Junior Silver Standard  (WFQ),Sample,0,qfb13B,402C3010,117,Elena Zakharova,Waltz,2
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,10,1,1, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,107,Jeanette Ball,Foxtrot,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,11,1,1, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,107,Monique Hrouda,Foxtrot,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,12,1,1, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,107,Elena Zakharova,Foxtrot,1
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,2,2, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,117,Jeanette Ball,Foxtrot,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,11,2,2, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,117,Monique Hrouda,Foxtrot,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,12,2,2, Junior Silver Standard  (WFQ),Sample,1,qfb13B,402C3010,117,Elena Zakharova,Foxtrot,2
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,10,1,1, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,107,Jeanette Ball,Quickstep,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,11,1,1, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,107,Monique Hrouda,Quickstep,1
WA,0,1,Final,Zachary Ellis,Maria Bakhmetyeva,12,1,1, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,107,Elena Zakharova,Quickstep,1
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,2,2, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,117,Jeanette Ball,Quickstep,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,11,2,2, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,117,Monique Hrouda,Quickstep,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,12,2,2, Junior Silver Standard  (WFQ),Sample,2,qfb13B,402C3010,117,Elena Zakharova,Quickstep,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,1,2, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,117,Jeanette Ball,Waltz,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,11,1,1, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,117,Monique Hrouda,Waltz,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,12,1,1, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,117,Elena Zakharova,Waltz,1
WA,0,1,Final,Andrew Lebedinsky,Victoria Korohod,10,2,1, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,113,Jeanette Ball,Waltz,2
WA,0,2,Final,Andrew Lebedinsky,Victoria Korohod,11,2,2, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,113,Monique Hrouda,Waltz,2
WA,0,2,Final,Andrew Lebedinsky,Victoria Korohod,12,2,2, Pre-Teen Silver Standard  (WFQ),Sample,0,qfb13B,40273010,113,Elena Zakharova,Waltz,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,2,2, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,117,Jeanette Ball,Foxtrot,1
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,11,2,2, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,117,Monique Hrouda,Foxtrot,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,12,2,1, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,117,Elena Zakharova,Foxtrot,1
WA,0,1,Final,Andrew Lebedinsky,Victoria Korohod,10,1,1, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,113,Jeanette Ball,Foxtrot,2
WA,0,1,Final,Andrew Lebedinsky,Victoria Korohod,11,1,1, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,113,Monique Hrouda,Foxtrot,2
WA,0,2,Final,Andrew Lebedinsky,Victoria Korohod,12,1,2, Pre-Teen Silver Standard  (WFQ),Sample,1,qfb13B,40273010,113,Elena Zakharova,Foxtrot,2
WA,0,2,Final,Jordan Naini,Christina Tatevosyan,10,1,2, Pre-Teen Silver Standard  (WFQ),Sample,2,qfb13B,40273010,117,Jeanette Ball,Quickstep,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,11,1,1, Pre-Teen Silver Standard  (WFQ),Sample,2,qfb13B,40273010,117,Monique Hrouda,Quickstep,1
WA,0,1,Final,Jordan Naini,Christina Tatevosyan,12,1,1, Pre-Teen Silver Standard  (WFQ),Sample,2,qfb13B,40273010,117,Elena Zakharova,Quickstep,1
WA,0,1,Final,Andrew Lebedinsky,Victoria Korohod,10,2,1, Pre-Teen Silver Standard  (WFQ),Sample,2,qfb13B,40273010,113,Jeanette Ball,Quickstep,2
