couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Nikita Baryshnikov,Vera Mazeeva,10,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,101,Anya Klimova - Preston,Waltz,1
WA,0,1,Final,Nikita Baryshnikov,Vera Mazeeva,11,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,101,Jeanette Ball,Waltz,1
WA,0,1,Final,Nikita Baryshnikov,Vera Mazeeva,12,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,101,Shannon Knauss,Waltz,1
WA,0,1,Final,Nikita Baryshnikov,Vera Mazeeva,13,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,101,Elena Zakharova,Waltz,1
WA,0,1,Final,Nikita Baryshnikov,Vera Mazeeva,14,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,101,Cora Lyn Uczekaj,Waltz,1
WA,0,3,Final,Nicholas Clarke,Sophie Gershaft,10,2,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,106,Anya Klimova - Preston,Waltz,2
WA,0,3,Final,Nicholas Clarke,Sophie Gershaft,11,2,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,106,Jeanette Ball,Waltz,2
WA,0,2,Final,Nicholas Clarke,Sophie Gershaft,12,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,106,Shannon Knauss,Waltz,2
WA,0,4,Final,Nicholas Clarke,Sophie Gershaft,13,2,4, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,106,Elena Zakharova,Waltz,2
WA,0,2,Final,Nicholas Clarke,Sophie Gershaft,14,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,106,Cora Lyn Uczekaj,Waltz,2
WA,0,4,Final,Kyle McLinden,Kalina Botchev,10,3,4, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,124,Anya Klimova - Preston,Waltz,3
WA,0,2,Final,Kyle McLinden,Kalina Botchev,11,3,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,124,Jeanette Ball,Waltz,3
WA,0,3,Final,Kyle McLinden,Kalina Botchev,12,3,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,124,Shannon Knauss,Waltz,3
WA,0,3,Final,Kyle McLinden,Kalina Botchev,13,3,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,124,Elena Zakharova,Waltz,3
WA,0,3,Final,Kyle McLinden,Kalina Botchev,14,3,3, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,124,Cora Lyn Uczekaj,Waltz,3
WA,0,2,Final,David Gershnik,Lora Tseytlin,10,4,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,110,Anya Klimova - Preston,Waltz,4
WA,0,4,Final,David Gershnik,Lora Tseytlin,11,4,4, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,110,Jeanette Ball,Waltz,4
WA,0,4,Final,David Gershnik,Lora Tseytlin,12,4,4, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,110,Shannon Knauss,Waltz,4
WA,0,2,Final,David Gershnik,Lora Tseytlin,13,4,2, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,110,Elena Zakharova,Waltz,4
WA,0,4,Final,David Gershnik,Lora Tseytlin,14,4,4, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,110,Cora Lyn Uczekaj,Waltz,4
WA,0,5,Final,Dino Rutten,Makaelyn Canell,10,5,5, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,130,Anya Klimova - Preston,Waltz,5
WA,0,5,Final,Dino Rutten,Makaelyn Canell,11,5,5, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,130,Jeanette Ball,Waltz,5
WA,0,5,Final,Dino Rutten,Makaelyn Canell,12,5,5, Pre-Teen Bronze Standard  (WQ),Sample,0,qfb13C,40272810,130,Shannon Knauss,Waltz,5
