couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Amy Percy,Sharon Washington,11,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Jennifer Booth,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,16,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Wendy Johnson,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,17,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Giacomo Steccaglia,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,11,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Jennifer Booth,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,16,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Wendy Johnson,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,17,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Giacomo Steccaglia,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,11,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Jennifer Booth,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,16,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Wendy Johnson,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,17,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Giacomo Steccaglia,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,11,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Jennifer Booth,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,16,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Wendy Johnson,Standard B Level,1
CA,0,1,Final,Amy Percy,Sharon Washington,17,1,1, SS-Ladies Graded Adult Open Standard B Level  (WTFQ),Sample,0,qke11,E142851E,221,Giacomo Steccaglia,Standard B Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,11,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Jennifer Booth,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,16,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Wendy Johnson,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,17,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Giacomo Steccaglia,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,11,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Jennifer Booth,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,16,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Wendy Johnson,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,17,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Giacomo Steccaglia,Standard C Level,1
CA,0,2,Final,Nancy Taylor,Katherine Day,11,2,2, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,2,qke11,E142851F,137,Jennifer Booth,Standard C Level,1
CA,0,2,Final,Nancy Taylor,Katherine Day,16,2,2, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,2,qke11,E142851F,137,Wendy Johnson,Standard C Level,1
CA,0,2,Final,Nancy Taylor,Katherine Day,17,2,2, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,2,qke11,E142851F,137,Giacomo Steccaglia,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,11,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Jennifer Booth,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,16,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Wendy Johnson,Standard C Level,1
CA,0,1,Final,Nancy Taylor,Katherine Day,17,1,1, SS-Ladies Graded Adult Open Standard C Level  (WT_Q),Sample,0,qke11,E142851F,137,Giacomo Steccaglia,Standard C Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,11,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Jennifer Booth,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,16,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Wendy Johnson,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,17,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Giacomo Steccaglia,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,11,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Jennifer Booth,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,16,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Wendy Johnson,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,17,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Giacomo Steccaglia,Standard A Level,1
CA,0,1,Final,Ron Jenkins,Photis Pishiaris,11,1,1, SS-Gents Graded Adult Open Standard A Level  (WTVFQ),Sample,0,qke11,E042851D,127,Jennifer Booth,Standard A Level,1
