couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Eric Hayden,Laura Madison,10,1,1, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,105,Anya Klimova-Preston,Waltz,1
,0,1,Final,Eric Hayden,Laura Madison,11,1,1, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,105,Peter Mant,Waltz,1
,0,1,Final,Eric Hayden,Laura Madison,13,1,1, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,105,Dave Watson,Waltz,1
OR,0,3,Final,Alexander Selchow,Anna Selchow,10,2,3, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,112,Anya Klimova-Preston,Waltz,2
OR,0,2,Final,Alexander Selchow,Anna Selchow,11,2,2, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,112,Peter Mant,Waltz,2
OR,0,2,Final,Alexander Selchow,Anna Selchow,13,2,2, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,112,Dave Watson,Waltz,2
Oregon,0,2,Final,Kyle Sosa,Emilia Wolf,10,3,2, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,115,Anya Klimova-Preston,Waltz,3
Oregon,0,3,Final,Kyle Sosa,Emilia Wolf,11,3,3, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,115,Peter Mant,Waltz,3
Oregon,0,3,Final,Kyle Sosa,Emilia Wolf,13,3,3, Amateur Pre-Teen Newcomer Standard  (W),Sample,0,rcb08,40272010,115,Dave Watson,Waltz,3
Oregon,0,1,Final,Chad Crader,Tonya Pevzner,10,1,1, Amateur Junior Newcomer Standard  (W),Sample,0,rcb08,402C2010,118,Anya Klimova-Preston,Waltz,1
Oregon,0,1,Final,Chad Crader,Tonya Pevzner,11,1,1, Amateur Junior Newcomer Standard  (W),Sample,0,rcb08,402C2010,118,Peter Mant,Waltz,1
Oregon,0,1,Final,Chad Crader,Tonya Pevzner,13,1,1, Amateur Junior Newcomer Standard  (W),Sample,0,rcb08,402C2010,118,Dave Watson,Waltz,1
