couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
OR,0,1,Final,Zack Lally,Sarah Kirchoff,11,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,111,Cora Lyn Uczekaj,Waltz,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,13,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,111,Peter Mant,Waltz,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,14,1,1, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,111,Michael Petr,Waltz,1
OR,0,2,Final,Asher Milman,Michelle Milman,11,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,138,Cora Lyn Uczekaj,Waltz,2
OR,0,2,Final,Asher Milman,Michelle Milman,13,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,138,Peter Mant,Waltz,2
OR,0,2,Final,Asher Milman,Michelle Milman,14,2,2, Pre-Teen Newcomer Standard  (W),Sample,0,rcb13b,40272010,138,Michael Petr,Waltz,2
OR,0,1,Final,Zack Lally,Sarah Kirchoff,11,1,1, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,111,Cora Lyn Uczekaj,Intl. Quickstep,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,13,1,1, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,111,Peter Mant,Intl. Quickstep,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,14,1,1, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,111,Michael Petr,Intl. Quickstep,1
OR,0,2,Final,Asher Milman,Michelle Milman,11,2,2, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,138,Cora Lyn Uczekaj,Intl. Quickstep,2
OR,0,2,Final,Asher Milman,Michelle Milman,13,2,2, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,138,Peter Mant,Intl. Quickstep,2
OR,0,2,Final,Asher Milman,Michelle Milman,14,2,2, Pre-Teen Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,4027201C,138,Michael Petr,Intl. Quickstep,2
OR,0,1,Final,Asher Milman,Michelle Milman,11,1,1, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,138,Cora Lyn Uczekaj,Waltz,1
OR,0,2,Final,Asher Milman,Michelle Milman,13,1,2, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,138,Peter Mant,Waltz,1
OR,0,1,Final,Asher Milman,Michelle Milman,14,1,1, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,138,Michael Petr,Waltz,1
OR,0,2,Final,Zack Lally,Sarah Kirchoff,11,2,2, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,111,Cora Lyn Uczekaj,Waltz,2
OR,0,1,Final,Zack Lally,Sarah Kirchoff,13,2,1, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,111,Peter Mant,Waltz,2
OR,0,2,Final,Zack Lally,Sarah Kirchoff,14,2,2, Junior Newcomer Standard  (W),Sample,0,rcb13b,402C2010,111,Michael Petr,Waltz,2
OR,0,1,Final,Zack Lally,Sarah Kirchoff,11,1,1, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,111,Cora Lyn Uczekaj,Intl. Quickstep,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,13,1,1, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,111,Peter Mant,Intl. Quickstep,1
OR,0,1,Final,Zack Lally,Sarah Kirchoff,14,1,1, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,111,Michael Petr,Intl. Quickstep,1
OR,0,2,Final,Asher Milman,Michelle Milman,11,2,2, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,138,Cora Lyn Uczekaj,Intl. Quickstep,2
OR,0,2,Final,Asher Milman,Michelle Milman,13,2,2, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,138,Peter Mant,Intl. Quickstep,2
OR,0,2,Final,Asher Milman,Michelle Milman,14,2,2, Junior Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402C201C,138,Michael Petr,Intl. Quickstep,2
Oregon,0,1,Final,Michael Millis,Matlin Anderson,11,1,1, Youth Newcomer Standard  (W),Sample,0,rcb13b,402F2010,123,Cora Lyn Uczekaj,Waltz,1
Oregon,0,1,Final,Michael Millis,Matlin Anderson,13,1,1, Youth Newcomer Standard  (W),Sample,0,rcb13b,402F2010,123,Peter Mant,Waltz,1
Oregon,0,1,Final,Michael Millis,Matlin Anderson,14,1,1, Youth Newcomer Standard  (W),Sample,0,rcb13b,402F2010,123,Michael Petr,Waltz,1
Oregon,0,1,Final,Michael Millis,Matlin Anderson,11,1,1, Youth Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402F201C,123,Cora Lyn Uczekaj,Intl. Quickstep,1
Oregon,0,1,Final,Michael Millis,Matlin Anderson,13,1,1, Youth Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402F201C,123,Peter Mant,Intl. Quickstep,1
Oregon,0,1,Final,Michael Millis,Matlin Anderson,14,1,1, Youth Newcomer Intl. Quickstep  (Q),Sample,0,rcb13b,402F201C,123,Michael Petr,Intl. Quickstep,1
Oregon,0,1,Final,Antoni Cortez,Ashley Eddy,11,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,rcb13b,40272810,125,Cora Lyn Uczekaj,Waltz,1
Oregon,0,1,Final,Antoni Cortez,Ashley Eddy,13,1,1, Pre-Teen Bronze Standard  (WQ),Sample,0,rcb13b,40272810,125,Peter Mant,Waltz,1
Oregon,0,2,Final,Antoni Cortez,Ashley Eddy,14,1,2, Pre-Teen Bronze Standard  (WQ),Sample,0,rcb13b,40272810,125,Michael Petr,Waltz,1
Oregon,0,2,Final,Ryan Hopf,Elina Tursunbaeva,11,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,rcb13b,40272810,121,Cora Lyn Uczekaj,Waltz,2
Oregon,0,2,Final,Ryan Hopf,Elina Tursunbaeva,13,2,2, Pre-Teen Bronze Standard  (WQ),Sample,0,rcb13b,40272810,121,Peter Mant,Waltz,2
