couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
AB,0,1,Final,Devon Panko,Megan Tyschuk,10,1,1, Pro/Am Ladies Junior Newcomer Am. Waltz  (W),Sample,0,rmd11,882C2038,18,Lawrence Ardern,Am. Waltz,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,14,1,1, Pro/Am Ladies Junior Newcomer Am. Waltz  (W),Sample,0,rmd11,882C2038,18,Vadim Mostovoy,Am. Waltz,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,20,1,1, Pro/Am Ladies Junior Newcomer Am. Waltz  (W),Sample,0,rmd11,882C2038,18,Mireille Veilleux,Am. Waltz,1
AB,0,1,Final,Alan Augustynek,Jocelyne Berube,10,1,1, Student/Student Adult A2 Newcomer Am. Waltz  (W),Sample,0,rmd11,B0C22038,108,Lawrence Ardern,Am. Waltz,1
AB,0,1,Final,Alan Augustynek,Jocelyne Berube,14,1,1, Student/Student Adult A2 Newcomer Am. Waltz  (W),Sample,0,rmd11,B0C22038,108,Vadim Mostovoy,Am. Waltz,1
AB,0,1,Final,Alan Augustynek,Jocelyne Berube,20,1,1, Student/Student Adult A2 Newcomer Am. Waltz  (W),Sample,0,rmd11,B0C22038,108,Mireille Veilleux,Am. Waltz,1
AB,0,1,Final,Bill  Bale,Robyn Bell,10,1,1, Pro/Am Gents Adult B2 Newcomer Am. Waltz  (W),Sample,0,rmd11,90C52038,161,Lawrence Ardern,Am. Waltz,1
AB,0,1,Final,Bill  Bale,Robyn Bell,14,1,1, Pro/Am Gents Adult B2 Newcomer Am. Waltz  (W),Sample,0,rmd11,90C52038,161,Vadim Mostovoy,Am. Waltz,1
AB,0,1,Final,Bill  Bale,Robyn Bell,20,1,1, Pro/Am Gents Adult B2 Newcomer Am. Waltz  (W),Sample,0,rmd11,90C52038,161,Mireille Veilleux,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,10,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,25,Lawrence Ardern,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,14,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,25,Vadim Mostovoy,Am. Waltz,1
AB,0,1,Final,Bryan Senn,Jane Tulk,20,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,25,Mireille Veilleux,Am. Waltz,1
AB,0,2,Final,John Dea,Barbara Waters,10,2,2, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,20,Lawrence Ardern,Am. Waltz,2
AB,0,2,Final,John Dea,Barbara Waters,14,2,2, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,20,Vadim Mostovoy,Am. Waltz,2
AB,0,2,Final,John Dea,Barbara Waters,20,2,2, Pro/Am Ladies Adult B2 Int. Bronze Am. Waltz  (W),Sample,0,rmd11,88C52A38,20,Mireille Veilleux,Am. Waltz,2
Alberta,0,1,Final,Dale Tosczak,Melissa Goldsmith,10,1,1, Pro/Am Ladies Country A Full Bronze Am. Waltz  (W),Sample,0,rmd11,88242B38,27,Lawrence Ardern,Am. Waltz,1
Alberta,0,1,Final,Dale Tosczak,Melissa Goldsmith,14,1,1, Pro/Am Ladies Country A Full Bronze Am. Waltz  (W),Sample,0,rmd11,88242B38,27,Vadim Mostovoy,Am. Waltz,1
Alberta,0,1,Final,Dale Tosczak,Melissa Goldsmith,20,1,1, Pro/Am Ladies Country A Full Bronze Am. Waltz  (W),Sample,0,rmd11,88242B38,27,Mireille Veilleux,Am. Waltz,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,10,1,1, Pro/Am Ladies Junior Newcomer Am. Tango  (T),Sample,0,rmd11,882C2039,18,Lawrence Ardern,Am. Tango,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,14,1,1, Pro/Am Ladies Junior Newcomer Am. Tango  (T),Sample,0,rmd11,882C2039,18,Vadim Mostovoy,Am. Tango,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,20,1,1, Pro/Am Ladies Junior Newcomer Am. Tango  (T),Sample,0,rmd11,882C2039,18,Mireille Veilleux,Am. Tango,1
AB,0,1,Final,Bryan Senn,Jane Tulk,10,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,rmd11,88C52A39,25,Lawrence Ardern,Am. Tango,1
AB,0,1,Final,Bryan Senn,Jane Tulk,14,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,rmd11,88C52A39,25,Vadim Mostovoy,Am. Tango,1
AB,0,1,Final,Bryan Senn,Jane Tulk,20,1,1, Pro/Am Ladies Adult B2 Int. Bronze Am. Tango  (T),Sample,0,rmd11,88C52A39,25,Mireille Veilleux,Am. Tango,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,10,1,1, Pro/Am Ladies Junior Newcomer Am. Foxtrot  (F),Sample,0,rmd11,882C203A,18,Lawrence Ardern,Am. Foxtrot,1
AB,0,1,Final,Devon Panko,Megan Tyschuk,14,1,1, Pro/Am Ladies Junior Newcomer Am. Foxtrot  (F),Sample,0,rmd11,882C203A,18,Vadim Mostovoy,Am. Foxtrot,1
