couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CO,0,1,Final,Glen Gale,Dylana Gale,10,1,1, Pre-Teen II Bronze Intl. Waltz  (W),Sample,0,rmt10,40252818,107,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,12,1,1, Pre-Teen II Bronze Intl. Waltz  (W),Sample,0,rmt10,40252818,107,Gary Bohlmeyer,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,13,1,1, Pre-Teen II Bronze Intl. Waltz  (W),Sample,0,rmt10,40252818,107,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,14,1,1, Pre-Teen II Bronze Intl. Waltz  (W),Sample,0,rmt10,40252818,107,Lindsey Dechant,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,17,1,1, Pre-Teen II Bronze Intl. Waltz  (W),Sample,0,rmt10,40252818,107,Christian Thierens,Intl. Waltz,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,10,1,1, Adult Bronze Intl. Waltz  (W),Sample,0,rmt10,40422818,104,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,12,1,1, Adult Bronze Intl. Waltz  (W),Sample,0,rmt10,40422818,104,Gary Bohlmeyer,Intl. Waltz,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,13,1,1, Adult Bronze Intl. Waltz  (W),Sample,0,rmt10,40422818,104,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,14,1,1, Adult Bronze Intl. Waltz  (W),Sample,0,rmt10,40422818,104,Lindsey Dechant,Intl. Waltz,1
CO,0,2,Final,Gerry Domingo,Lee Domingo,17,1,2, Adult Bronze Intl. Waltz  (W),Sample,0,rmt10,40422818,104,Christian Thierens,Intl. Waltz,1
CO,0,1,Final,Britt Nokes,Margaret Nokes,10,1,1, Senior II Bronze Intl. Waltz  (W),Sample,0,rmt10,40442818,114,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,Britt Nokes,Margaret Nokes,12,1,1, Senior II Bronze Intl. Waltz  (W),Sample,0,rmt10,40442818,114,Gary Bohlmeyer,Intl. Waltz,1
CO,0,1,Final,Britt Nokes,Margaret Nokes,13,1,1, Senior II Bronze Intl. Waltz  (W),Sample,0,rmt10,40442818,114,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,Britt Nokes,Margaret Nokes,14,1,1, Senior II Bronze Intl. Waltz  (W),Sample,0,rmt10,40442818,114,Lindsey Dechant,Intl. Waltz,1
CO,0,2,Final,Britt Nokes,Margaret Nokes,17,1,2, Senior II Bronze Intl. Waltz  (W),Sample,0,rmt10,40442818,114,Christian Thierens,Intl. Waltz,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,10,1,1, Adult Bronze Intl. Tango  (T),Sample,0,rmt10,40422819,104,Brad Ackerman,Intl. Tango,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,12,1,1, Adult Bronze Intl. Tango  (T),Sample,0,rmt10,40422819,104,Gary Bohlmeyer,Intl. Tango,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,13,1,1, Adult Bronze Intl. Tango  (T),Sample,0,rmt10,40422819,104,Jennifer Corey,Intl. Tango,1
CO,0,1,Final,Gerry Domingo,Lee Domingo,14,1,1, Adult Bronze Intl. Tango  (T),Sample,0,rmt10,40422819,104,Lindsey Dechant,Intl. Tango,1
CO,0,2,Final,Gerry Domingo,Lee Domingo,17,1,2, Adult Bronze Intl. Tango  (T),Sample,0,rmt10,40422819,104,Christian Thierens,Intl. Tango,1
CO,0,1,Final,Britt Nokes,Margaret Nokes,10,1,1, Senior II Bronze Intl. Tango  (T),Sample,0,rmt10,40442819,114,Brad Ackerman,Intl. Tango,1
