couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CO,0,1,Final,John McClure,Sara Hadley,10,1,1, Amateur Adult Bronze Intl. Waltz  (W),Sample,0,rmt10a,40422818,113,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,12,1,1, Amateur Adult Bronze Intl. Waltz  (W),Sample,0,rmt10a,40422818,113,Gary Bohlmeyer,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,13,1,1, Amateur Adult Bronze Intl. Waltz  (W),Sample,0,rmt10a,40422818,113,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,16,1,1, Amateur Adult Bronze Intl. Waltz  (W),Sample,0,rmt10a,40422818,113,Mitch Kibel,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,18,1,1, Amateur Adult Bronze Intl. Waltz  (W),Sample,0,rmt10a,40422818,113,Robert Nardozza,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,10,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt10a,40432818,113,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,12,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt10a,40432818,113,Gary Bohlmeyer,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,13,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt10a,40432818,113,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,16,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt10a,40432818,113,Mitch Kibel,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,18,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt10a,40432818,113,Robert Nardozza,Intl. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,10,1,1, Amateur Adult Bronze Intl. Tango  (T),Sample,0,rmt10a,40422819,113,Brad Ackerman,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,12,1,1, Amateur Adult Bronze Intl. Tango  (T),Sample,0,rmt10a,40422819,113,Gary Bohlmeyer,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,13,1,1, Amateur Adult Bronze Intl. Tango  (T),Sample,0,rmt10a,40422819,113,Jennifer Corey,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,16,1,1, Amateur Adult Bronze Intl. Tango  (T),Sample,0,rmt10a,40422819,113,Mitch Kibel,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,18,1,1, Amateur Adult Bronze Intl. Tango  (T),Sample,0,rmt10a,40422819,113,Robert Nardozza,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,10,1,1, Amateur Senior I Bronze Intl. Tango  (T),Sample,0,rmt10a,40432819,113,Brad Ackerman,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,12,1,1, Amateur Senior I Bronze Intl. Tango  (T),Sample,0,rmt10a,40432819,113,Gary Bohlmeyer,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,13,1,1, Amateur Senior I Bronze Intl. Tango  (T),Sample,0,rmt10a,40432819,113,Jennifer Corey,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,16,1,1, Amateur Senior I Bronze Intl. Tango  (T),Sample,0,rmt10a,40432819,113,Mitch Kibel,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,18,1,1, Amateur Senior I Bronze Intl. Tango  (T),Sample,0,rmt10a,40432819,113,Robert Nardozza,Intl. Tango,1
CO,0,1,Final,John McClure,Sara Hadley,10,1,1, Amateur Adult Bronze Intl. V. Waltz  (V),Sample,0,rmt10a,4042281A,113,Brad Ackerman,Intl. V. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,12,1,1, Amateur Adult Bronze Intl. V. Waltz  (V),Sample,0,rmt10a,4042281A,113,Gary Bohlmeyer,Intl. V. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,13,1,1, Amateur Adult Bronze Intl. V. Waltz  (V),Sample,0,rmt10a,4042281A,113,Jennifer Corey,Intl. V. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,16,1,1, Amateur Adult Bronze Intl. V. Waltz  (V),Sample,0,rmt10a,4042281A,113,Mitch Kibel,Intl. V. Waltz,1
CO,0,1,Final,John McClure,Sara Hadley,18,1,1, Amateur Adult Bronze Intl. V. Waltz  (V),Sample,0,rmt10a,4042281A,113,Robert Nardozza,Intl. V. Waltz,1
