couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Tom Held & Regina Composanto,Tango,11,1,1, Formation Team  Open Intl. Tango  (T),Sample,0,rmt11B,43018519,0,Brad Ackerman,Intl. Tango,1
,0,1,Final,Tom Held & Regina Composanto,Tango,13,1,1, Formation Team  Open Intl. Tango  (T),Sample,0,rmt11B,43018519,0,Jennifer Corey,Intl. Tango,1
,0,1,Final,Tom Held & Regina Composanto,Tango,16,1,1, Formation Team  Open Intl. Tango  (T),Sample,0,rmt11B,43018519,0,Harmony Munroe,Intl. Tango,1
,0,1,Final,Tom Held & Regina Composanto,Tango,17,1,1, Formation Team  Open Intl. Tango  (T),Sample,0,rmt11B,43018519,0,Todd Munson,Intl. Tango,1
,0,1,Final,Tom Held & Regina Composanto,Tango,19,1,1, Formation Team  Open Intl. Tango  (T),Sample,0,rmt11B,43018519,0,Christian Thierens,Intl. Tango,1
CO,0,1,Final,Scott Hopkins,Jessica Shada,11,1,1, Amateur Adult Newcomer Intl. Quickstep  (Q),Sample,0,rmt11B,4042201C,107,Brad Ackerman,Intl. Quickstep,1
CO,0,1,Final,Scott Hopkins,Jessica Shada,13,1,1, Amateur Adult Newcomer Intl. Quickstep  (Q),Sample,0,rmt11B,4042201C,107,Jennifer Corey,Intl. Quickstep,1
CO,0,1,Final,Scott Hopkins,Jessica Shada,16,1,1, Amateur Adult Newcomer Intl. Quickstep  (Q),Sample,0,rmt11B,4042201C,107,Harmony Munroe,Intl. Quickstep,1
CO,0,1,Final,Scott Hopkins,Jessica Shada,17,1,1, Amateur Adult Newcomer Intl. Quickstep  (Q),Sample,0,rmt11B,4042201C,107,Todd Munson,Intl. Quickstep,1
CO,0,1,Final,Scott Hopkins,Jessica Shada,19,1,1, Amateur Adult Newcomer Intl. Quickstep  (Q),Sample,0,rmt11B,4042201C,107,Christian Thierens,Intl. Quickstep,1
CO,0,1,Final,Don Read,Diane L. Campbell,11,1,1, Amateur Senior II Bronze Intl. Quickstep  (Q),Sample,0,rmt11B,4044281C,111,Brad Ackerman,Intl. Quickstep,1
CO,0,1,Final,Don Read,Diane L. Campbell,13,1,1, Amateur Senior II Bronze Intl. Quickstep  (Q),Sample,0,rmt11B,4044281C,111,Jennifer Corey,Intl. Quickstep,1
CO,0,1,Final,Don Read,Diane L. Campbell,16,1,1, Amateur Senior II Bronze Intl. Quickstep  (Q),Sample,0,rmt11B,4044281C,111,Harmony Munroe,Intl. Quickstep,1
CO,0,1,Final,Don Read,Diane L. Campbell,17,1,1, Amateur Senior II Bronze Intl. Quickstep  (Q),Sample,0,rmt11B,4044281C,111,Todd Munson,Intl. Quickstep,1
CO,0,1,Final,Don Read,Diane L. Campbell,19,1,1, Amateur Senior II Bronze Intl. Quickstep  (Q),Sample,0,rmt11B,4044281C,111,Christian Thierens,Intl. Quickstep,1
CO,0,1,Final,Glen Gale,Dylana Gale,11,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,402A2818,104,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,13,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,402A2818,104,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,16,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,402A2818,104,Harmony Munroe,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,17,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,402A2818,104,Todd Munson,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,19,1,1, Amateur Junior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,402A2818,104,Christian Thierens,Intl. Waltz,1
CO,0,1,Final,Peter Bain,Patricia Kayser,11,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,40432818,101,Brad Ackerman,Intl. Waltz,1
CO,0,1,Final,Peter Bain,Patricia Kayser,13,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,40432818,101,Jennifer Corey,Intl. Waltz,1
CO,0,1,Final,Peter Bain,Patricia Kayser,16,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,40432818,101,Harmony Munroe,Intl. Waltz,1
CO,0,1,Final,Peter Bain,Patricia Kayser,17,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,40432818,101,Todd Munson,Intl. Waltz,1
CO,0,1,Final,Peter Bain,Patricia Kayser,19,1,1, Amateur Senior I Bronze Intl. Waltz  (W),Sample,0,rmt11B,40432818,101,Christian Thierens,Intl. Waltz,1
CO,0,1,Final,Glen Gale,Dylana Gale,11,1,1, Amateur Junior I Bronze Intl. Tango  (T),Sample,0,rmt11B,402A2819,104,Brad Ackerman,Intl. Tango,1
CO,0,1,Final,Glen Gale,Dylana Gale,13,1,1, Amateur Junior I Bronze Intl. Tango  (T),Sample,0,rmt11B,402A2819,104,Jennifer Corey,Intl. Tango,1
CO,0,1,Final,Glen Gale,Dylana Gale,16,1,1, Amateur Junior I Bronze Intl. Tango  (T),Sample,0,rmt11B,402A2819,104,Harmony Munroe,Intl. Tango,1
CO,0,1,Final,Glen Gale,Dylana Gale,17,1,1, Amateur Junior I Bronze Intl. Tango  (T),Sample,0,rmt11B,402A2819,104,Todd Munson,Intl. Tango,1
CO,0,1,Final,Glen Gale,Dylana Gale,19,1,1, Amateur Junior I Bronze Intl. Tango  (T),Sample,0,rmt11B,402A2819,104,Christian Thierens,Intl. Tango,1
