couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
NY,0,1,Final,John Grigoryev,Ekaterina Zubreeva,13,1,1,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,230,Iriada Volodina,Intl. Waltz,1
NY,0,2,Final,John Grigoryev,Ekaterina Zubreeva,14,1,2,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,230,Ricardo Sopin,Intl. Waltz,1
NY,0,1,Final,John Grigoryev,Ekaterina Zubreeva,15,1,1,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,230,Pamela Kazimir,Intl. Waltz,1
NY,0,1,Final,John Grigoryev,Ekaterina Zubreeva,16,1,1,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,230,Paige Hammond,Intl. Waltz,1
NY,0,1,Final,John Grigoryev,Ekaterina Zubreeva,17,1,1,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,230,Kevin McHugh,Intl. Waltz,1
NY,0,2,Final,Jean-Paul Reddinger,Kuwabo Mubyana,13,2,2,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,232,Iriada Volodina,Intl. Waltz,2
NY,0,3,Final,Jean-Paul Reddinger,Kuwabo Mubyana,14,2,3,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,232,Ricardo Sopin,Intl. Waltz,2
NY,0,3,Final,Jean-Paul Reddinger,Kuwabo Mubyana,15,2,3,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,232,Pamela Kazimir,Intl. Waltz,2
NY,0,2,Final,Jean-Paul Reddinger,Kuwabo Mubyana,16,2,2,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,232,Paige Hammond,Intl. Waltz,2
NY,0,2,Final,Jean-Paul Reddinger,Kuwabo Mubyana,17,2,2,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,232,Kevin McHugh,Intl. Waltz,2
NY,0,3,Final,Dustin Andersen,Susan Bivone,13,3,3,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,208,Iriada Volodina,Intl. Waltz,3
NY,0,1,Final,Dustin Andersen,Susan Bivone,14,3,1,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,208,Ricardo Sopin,Intl. Waltz,3
NY,0,2,Final,Dustin Andersen,Susan Bivone,15,3,2,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,208,Pamela Kazimir,Intl. Waltz,3
NY,0,3,Final,Dustin Andersen,Susan Bivone,16,3,3,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,208,Paige Hammond,Intl. Waltz,3
NY,0,3,Final,Dustin Andersen,Susan Bivone,17,3,3,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,208,Kevin McHugh,Intl. Waltz,3
MA,0,4,Final,Will Peterson,Ally Rancourt,13,4,4,  Bronze Intl. Waltz  (W),Sample,0,rpi14,40012818,175,Iriada Volodina,Intl. Waltz,4
