couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,4,Final,Lou Saelee,Jessica Chan,10,1,4, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,367,Tomas Atkocevicius,Am. Waltz,1
CA,0,1,Final,Lou Saelee,Jessica Chan,11,1,1, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,367,Sue Swain,Am. Waltz,1
CA,0,1,Final,Lou Saelee,Jessica Chan,12,1,1, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,367,Borbala Bunnett,Am. Waltz,1
CA,0,5,Final,Lou Saelee,Jessica Chan,13,1,5, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,367,ikaika dowsett,Am. Waltz,1
CA,0,1,Final,Lou Saelee,Jessica Chan,14,1,1, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,367,Tadas Jonyla,Am. Waltz,1
CA,0,1,Final,Julie Steele,Georg Ristock,10,2,1, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,300,Tomas Atkocevicius,Am. Waltz,2
CA,0,6,Final,Julie Steele,Georg Ristock,11,2,6, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,300,Sue Swain,Am. Waltz,2
CA,0,2,Final,Julie Steele,Georg Ristock,12,2,2, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,300,Borbala Bunnett,Am. Waltz,2
CA,0,1,Final,Julie Steele,Georg Ristock,13,2,1, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,300,ikaika dowsett,Am. Waltz,2
CA,0,4,Final,Julie Steele,Georg Ristock,14,2,4, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,300,Tadas Jonyla,Am. Waltz,2
CA,0,2,Final,Eli Marable,Maura OLeary,10,3,2, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,315,Tomas Atkocevicius,Am. Waltz,3
CA,0,2,Final,Eli Marable,Maura OLeary,11,3,2, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,315,Sue Swain,Am. Waltz,3
CA,0,5,Final,Eli Marable,Maura OLeary,12,3,5, Amateur Adult Bronze Am. Waltz  (W),Sample,0,scc13,40422838,315,Borbala Bunnett,Am. Waltz,3
