couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
FL,0,2,Final,Richard W. Lucey,Alice J. Lucey,13,2,2, Senior III Bronze Rhythm  (CR),Sample,0,ser09,40452840,201,Wayne Crowder,Cha Cha,1
FL,0,2,Final,Richard W. Lucey,Alice J. Lucey,14,2,2, Senior III Bronze Rhythm  (CR),Sample,0,ser09,40452840,201,Beverly Donahue,Cha Cha,1
FL,0,2,Final,Richard W. Lucey,Alice J. Lucey,15,2,2, Senior III Bronze Rhythm  (CR),Sample,0,ser09,40452840,201,Rosendo Fumero,Cha Cha,1
FL,0,2,Final,Richard W. Lucey,Alice J. Lucey,17,2,2, Senior III Bronze Rhythm  (CR),Sample,0,ser09,40452840,201,Igor Pilipenchuk,Cha Cha,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,19,2,1, Senior III Bronze Rhythm  (CR),Sample,0,ser09,40452840,201,Nick Short,Cha Cha,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,13,1,1, Senior III Bronze Rhythm  (CR),Sample,1,ser09,40452840,201,Wayne Crowder,Rumba,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,14,1,1, Senior III Bronze Rhythm  (CR),Sample,1,ser09,40452840,201,Beverly Donahue,Rumba,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,15,1,1, Senior III Bronze Rhythm  (CR),Sample,1,ser09,40452840,201,Rosendo Fumero,Rumba,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,17,1,1, Senior III Bronze Rhythm  (CR),Sample,1,ser09,40452840,201,Igor Pilipenchuk,Rumba,1
FL,0,1,Final,Richard W. Lucey,Alice J. Lucey,19,1,1, Senior III Bronze Rhythm  (CR),Sample,1,ser09,40452840,201,Nick Short,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,13,1,1, Senior I Gold Rhythm  (CRSB),Sample,0,ser09,40433840,119,Wayne Crowder,Cha Cha,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,14,1,1, Senior I Gold Rhythm  (CRSB),Sample,0,ser09,40433840,119,Beverly Donahue,Cha Cha,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,15,1,1, Senior I Gold Rhythm  (CRSB),Sample,0,ser09,40433840,119,Rosendo Fumero,Cha Cha,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,17,1,1, Senior I Gold Rhythm  (CRSB),Sample,0,ser09,40433840,119,Igor Pilipenchuk,Cha Cha,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,19,1,1, Senior I Gold Rhythm  (CRSB),Sample,0,ser09,40433840,119,Nick Short,Cha Cha,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,13,1,1, Senior I Gold Rhythm  (CRSB),Sample,1,ser09,40433840,119,Wayne Crowder,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,14,1,1, Senior I Gold Rhythm  (CRSB),Sample,1,ser09,40433840,119,Beverly Donahue,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,15,1,1, Senior I Gold Rhythm  (CRSB),Sample,1,ser09,40433840,119,Rosendo Fumero,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,17,1,1, Senior I Gold Rhythm  (CRSB),Sample,1,ser09,40433840,119,Igor Pilipenchuk,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,19,1,1, Senior I Gold Rhythm  (CRSB),Sample,1,ser09,40433840,119,Nick Short,Rumba,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,13,1,1, Senior I Gold Rhythm  (CRSB),Sample,2,ser09,40433840,119,Wayne Crowder,Swing,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,14,1,1, Senior I Gold Rhythm  (CRSB),Sample,2,ser09,40433840,119,Beverly Donahue,Swing,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,15,1,1, Senior I Gold Rhythm  (CRSB),Sample,2,ser09,40433840,119,Rosendo Fumero,Swing,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,17,1,1, Senior I Gold Rhythm  (CRSB),Sample,2,ser09,40433840,119,Igor Pilipenchuk,Swing,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,19,1,1, Senior I Gold Rhythm  (CRSB),Sample,2,ser09,40433840,119,Nick Short,Swing,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,13,1,1, Senior I Gold Rhythm  (CRSB),Sample,3,ser09,40433840,119,Wayne Crowder,Bolero,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,14,1,1, Senior I Gold Rhythm  (CRSB),Sample,3,ser09,40433840,119,Beverly Donahue,Bolero,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,15,1,1, Senior I Gold Rhythm  (CRSB),Sample,3,ser09,40433840,119,Rosendo Fumero,Bolero,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,17,1,1, Senior I Gold Rhythm  (CRSB),Sample,3,ser09,40433840,119,Igor Pilipenchuk,Bolero,1
GA,0,1,Final,Rick Pellin,Cindy Pellin,19,1,1, Senior I Gold Rhythm  (CRSB),Sample,3,ser09,40433840,119,Nick Short,Bolero,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,13,1,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,309,Wayne Crowder,Cha Cha,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,14,1,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,309,Beverly Donahue,Cha Cha,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,15,1,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,309,Rosendo Fumero,Cha Cha,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,17,1,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,309,Igor Pilipenchuk,Cha Cha,1
MD,0,4,Final,Stephen T. Nadeau,Amanda Stearns,19,1,4, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,309,Nick Short,Cha Cha,1
MD,0,4,Final,Alex Gebhart,Samantha Needle,13,2,4, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Wayne Crowder,Cha Cha,2
MD,0,3,Final,Alex Gebhart,Samantha Needle,14,2,3, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Beverly Donahue,Cha Cha,2
MD,0,2,Final,Alex Gebhart,Samantha Needle,15,2,2, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Rosendo Fumero,Cha Cha,2
MD,0,3,Final,Alex Gebhart,Samantha Needle,17,2,3, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Igor Pilipenchuk,Cha Cha,2
MD,0,2,Final,Alex Gebhart,Samantha Needle,19,2,2, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Nick Short,Cha Cha,2
NC,0,3,Final,Patrick Ma,Jordan Smiley,13,3,3, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,312,Wayne Crowder,Cha Cha,3
NC,0,5,Final,Patrick Ma,Jordan Smiley,14,3,5, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,312,Beverly Donahue,Cha Cha,3
NC,0,4,Final,Patrick Ma,Jordan Smiley,15,3,4, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,312,Rosendo Fumero,Cha Cha,3
NC,0,2,Final,Patrick Ma,Jordan Smiley,17,3,2, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,312,Igor Pilipenchuk,Cha Cha,3
NC,0,1,Final,Patrick Ma,Jordan Smiley,19,3,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,312,Nick Short,Cha Cha,3
NC,0,2,Final,Brandon Tankard,Molly Mcgowan,13,4,2, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,257,Wayne Crowder,Cha Cha,4
NC,0,2,Final,Brandon Tankard,Molly Mcgowan,14,4,2, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,257,Beverly Donahue,Cha Cha,4
NC,0,6,Final,Brandon Tankard,Molly Mcgowan,15,4,6, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,257,Rosendo Fumero,Cha Cha,4
NC,0,6,Final,Brandon Tankard,Molly Mcgowan,17,4,6, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,257,Igor Pilipenchuk,Cha Cha,4
NC,0,3,Final,Brandon Tankard,Molly Mcgowan,19,4,3, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,257,Nick Short,Cha Cha,4
NC,0,5,Final,Blake Clemmons,Megan Cunningham,13,5,5, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Wayne Crowder,Cha Cha,5
NC,0,4,Final,Blake Clemmons,Megan Cunningham,14,5,4, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Beverly Donahue,Cha Cha,5
NC,0,5,Final,Blake Clemmons,Megan Cunningham,15,5,5, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Rosendo Fumero,Cha Cha,5
NC,0,5,Final,Blake Clemmons,Megan Cunningham,17,5,5, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Igor Pilipenchuk,Cha Cha,5
NC,0,5,Final,Blake Clemmons,Megan Cunningham,19,5,5, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Nick Short,Cha Cha,5
NC,0,6,Final,Jeff Pfeifer,Katie Brophy,13,6,6, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,294,Wayne Crowder,Cha Cha,6
NC,0,6,Final,Jeff Pfeifer,Katie Brophy,14,6,6, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,294,Beverly Donahue,Cha Cha,6
NC,0,3,Final,Jeff Pfeifer,Katie Brophy,15,6,3, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,294,Rosendo Fumero,Cha Cha,6
NC,0,4,Final,Jeff Pfeifer,Katie Brophy,17,6,4, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,294,Igor Pilipenchuk,Cha Cha,6
NC,0,6,Final,Jeff Pfeifer,Katie Brophy,19,6,6, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,294,Nick Short,Cha Cha,6
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,13,1,1, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,309,Wayne Crowder,Rumba,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,14,1,1, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,309,Beverly Donahue,Rumba,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,15,1,1, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,309,Rosendo Fumero,Rumba,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,17,1,1, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,309,Igor Pilipenchuk,Rumba,1
MD,0,1,Final,Stephen T. Nadeau,Amanda Stearns,19,1,1, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,309,Nick Short,Rumba,1
MD,0,3,Final,Alex Gebhart,Samantha Needle,13,2,3, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,222,Wayne Crowder,Rumba,2
MD,0,5,Final,Alex Gebhart,Samantha Needle,14,2,5, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,222,Beverly Donahue,Rumba,2
MD,0,2,Final,Alex Gebhart,Samantha Needle,15,2,2, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,222,Rosendo Fumero,Rumba,2
MD,0,2,Final,Alex Gebhart,Samantha Needle,17,2,2, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,222,Igor Pilipenchuk,Rumba,2
MD,0,3,Final,Alex Gebhart,Samantha Needle,19,2,3, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,222,Nick Short,Rumba,2
NC,0,4,Final,Patrick Ma,Jordan Smiley,13,3,4, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,312,Wayne Crowder,Rumba,3
NC,0,4,Final,Patrick Ma,Jordan Smiley,14,3,4, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,312,Beverly Donahue,Rumba,3
NC,0,3,Final,Patrick Ma,Jordan Smiley,15,3,3, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,312,Rosendo Fumero,Rumba,3
NC,0,4,Final,Patrick Ma,Jordan Smiley,17,3,4, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,312,Igor Pilipenchuk,Rumba,3
NC,0,2,Final,Patrick Ma,Jordan Smiley,19,3,2, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,312,Nick Short,Rumba,3
NC,0,2,Final,Brandon Tankard,Molly Mcgowan,13,4,2, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,257,Wayne Crowder,Rumba,4
NC,0,2,Final,Brandon Tankard,Molly Mcgowan,14,4,2, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,257,Beverly Donahue,Rumba,4
NC,0,6,Final,Brandon Tankard,Molly Mcgowan,15,4,6, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,257,Rosendo Fumero,Rumba,4
NC,0,6,Final,Brandon Tankard,Molly Mcgowan,17,4,6, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,257,Igor Pilipenchuk,Rumba,4
NC,0,4,Final,Brandon Tankard,Molly Mcgowan,19,4,4, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,257,Nick Short,Rumba,4
NC,0,6,Final,Blake Clemmons,Megan Cunningham,13,5,6, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,172,Wayne Crowder,Rumba,5
NC,0,3,Final,Blake Clemmons,Megan Cunningham,14,5,3, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,172,Beverly Donahue,Rumba,5
NC,0,5,Final,Blake Clemmons,Megan Cunningham,15,5,5, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,172,Rosendo Fumero,Rumba,5
NC,0,3,Final,Blake Clemmons,Megan Cunningham,17,5,3, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,172,Igor Pilipenchuk,Rumba,5
NC,0,5,Final,Blake Clemmons,Megan Cunningham,19,5,5, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,172,Nick Short,Rumba,5
NC,0,5,Final,Jeff Pfeifer,Katie Brophy,13,6,5, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,294,Wayne Crowder,Rumba,6
NC,0,6,Final,Jeff Pfeifer,Katie Brophy,14,6,6, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,294,Beverly Donahue,Rumba,6
NC,0,4,Final,Jeff Pfeifer,Katie Brophy,15,6,4, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,294,Rosendo Fumero,Rumba,6
NC,0,5,Final,Jeff Pfeifer,Katie Brophy,17,6,5, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,294,Igor Pilipenchuk,Rumba,6
NC,0,6,Final,Jeff Pfeifer,Katie Brophy,19,6,6, Adult Bronze Rhythm  (CR),Sample,1,ser09,40422840,294,Nick Short,Rumba,6
NC,1,,Semi-Final,Blake Clemmons,Megan Cunningham,13,,0, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Wayne Crowder,Cha Cha,5
NC,1,X,Semi-Final,Blake Clemmons,Megan Cunningham,14,,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Beverly Donahue,Cha Cha,5
NC,1,,Semi-Final,Blake Clemmons,Megan Cunningham,15,,0, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Rosendo Fumero,Cha Cha,5
NC,1,X,Semi-Final,Blake Clemmons,Megan Cunningham,17,,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Igor Pilipenchuk,Cha Cha,5
NC,1,X,Semi-Final,Blake Clemmons,Megan Cunningham,19,,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,172,Nick Short,Cha Cha,5
MD,1,X,Semi-Final,Alex Gebhart,Samantha Needle,13,,1, Adult Bronze Rhythm  (CR),Sample,0,ser09,40422840,222,Wayne Crowder,Cha Cha,2
