couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
,0,1,Final,Matthew See,Gina Jorgensen,12,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Shirely Ballas,Waltz,1
,0,2,Final,Matthew See,Gina Jorgensen,14,1,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Glennis Dee,Waltz,1
,0,2,Final,Matthew See,Gina Jorgensen,16,1,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Paul Holmes,Waltz,1
,0,3,Final,Matthew See,Gina Jorgensen,17,1,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Wendy Johnson,Waltz,1
,0,1,Final,Matthew See,Gina Jorgensen,19,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Brian McDonald,Waltz,1
,0,1,Final,Matthew See,Gina Jorgensen,23,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Nancy Senner,Waltz,1
,0,2,Final,Matthew See,Gina Jorgensen,26,1,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,457,Keith Todd,Waltz,1
CA,0,2,Final,Chris Sarkisian,Jessica Parra,12,2,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Shirely Ballas,Waltz,2
CA,0,1,Final,Chris Sarkisian,Jessica Parra,14,2,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Glennis Dee,Waltz,2
CA,0,1,Final,Chris Sarkisian,Jessica Parra,16,2,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Paul Holmes,Waltz,2
CA,0,1,Final,Chris Sarkisian,Jessica Parra,17,2,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Wendy Johnson,Waltz,2
CA,0,3,Final,Chris Sarkisian,Jessica Parra,19,2,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Brian McDonald,Waltz,2
CA,0,3,Final,Chris Sarkisian,Jessica Parra,23,2,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Nancy Senner,Waltz,2
CA,0,3,Final,Chris Sarkisian,Jessica Parra,26,2,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,327,Keith Todd,Waltz,2
CA,0,3,Final,James Kleinrath,Melody Singleton,12,3,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Shirely Ballas,Waltz,3
CA,0,3,Final,James Kleinrath,Melody Singleton,14,3,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Glennis Dee,Waltz,3
CA,0,3,Final,James Kleinrath,Melody Singleton,16,3,3, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Paul Holmes,Waltz,3
CA,0,2,Final,James Kleinrath,Melody Singleton,17,3,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Wendy Johnson,Waltz,3
CA,0,2,Final,James Kleinrath,Melody Singleton,19,3,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Brian McDonald,Waltz,3
CA,0,2,Final,James Kleinrath,Melody Singleton,23,3,2, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Nancy Senner,Waltz,3
CA,0,1,Final,James Kleinrath,Melody Singleton,26,3,1, Amateur Adult Championship Smooth  (WTFV),Sample,0,sfo08,40428730,294,Keith Todd,Waltz,3
,0,1,Final,Matthew See,Gina Jorgensen,12,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Shirely Ballas,Tango,1
,0,1,Final,Matthew See,Gina Jorgensen,14,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Glennis Dee,Tango,1
,0,2,Final,Matthew See,Gina Jorgensen,16,1,2, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Paul Holmes,Tango,1
,0,3,Final,Matthew See,Gina Jorgensen,17,1,3, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Wendy Johnson,Tango,1
,0,1,Final,Matthew See,Gina Jorgensen,19,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Brian McDonald,Tango,1
,0,1,Final,Matthew See,Gina Jorgensen,23,1,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Nancy Senner,Tango,1
,0,2,Final,Matthew See,Gina Jorgensen,26,1,2, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,457,Keith Todd,Tango,1
CA,0,2,Final,Chris Sarkisian,Jessica Parra,12,2,2, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,327,Shirely Ballas,Tango,2
CA,0,2,Final,Chris Sarkisian,Jessica Parra,14,2,2, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,327,Glennis Dee,Tango,2
CA,0,1,Final,Chris Sarkisian,Jessica Parra,16,2,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,327,Paul Holmes,Tango,2
CA,0,1,Final,Chris Sarkisian,Jessica Parra,17,2,1, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,327,Wendy Johnson,Tango,2
CA,0,3,Final,Chris Sarkisian,Jessica Parra,19,2,3, Amateur Adult Championship Smooth  (WTFV),Sample,1,sfo08,40428730,327,Brian McDonald,Tango,2
