couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
KY,0,1,Final,Alex Perry,Tabitha Haist,10,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,0,sma08,402F2040,218,Nicole Carroll,Cha Cha,1
KY,0,1,Final,Alex Perry,Tabitha Haist,12,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,0,sma08,402F2040,218,Wayne Crowder,Cha Cha,1
KY,0,1,Final,Alex Perry,Tabitha Haist,13,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,0,sma08,402F2040,218,Alain Doucet,Cha Cha,1
KY,0,1,Final,Alex Perry,Tabitha Haist,14,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,0,sma08,402F2040,218,Anik Jolicouer,Cha Cha,1
KY,0,1,Final,Alex Perry,Tabitha Haist,19,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,0,sma08,402F2040,218,John King,Cha Cha,1
KY,0,1,Final,Alex Perry,Tabitha Haist,10,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,1,sma08,402F2040,218,Nicole Carroll,Swing,1
KY,0,1,Final,Alex Perry,Tabitha Haist,12,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,1,sma08,402F2040,218,Wayne Crowder,Swing,1
KY,0,1,Final,Alex Perry,Tabitha Haist,13,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,1,sma08,402F2040,218,Alain Doucet,Swing,1
KY,0,1,Final,Alex Perry,Tabitha Haist,14,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,1,sma08,402F2040,218,Anik Jolicouer,Swing,1
KY,0,1,Final,Alex Perry,Tabitha Haist,19,1,1, Amateur Youth Newcomer Rhythm  (CS),Sample,1,sma08,402F2040,218,John King,Swing,1
TN,0,1,Final,James McClintock,Melonie Turner,10,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,137,Nicole Carroll,Cha Cha,1
TN,0,1,Final,James McClintock,Melonie Turner,12,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,137,Wayne Crowder,Cha Cha,1
TN,0,1,Final,James McClintock,Melonie Turner,13,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,137,Alain Doucet,Cha Cha,1
TN,0,1,Final,James McClintock,Melonie Turner,14,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,137,Anik Jolicouer,Cha Cha,1
TN,0,1,Final,James McClintock,Melonie Turner,19,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,137,John King,Cha Cha,1
TN,0,2,Final,Randy Watson,Kim Watson,10,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,214,Nicole Carroll,Cha Cha,2
TN,0,2,Final,Randy Watson,Kim Watson,12,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,214,Wayne Crowder,Cha Cha,2
TN,0,2,Final,Randy Watson,Kim Watson,13,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,214,Alain Doucet,Cha Cha,2
TN,0,2,Final,Randy Watson,Kim Watson,14,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,214,Anik Jolicouer,Cha Cha,2
TN,0,2,Final,Randy Watson,Kim Watson,19,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,0,sma08,40422040,214,John King,Cha Cha,2
TN,0,1,Final,James McClintock,Melonie Turner,10,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,137,Nicole Carroll,Swing,1
TN,0,1,Final,James McClintock,Melonie Turner,12,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,137,Wayne Crowder,Swing,1
TN,0,1,Final,James McClintock,Melonie Turner,13,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,137,Alain Doucet,Swing,1
TN,0,2,Final,James McClintock,Melonie Turner,14,1,2, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,137,Anik Jolicouer,Swing,1
TN,0,1,Final,James McClintock,Melonie Turner,19,1,1, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,137,John King,Swing,1
TN,0,2,Final,Randy Watson,Kim Watson,10,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,214,Nicole Carroll,Swing,2
TN,0,2,Final,Randy Watson,Kim Watson,12,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,214,Wayne Crowder,Swing,2
TN,0,2,Final,Randy Watson,Kim Watson,13,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,214,Alain Doucet,Swing,2
TN,0,1,Final,Randy Watson,Kim Watson,14,2,1, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,214,Anik Jolicouer,Swing,2
TN,0,2,Final,Randy Watson,Kim Watson,19,2,2, Amateur Adult Newcomer Rhythm  (CS),Sample,1,sma08,40422040,214,John King,Swing,2
TN,0,1,Final,Robert Potter,Cathy Potter,10,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,172,Nicole Carroll,Cha Cha,1
TN,0,1,Final,Robert Potter,Cathy Potter,12,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,172,Wayne Crowder,Cha Cha,1
TN,0,1,Final,Robert Potter,Cathy Potter,13,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,172,Alain Doucet,Cha Cha,1
TN,0,1,Final,Robert Potter,Cathy Potter,14,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,172,Anik Jolicouer,Cha Cha,1
TN,0,1,Final,Robert Potter,Cathy Potter,19,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,172,John King,Cha Cha,1
TN,0,2,Final,Tom Foster,Jackie Foster,10,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,135,Nicole Carroll,Cha Cha,2
TN,0,2,Final,Tom Foster,Jackie Foster,12,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,135,Wayne Crowder,Cha Cha,2
TN,0,2,Final,Tom Foster,Jackie Foster,13,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,135,Alain Doucet,Cha Cha,2
TN,0,2,Final,Tom Foster,Jackie Foster,14,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,135,Anik Jolicouer,Cha Cha,2
TN,0,2,Final,Tom Foster,Jackie Foster,19,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,0,sma08,40442040,135,John King,Cha Cha,2
TN,0,1,Final,Robert Potter,Cathy Potter,10,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,172,Nicole Carroll,Swing,1
TN,0,1,Final,Robert Potter,Cathy Potter,12,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,172,Wayne Crowder,Swing,1
TN,0,1,Final,Robert Potter,Cathy Potter,13,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,172,Alain Doucet,Swing,1
TN,0,1,Final,Robert Potter,Cathy Potter,14,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,172,Anik Jolicouer,Swing,1
TN,0,1,Final,Robert Potter,Cathy Potter,19,1,1, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,172,John King,Swing,1
TN,0,2,Final,Tom Foster,Jackie Foster,10,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,135,Nicole Carroll,Swing,2
TN,0,2,Final,Tom Foster,Jackie Foster,12,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,135,Wayne Crowder,Swing,2
TN,0,2,Final,Tom Foster,Jackie Foster,13,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,135,Alain Doucet,Swing,2
TN,0,2,Final,Tom Foster,Jackie Foster,14,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,135,Anik Jolicouer,Swing,2
TN,0,2,Final,Tom Foster,Jackie Foster,19,2,2, Amateur Senior II Newcomer Rhythm  (CS),Sample,1,sma08,40442040,135,John King,Swing,2
TN,0,2,Final,James McClintock,Melonie Turner,10,2,2, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,137,Nicole Carroll,Cha Cha,1
TN,0,2,Final,James McClintock,Melonie Turner,12,2,2, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,137,Wayne Crowder,Cha Cha,1
TN,0,2,Final,James McClintock,Melonie Turner,13,2,2, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,137,Alain Doucet,Cha Cha,1
TN,0,2,Final,James McClintock,Melonie Turner,14,2,2, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,137,Anik Jolicouer,Cha Cha,1
TN,0,1,Final,James McClintock,Melonie Turner,19,2,1, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,137,John King,Cha Cha,1
TN,0,1,Final,Robert Potter,Cathy Potter,10,1,1, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,172,Nicole Carroll,Cha Cha,2
TN,0,1,Final,Robert Potter,Cathy Potter,12,1,1, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,172,Wayne Crowder,Cha Cha,2
TN,0,1,Final,Robert Potter,Cathy Potter,13,1,1, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,172,Alain Doucet,Cha Cha,2
TN,0,1,Final,Robert Potter,Cathy Potter,14,1,1, Amateur Senior I Newcomer Rhythm  (CS),Sample,0,sma08,40432040,172,Anik Jolicouer,Cha Cha,2
