couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Canada,0,2,Final,Yong Fan,Cherry Chen,10,2,2, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,91,Miguel Abreu,Waltz,1
Canada,0,2,Final,Yong Fan,Cherry Chen,13,2,2, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,91,Niko Basaric,Waltz,1
Canada,0,1,Final,Yong Fan,Cherry Chen,14,2,1, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,91,Christian Bradbury,Waltz,1
Canada,0,4,Final,Yong Fan,Cherry Chen,16,2,4, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,91,Brigitt Mayer,Waltz,1
Canada,0,3,Final,Yong Fan,Cherry Chen,18,2,3, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,91,David Simon,Waltz,1
BC,0,1,Final,Vincent Chai,Karen Fedoruk,10,1,1, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,61,Miguel Abreu,Waltz,2
BC,0,5,Final,Vincent Chai,Karen Fedoruk,13,1,5, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,61,Niko Basaric,Waltz,2
BC,0,2,Final,Vincent Chai,Karen Fedoruk,14,1,2, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,61,Christian Bradbury,Waltz,2
BC,0,3,Final,Vincent Chai,Karen Fedoruk,16,1,3, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,61,Brigitt Mayer,Waltz,2
BC,0,1,Final,Vincent Chai,Karen Fedoruk,18,1,1, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,61,David Simon,Waltz,2
BC,0,4,Final,Kelly Whalley,Leanne Engen,10,5,4, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,217,Miguel Abreu,Waltz,3
BC,0,1,Final,Kelly Whalley,Leanne Engen,13,5,1, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,217,Niko Basaric,Waltz,3
BC,0,4,Final,Kelly Whalley,Leanne Engen,14,5,4, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,217,Christian Bradbury,Waltz,3
BC,0,5,Final,Kelly Whalley,Leanne Engen,16,5,5, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,217,Brigitt Mayer,Waltz,3
BC,0,6,Final,Kelly Whalley,Leanne Engen,18,5,6, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,217,David Simon,Waltz,3
BC,0,5,Final,Tino Wong,Anita Tsui,10,4,5, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,223,Miguel Abreu,Waltz,4
BC,0,4,Final,Tino Wong,Anita Tsui,13,4,4, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,223,Niko Basaric,Waltz,4
BC,0,3,Final,Tino Wong,Anita Tsui,14,4,3, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,223,Christian Bradbury,Waltz,4
BC,0,2,Final,Tino Wong,Anita Tsui,16,4,2, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,223,Brigitt Mayer,Waltz,4
BC,0,5,Final,Tino Wong,Anita Tsui,18,4,5, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,223,David Simon,Waltz,4
Canada,0,3,Final,David Spence,Denise Riley-Spence,10,3,3, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,189,Miguel Abreu,Waltz,5
Canada,0,3,Final,David Spence,Denise Riley-Spence,13,3,3, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,189,Niko Basaric,Waltz,5
Canada,0,5,Final,David Spence,Denise Riley-Spence,14,3,5, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,189,Christian Bradbury,Waltz,5
Canada,0,1,Final,David Spence,Denise Riley-Spence,16,3,1, Amateur Senior I Bronze Standard  (WT),Sample,0,sno10,40432810,189,Brigitt Mayer,Waltz,5
