couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Mn,0,1,Final,Peter Westlake,Sehyun Oh,12,1,1, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,182,Paul Botes,Intl. Cha Cha,1
Mn,0,1,Final,Peter Westlake,Sehyun Oh,13,1,1, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,182,Larson Jay,Intl. Cha Cha,1
Mn,0,3,Final,Peter Westlake,Sehyun Oh,15,1,3, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,182,Gary Stroick,Intl. Cha Cha,1
MN,0,2,Final,Jackson Davidson,Kimberly Munis,12,2,2, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,120,Paul Botes,Intl. Cha Cha,2
MN,0,2,Final,Jackson Davidson,Kimberly Munis,13,2,2, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,120,Larson Jay,Intl. Cha Cha,2
MN,0,5,Final,Jackson Davidson,Kimberly Munis,15,2,5, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,120,Gary Stroick,Intl. Cha Cha,2
MN,0,4,Final,chad Robinson,unknown unknown,12,3,4, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,213,Paul Botes,Intl. Cha Cha,3
MN,0,3,Final,chad Robinson,unknown unknown,13,3,3, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,213,Larson Jay,Intl. Cha Cha,3
MN,0,4,Final,chad Robinson,unknown unknown,15,3,4, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,213,Gary Stroick,Intl. Cha Cha,3
MN,0,3,Final,Erik Pratt,Melanie Weiss,12,4,3, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,158,Paul Botes,Intl. Cha Cha,4
MN,0,4,Final,Erik Pratt,Melanie Weiss,13,4,4, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,158,Larson Jay,Intl. Cha Cha,4
MN,0,6,Final,Erik Pratt,Melanie Weiss,15,4,6, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,158,Gary Stroick,Intl. Cha Cha,4
MN,0,6,Final,David Beyer,Michaela Bram,12,5,6, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,113,Paul Botes,Intl. Cha Cha,5
MN,0,5,Final,David Beyer,Michaela Bram,13,5,5, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,113,Larson Jay,Intl. Cha Cha,5
MN,0,1,Final,David Beyer,Michaela Bram,15,5,1, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,113,Gary Stroick,Intl. Cha Cha,5
Mn,0,5,Final,Chinh Truong,Lauren Sirota,12,6,5, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,173,Paul Botes,Intl. Cha Cha,6
Mn,0,6,Final,Chinh Truong,Lauren Sirota,13,6,6, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,173,Larson Jay,Intl. Cha Cha,6
Mn,0,7,Final,Chinh Truong,Lauren Sirota,15,6,7, Amateur (1)  Open Intl. Cha Cha  (C),Sample,0,son08,41018528,173,Gary Stroick,Intl. Cha Cha,6
