couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,10,1,1, Pro/Am Ladies Youth Pre-Bronze Am. Bolero  (B),Sample,0,ssb08,88A3294B,148,Jennifer Booth,Am. Bolero,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,13,1,1, Pro/Am Ladies Youth Pre-Bronze Am. Bolero  (B),Sample,0,ssb08,88A3294B,148,Tom Hicks,Am. Bolero,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,16,1,1, Pro/Am Ladies Youth Pre-Bronze Am. Bolero  (B),Sample,0,ssb08,88A3294B,148,Robin Stockdale,Am. Bolero,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,12,1,1, Pro/Am Ladies Youth Newcomer Salsa  (S),Sample,0,ssb08,88A32067,148,Michel Guimond,Salsa,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,13,1,1, Pro/Am Ladies Youth Newcomer Salsa  (S),Sample,0,ssb08,88A32067,148,Tom Hicks,Salsa,1
WA,0,2,Final,Andre Yeremin,Yuliya Shirokova,16,1,2, Pro/Am Ladies Youth Newcomer Salsa  (S),Sample,0,ssb08,88A32067,148,Robin Stockdale,Salsa,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,12,1,1, Pro/Am Ladies Youth Pre-Bronze Salsa  (S),Sample,0,ssb08,88A32967,148,Michel Guimond,Salsa,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,13,1,1, Pro/Am Ladies Youth Pre-Bronze Salsa  (S),Sample,0,ssb08,88A32967,148,Tom Hicks,Salsa,1
WA,0,1,Final,Andre Yeremin,Yuliya Shirokova,16,1,1, Pro/Am Ladies Youth Pre-Bronze Salsa  (S),Sample,0,ssb08,88A32967,148,Robin Stockdale,Salsa,1
WA,0,1,Final,Andre Yeremin,Soleil Wieland,10,1,1, Pro/Am Ladies Pre Teen Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A12028,148,Jennifer Booth,Intl. Cha Cha,1
WA,0,1,Final,Andre Yeremin,Soleil Wieland,15,1,1, Pro/Am Ladies Pre Teen Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A12028,148,Jenell Maranto,Intl. Cha Cha,1
WA,0,1,Final,Andre Yeremin,Soleil Wieland,16,1,1, Pro/Am Ladies Pre Teen Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A12028,148,Robin Stockdale,Intl. Cha Cha,1
WA,0,1,Final,Ross Pearce,Ashley Griffits,10,1,1, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,116,Jennifer Booth,Intl. Cha Cha,1
WA,0,1,Final,Ross Pearce,Ashley Griffits,15,1,1, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,116,Jenell Maranto,Intl. Cha Cha,1
WA,0,2,Final,Ross Pearce,Ashley Griffits,16,1,2, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,116,Robin Stockdale,Intl. Cha Cha,1
WA,0,2,Final,Nicolas Damon Schonbeck,Rosalyn Hanson,10,2,2, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,102,Jennifer Booth,Intl. Cha Cha,2
WA,0,3,Final,Nicolas Damon Schonbeck,Rosalyn Hanson,15,2,3, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,102,Jenell Maranto,Intl. Cha Cha,2
WA,0,1,Final,Nicolas Damon Schonbeck,Rosalyn Hanson,16,2,1, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,102,Robin Stockdale,Intl. Cha Cha,2
OR,0,3,Final,Chad Brooks,Mackenzie Grover,10,3,3, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,128,Jennifer Booth,Intl. Cha Cha,3
OR,0,2,Final,Chad Brooks,Mackenzie Grover,15,3,2, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,128,Jenell Maranto,Intl. Cha Cha,3
OR,0,3,Final,Chad Brooks,Mackenzie Grover,16,3,3, Pro/Am Ladies Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,88A22028,128,Robin Stockdale,Intl. Cha Cha,3
WA,0,2,Final,Aaron Hisel-Ritz,Natasha Thayer,10,2,2, Pro/Am Gents Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,90A22028,325,Jennifer Booth,Intl. Cha Cha,1
WA,0,1,Final,Aaron Hisel-Ritz,Natasha Thayer,15,2,1, Pro/Am Gents Junior Newcomer Intl. Cha Cha  (C),Sample,0,ssb08,90A22028,325,Jenell Maranto,Intl. Cha Cha,1
