couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
CA,0,1,Final,Henry Hudson,Olivia Hudson,11,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,0,swr08,40448340,105,Maja Serve,Cha Cha,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,13,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,0,swr08,40448340,105,Teresa Shiry,Cha Cha,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,14,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,0,swr08,40448340,105,Trevor Luff,Cha Cha,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,15,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,0,swr08,40448340,105,Maria Hansen,Cha Cha,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,17,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,0,swr08,40448340,105,Nicholas Cotton,Cha Cha,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,11,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,1,swr08,40448340,105,Maja Serve,Rumba,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,13,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,1,swr08,40448340,105,Teresa Shiry,Rumba,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,14,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,1,swr08,40448340,105,Trevor Luff,Rumba,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,15,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,1,swr08,40448340,105,Maria Hansen,Rumba,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,17,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,1,swr08,40448340,105,Nicholas Cotton,Rumba,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,11,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,2,swr08,40448340,105,Maja Serve,Swing,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,13,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,2,swr08,40448340,105,Teresa Shiry,Swing,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,14,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,2,swr08,40448340,105,Trevor Luff,Swing,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,15,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,2,swr08,40448340,105,Maria Hansen,Swing,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,17,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,2,swr08,40448340,105,Nicholas Cotton,Swing,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,11,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,3,swr08,40448340,105,Maja Serve,Bolero,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,13,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,3,swr08,40448340,105,Teresa Shiry,Bolero,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,14,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,3,swr08,40448340,105,Trevor Luff,Bolero,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,15,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,3,swr08,40448340,105,Maria Hansen,Bolero,1
CA,0,1,Final,Henry Hudson,Olivia Hudson,17,1,1, Senior II Pre-Champ Rhythm  (CRSB),Sample,3,swr08,40448340,105,Nicholas Cotton,Bolero,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,10,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Nadia Eftedal,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,11,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Maja Serve,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,12,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Ken Sloan,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,13,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Teresa Shiry,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,14,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Trevor Luff,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,15,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Maria Hansen,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,17,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Nicholas Cotton,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,18,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Irina Suvorov,Showdance,1
CA,0,1,Final,Kiril Kulish,Natella Devitskaya,19,1,1, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,117,Victor Veyrasset,Showdance,1
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,10,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Nadia Eftedal,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,11,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Maja Serve,Showdance,2
CA,0,4,Final,Ted Grinvald,Natasha Shevcheako,12,2,4, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Ken Sloan,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,13,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Teresa Shiry,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,14,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Trevor Luff,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,15,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Maria Hansen,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,17,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Nicholas Cotton,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,18,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Irina Suvorov,Showdance,2
CA,0,2,Final,Ted Grinvald,Natasha Shevcheako,19,2,2, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,160,Victor Veyrasset,Showdance,2
Ut,0,4,Final,Brandon K. Armstrong,Brittany Cherry,10,3,4, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Nadia Eftedal,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,11,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Maja Serve,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,12,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Ken Sloan,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,13,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Teresa Shiry,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,14,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Trevor Luff,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,15,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Maria Hansen,Showdance,3
Ut,0,4,Final,Brandon K. Armstrong,Brittany Cherry,17,3,4, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Nicholas Cotton,Showdance,3
Ut,0,3,Final,Brandon K. Armstrong,Brittany Cherry,18,3,3, Junior Championship Showdance  (#),Sample,0,swr08,402C8754,140,Irina Suvorov,Showdance,3
