couple_location,round_id,mark,round_name,lead_name,follow_name,judge,result,value,heat_name,comp_name,dance_id,comp_id,heat_id,couple,judge_name,dance_name,final_result
Nc,0,1,Final,Benjamin Robbins,Jane Lee,15,1,1, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,169,Yuriy Simakov,Waltz,1
Nc,0,2,Final,Benjamin Robbins,Jane Lee,17,1,2, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,169,Robertas Maleckis,Waltz,1
Nc,0,2,Final,Benjamin Robbins,Jane Lee,18,1,2, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,169,Melanie Dale,Waltz,1
NC,0,3,Final,Andrew Chirdon,Brittany St John,15,2,3, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,182,Yuriy Simakov,Waltz,2
NC,0,1,Final,Andrew Chirdon,Brittany St John,17,2,1, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,182,Robertas Maleckis,Waltz,2
NC,0,3,Final,Andrew Chirdon,Brittany St John,18,2,3, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,182,Melanie Dale,Waltz,2
Va,0,4,Final,Thomas Alexander Cloud Jr.,Julie Horsting,15,3,4, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,214,Yuriy Simakov,Waltz,3
Va,0,6,Final,Thomas Alexander Cloud Jr.,Julie Horsting,17,3,6, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,214,Robertas Maleckis,Waltz,3
Va,0,1,Final,Thomas Alexander Cloud Jr.,Julie Horsting,18,3,1, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,214,Melanie Dale,Waltz,3
Nc,0,5,Final,Chirag Shah,Haley Simpson,15,4,5, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,179,Yuriy Simakov,Waltz,4
Nc,0,3,Final,Chirag Shah,Haley Simpson,17,4,3, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,179,Robertas Maleckis,Waltz,4
Nc,0,4,Final,Chirag Shah,Haley Simpson,18,4,4, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,179,Melanie Dale,Waltz,4
Applegate,0,2,Final,Brian Richards,Kimberly OBrian,15,5,2, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,157,Yuriy Simakov,Waltz,5
Applegate,0,5,Final,Brian Richards,Kimberly OBrian,17,5,5, Mixed Ladies Adult Bronze Smooth  (W),Sample,0,tri08,48422830,157,Robertas Maleckis,Waltz,5
